model,writing,in,plos,one,they,say,the,gene,fault,may,encourage,the,formation,of,blood,clots,-,the,ultimate,cause,of,most,heart,attacks,and,strokes,.
researchers,0.34713060660187245,-1,0.11941077638089104,0.35018218835217363,-1,-1,-1,0.36283613433733375,0.24453717935506125,-1,0.3712197900059224,-1,0.2449558370776027,-1,0.27619839627010856,-0.05521675886835031,-1,-1,-0.02685961257939473,0.3021861991151582,-1,-1,0.31706183761023377,0.2820726261815927,-1,0.16353603427808505,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
identified,0.39355081692465865,-1,0.04940383932436565,0.5508165124520881,-1,-1,-1,0.274395928971668,0.34930227005106773,-1,0.3471934909762002,-1,0.3017802658299873,-1,0.23476632379980733,-0.2546281893521831,-1,-1,0.06287142281382962,0.4867107387120393,-1,-1,0.3912629739437574,0.45111125537816976,-1,0.3223377371875613,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
gene,0.2712052412078141,-1,0.15392560387847443,0.17279818005119363,-1,-1,-1,1.0,0.3455641597196002,-1,0.09915601475390179,-1,0.43717959771950854,-1,0.19542055706132333,0.05408890658361998,-1,-1,0.10347246173184121,0.24622460077032104,-1,-1,0.1807476673605689,0.07953914725340994,-1,0.09082911340758704,-1
that,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
may,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
put,0.45018872365468665,-1,-0.21645422612733856,0.5222993220047093,-1,-1,-1,0.09014564594666175,0.3722302121986065,-1,0.47044625827234254,-1,0.34042290876168924,-1,0.4243122729226251,0.027903633071576395,-1,-1,0.2650923195374115,0.3720930995116102,-1,-1,0.4682820600011677,0.2989922412235433,-1,0.2644274774365605,-1
people,0.439455577289664,-1,-0.19263235625450603,0.45985464574651225,-1,-1,-1,0.04311093890285145,0.2285277959119536,-1,0.6756052825796263,-1,0.29898530309453253,-1,0.284545394804551,-0.129381646933721,-1,-1,0.09666696754454729,0.3520591715138772,-1,-1,0.3911320830428988,0.4481347877595221,-1,0.27021435660577975,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
greater,0.2476747416170363,-1,-0.19967096142718077,0.36731299992660515,-1,-1,-1,0.04528709373974993,0.25949977203620733,-1,0.5404685222755239,-1,0.3024822938764433,-1,0.35003299796959,0.005609899075013414,-1,-1,0.2834579424876704,0.4761561037145543,-1,-1,0.3006832336215832,0.2965369770919315,-1,0.06251951342346085,-1
risk,0.2871607127840883,-1,-0.10376660912709257,0.44685097460684764,-1,-1,-1,0.08000002272508344,0.49276630038792746,-1,0.4781404399429776,-1,0.34942243585877386,-1,0.5087570041356906,0.16552195824108362,-1,-1,0.27931224383349507,0.6704013566242627,-1,-1,0.6059226118954395,0.3406713442853905,-1,0.3304802344071359,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strokes,0.09093711371567414,-1,-0.011257358233368597,0.29500800174539443,-1,-1,-1,0.09082911340758704,0.2684916058766401,-1,0.17444841080228524,-1,0.259518794899962,-1,0.265487248139085,0.16434375919910993,-1,-1,0.06467102790967028,0.35600361635088884,-1,-1,0.5210923592039197,0.5361165286888425,-1,1.0,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
heart,0.33961509397845735,-1,-0.02630665534685739,0.3716751959670882,-1,-1,-1,0.1807476673605689,0.5326216032372265,-1,0.23652452793619205,-1,0.36888282071261325,-1,0.4823915282362209,0.15927967222926542,-1,-1,0.1734986886070602,0.5427812796687603,-1,-1,1.0,0.43168709844679654,-1,0.5210923592039197,-1
attacks,0.2452953669010769,-1,-0.014639476100088533,0.28997964455799485,-1,-1,-1,0.07953914725340994,0.1620009077281378,-1,0.30413251279982667,-1,0.2685832146675342,-1,0.21396704930786237,-0.05609249583679343,-1,-1,0.09745605237918786,0.3372594947459092,-1,-1,0.43168709844679654,1.0,-1,0.5361165286888425,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
