model,scientists,hope,gene,tests,may,help,doctors,one,day,to,pinpoint,individuals,more,likely,to,suffer,these,conditions,.
researchers,0.9296687336460632,0.572007225185728,0.36283613433733375,0.43189305299666647,-1,-1,0.5386380724182662,0.35018218835217363,0.2276830260818442,-1,0.07091325781514746,0.3969359202246723,-1,0.434456183109037,-1,0.2629911464268406,0.4725558028939558,0.19385751025902287,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
identified,0.5986821475293229,0.39275865422767287,0.274395928971668,0.5151194173966578,-1,-1,0.5290567907721502,0.5508165124520881,0.3219117640967244,-1,0.036552744003583326,0.6539812818808699,-1,0.5975497692149119,-1,0.410045017526499,0.5715179899633303,0.36436749296278226,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
gene,0.35008657282326516,0.20691800627713963,1.0,0.07097069982832083,-1,-1,0.1080656743871834,0.17279818005119363,0.0001043082229370551,-1,0.18134330159285428,0.12077769609547595,-1,0.09140228308086118,-1,0.10903298138718753,0.16589883882600232,0.048761091381303245,-1
that,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
may,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
put,0.4332470332168501,0.6419299784643212,0.09014564594666175,0.5054899360817692,-1,-1,0.4521082002924328,0.5222993220047093,0.5094841230883146,-1,0.20650603932577527,0.46185480629748454,-1,0.6035035352011919,-1,0.2816922007923195,0.5800043772462291,0.4009969474007504,-1
people,0.46521162981266784,0.5165313283608214,0.04311093890285145,0.35288146931647535,-1,-1,0.4827742365345584,0.45985464574651225,0.4801292820851233,-1,0.16006384414645414,0.6170473441603295,-1,0.6160125640813727,-1,0.4729688541085446,0.5582729289577811,0.29079108623870176,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
greater,0.37731432096710615,0.5058388257666161,0.04528709373974993,0.3355513694359702,-1,-1,0.4205173694738791,0.36731299992660515,0.3072084118038425,-1,0.1957874212399474,0.43489460378235156,-1,0.6413494818846721,-1,0.33962796070880286,0.4607799180170933,0.340605808545856,-1
risk,0.38737695403948824,0.3825636197385225,0.08000002272508344,0.5111682020121111,-1,-1,0.5052349531724755,0.44685097460684764,0.3239917198175881,-1,0.2781137497742616,0.5840744565024666,-1,0.6645551812443574,-1,0.5479200611571419,0.5846283617468669,0.4649161428656583,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strokes,0.180562982703785,0.12842867258880775,0.09082911340758704,0.42760813033716927,-1,-1,0.23655524802783312,0.29500800174539443,0.1832808273379034,-1,0.14034763653287152,0.42764797201838856,-1,0.26608553443301064,-1,0.29517183957359916,0.32798750246872466,0.15256494542117904,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
heart,0.33912215782524924,0.3678354330366469,0.1807476673605689,0.501246788750648,-1,-1,0.38217158285432196,0.3716751959670882,0.3565429651555463,-1,0.19470107967129502,0.3212461166223153,-1,0.38718248271642985,-1,0.41376656279348256,0.35834390414614203,0.3563907718311965,-1
attacks,0.32522299801607013,0.24183015218526094,0.07953914725340994,0.41695378656277815,-1,-1,0.24660741715325651,0.28997964455799485,0.32332939942770267,-1,0.04659997923014614,0.4766710471871023,-1,0.4150172997958177,-1,0.27038240424674487,0.4488536082508163,0.2474384803199492,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
