model,more,research,is,needed,to,see,whether,this,holds,true,for,the,whole,population,they,say,.
researchers,-1,0.6586439597706569,-1,0.379287349071757,-1,0.47148758943104685,0.37486119964860465,-1,0.20430398091330804,0.2561533291682645,-1,-1,0.27615217984937224,0.24152894129387947,-1,-1,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
identified,-1,0.40921223859464106,-1,0.44228605446251823,-1,0.4672851012636725,0.47721535411982563,-1,0.32951938110285783,0.37631034120927565,-1,-1,0.36026762272357327,0.34347651542643143,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
gene,-1,0.27250096587305206,-1,0.14068387610540878,-1,0.13278366772141892,0.12225397851998654,-1,0.17949681816591623,0.1982689186088622,-1,-1,0.10360648978051978,-0.03742017238565887,-1,-1,-1
that,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
may,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
put,-1,0.3944636145753021,-1,0.5738198357953238,-1,0.6706665482311215,0.45764895240720893,-1,0.3552509255026398,0.41714057646611724,-1,-1,0.45329186322544157,0.2850872958818811,-1,-1,-1
people,-1,0.2946470533961847,-1,0.5155049153068422,-1,0.5894292140026518,0.4145402267987147,-1,0.349887751315785,0.33598687573008434,-1,-1,0.4243510284702935,0.5129312140234632,-1,-1,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
greater,-1,0.37920328069756803,-1,0.5964431260208902,-1,0.5838239822203247,0.4178624758874996,-1,0.29516329653227635,0.32832195831772926,-1,-1,0.4317983105163181,0.5805264795503401,-1,-1,-1
risk,-1,0.419854899666973,-1,0.5397449373580583,-1,0.5339844572281128,0.4193735372874464,-1,0.32789024712173287,0.4238070200215489,-1,-1,0.36513259880118576,0.5267988909821717,-1,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strokes,-1,0.1331017741959506,-1,0.18058016281140965,-1,0.15041582791525432,0.06003271843442359,-1,0.09414096265492988,0.10496418494731574,-1,-1,0.10451649556615905,0.13084802859306288,-1,-1,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
heart,-1,0.4099869698258495,-1,0.38157296324357537,-1,0.3881390692169324,0.23569948558246145,-1,0.24534372828117834,0.3215332991691636,-1,-1,0.36352762465909194,0.25090932497554297,-1,-1,-1
attacks,-1,0.2626213188314338,-1,0.19199941490542205,-1,0.2956991444817607,0.25628503202200115,-1,0.11937663536774257,0.2219793419608036,-1,-1,0.22176147232698118,0.27856066929337264,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
