model,the,faulty,gene,appears,to,affect,a,protein,called,glycoprotein,iiia,-,present,on,platelets,natural,clotting,cells,in,the,blood,.
researchers,-1,0.17504414413403024,0.36283613433733375,0.4593955011575477,-1,0.2600149766066022,-1,0.2064793884843119,0.35722728927105674,-0.40323991955767147,-0.4022524750804932,-1,0.4855518055290726,-1,-0.26710603581103043,0.19767026773014407,-0.17185101662968427,0.38526809747670665,-1,-1,0.27619839627010856,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
identified,-1,0.2323479548521139,0.274395928971668,0.5596238533065974,-1,0.328840911780526,-1,0.22999347674140236,0.5082742568932933,-0.518083783451331,-0.5194750725573285,-1,0.6268034725337268,-1,-0.43778938233430087,0.2649664424777146,-0.3286936358511845,0.3680456857391181,-1,-1,0.23476632379980733,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
gene,-1,0.6000623035775069,1.0,0.32943300255379593,-1,0.10394673265315835,-1,0.4138855106682716,0.2660339682521029,-0.36439278309705414,-0.37209409251122416,-1,0.1664281967478899,-1,-0.3375376001780199,-0.006722736973836074,-0.03164755955024945,0.33268284577654395,-1,-1,0.19542055706132333,-1
that,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
may,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
put,-1,0.04092373967379548,0.09014564594666175,0.4794843047163908,-1,0.40948275920389965,-1,0.12031900505791149,0.5059171599494205,-0.5525414315964596,-0.5493018052234142,-1,0.5934124211236975,-1,-0.32275838927215617,0.2995675888859256,-0.28102130537632153,0.31596508906159215,-1,-1,0.4243122729226251,-1
people,-1,0.06720344868974104,0.04311093890285145,0.40022976294221,-1,0.4815699906725892,-1,0.17458177477588466,0.4166644381066529,-0.48903867836891113,-0.4809486076113567,-1,0.5409476055054502,-1,-0.19013012345113878,0.2801935796413537,-0.3905780092575495,0.29822110603201757,-1,-1,0.284545394804551,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
greater,-1,-0.0404728167654389,0.04528709373974993,0.42640501573097733,-1,0.3963359022919032,-1,0.2645086108625926,0.3843092699973436,-0.5277973967869063,-0.5230448726247636,-1,0.4733505513362508,-1,-0.27074522559920355,0.4073902071186136,-0.1620706735984876,0.19593031716475284,-1,-1,0.35003299796959,-1
risk,-1,0.15286089626445165,0.08000002272508344,0.37850299752481864,-1,0.5235686946200916,-1,0.3378027823064207,0.2735315298023713,-0.5108049010202413,-0.49243965122237965,-1,0.5382095752463085,-1,-0.19313166989002317,0.5401645087614393,-0.019713488733789752,0.44537399688470636,-1,-1,0.5087570041356906,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strokes,-1,0.23038181211582387,0.09082911340758704,0.1319994514531232,-1,0.1748550845990532,-1,0.1047273452439147,0.0456855736028694,-0.3522009363670888,-0.331576612067187,-1,0.14351330928851624,-1,0.057584577158761974,0.02497841843074633,-0.04279152587951307,0.3134752548645091,-1,-1,0.265487248139085,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
heart,-1,0.11400431411596923,0.1807476673605689,0.2845014287237312,-1,0.3592122556604045,-1,0.1549270547161984,0.34218317413886545,-0.434426174982514,-0.43646500492251494,-1,0.3027103927753323,-1,-0.26289301378565844,0.2061256233703639,-0.014019849179634392,0.4161566341880829,-1,-1,0.4823915282362209,-1
attacks,-1,0.09299409016131455,0.07953914725340994,0.39611919590403943,-1,0.2947045998940613,-1,0.13210994980644952,0.37384792705916947,-0.39508150924797225,-0.39925571583542707,-1,0.32664001170657664,-1,-0.2412152041814788,0.1806253259320998,-0.2531750877891654,0.2236584553616664,-1,-1,0.21396704930786237,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
