model,but,scientists,say,carrying,the,gene,may,render,them,overactive,.
researchers,-1,0.9296687336460632,-1,0.25854175574887484,-1,0.36283613433733375,-1,-0.0024371108953913367,-1,-0.44013899763079456,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
identified,-1,0.5986821475293229,-1,0.45731603388452924,-1,0.274395928971668,-1,-0.06294926704147685,-1,-0.35354970664843655,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
gene,-1,0.35008657282326516,-1,0.20851181678037278,-1,1.0,-1,0.20888875059341439,-1,-0.25752006453634446,-1
that,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
may,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
put,-1,0.4332470332168501,-1,0.39012641515115143,-1,0.09014564594666175,-1,0.013268251113517149,-1,-0.43418738323915895,-1
people,-1,0.46521162981266784,-1,0.49659313854294274,-1,0.04311093890285145,-1,0.06540151096806246,-1,-0.3176326296030436,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
greater,-1,0.37731432096710615,-1,0.27430103582564236,-1,0.04528709373974993,-1,0.03028455430931043,-1,-0.39239459079944083,-1
risk,-1,0.38737695403948824,-1,0.37202768479517845,-1,0.08000002272508344,-1,0.0466234064479335,-1,-0.26922984272566985,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strokes,-1,0.180562982703785,-1,0.42523044848621805,-1,0.09082911340758704,-1,0.008875394343919707,-1,-0.11039083114097847,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
heart,-1,0.33912215782524924,-1,0.3731094303086746,-1,0.1807476673605689,-1,-0.09792286338310707,-1,-0.24908025965067848,-1
attacks,-1,0.32522299801607013,-1,0.4692306471531935,-1,0.07953914725340994,-1,-0.08985062519532239,-1,-0.23244129565479565,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
