model,but,experts,say,lifestyle,factors,such,as,smoking,and,exercise,have,the,greatest,influence,on,risk,.
researchers,-1,0.7954198157636863,-1,0.03166544350022138,0.2835534063895726,0.35829007008251046,-1,0.09658685451822746,-1,0.20035945921326093,-1,-1,0.21337501725313157,0.19526589113953408,-1,0.3464148057436305,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
identified,-1,0.5762372561649002,-1,0.1731546792548717,0.4737466084242221,0.5607339133092255,-1,0.29172748703046114,-1,0.2950490672297488,-1,-1,0.36796771805377226,0.3551079718255783,-1,0.5305445585058246,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
gene,-1,0.22877372956367625,-1,0.2147646727143795,0.2574694961659205,0.22889645623380217,-1,0.10683074440863782,-1,0.15465092038399098,-1,-1,0.08081150981539609,0.07356900470360972,-1,0.08000002272508344,-1
that,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
may,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
put,-1,0.39048822933252003,-1,0.224557746864264,0.35797964638262225,0.5119843079327916,-1,0.2513948678141549,-1,0.32031723959547986,-1,-1,0.35390836491652955,0.5261894223679623,-1,0.5418011017834049,-1
people,-1,0.39877696232057325,-1,0.28287602039504645,0.28822131091010994,0.46246186417672686,-1,0.41100927228953976,-1,0.4211635949035546,-1,-1,0.3043167179586058,0.36590366784037553,-1,0.5274754156440419,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
greater,-1,0.3784323496071038,-1,0.19362699294438435,0.33963653382534775,0.5282962779145992,-1,0.3243729194650229,-1,0.42954798337496314,-1,-1,0.37334723949000037,0.5638555343154671,-1,0.6595318455961747,-1
risk,-1,0.42650792855173003,-1,0.3532932066345096,0.6157082054176711,0.6169687604950826,-1,0.5075284531987334,-1,0.40181060968515425,-1,-1,0.5120671393694998,0.5220867165952525,-1,1.0,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strokes,-1,0.25337734418170466,-1,0.12481663452940361,0.44108606004871787,0.26682368496048436,-1,0.19534624190176597,-1,0.230398472393594,-1,-1,0.19639673855451667,0.23871237366531228,-1,0.3304802344071359,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
heart,-1,0.3969036629967675,-1,0.20385649604567468,0.2874581595558936,0.40555038811821853,-1,0.2581130404612013,-1,0.36118584855593416,-1,-1,0.37829128783669375,0.3570909300605981,-1,0.6059226118954395,-1
attacks,-1,0.41945144806867396,-1,0.06303865548805399,0.37817910074479066,0.4721542873088792,-1,0.30342628259006355,-1,0.23908164462779535,-1,-1,0.176537279081868,0.31930957623283107,-1,0.3406713442853905,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
