model,around,one,in,10,people,in,the,caucasian,population,carries,this,variation,of,the,gene,named,pia2,.
researchers,0.2799448013600747,0.35018218835217363,-1,0.2686793943827779,0.3569333962453183,-1,-1,-0.2535783306394759,0.24152894129387947,0.2816531254475214,-1,0.0541560566779018,-1,-1,0.36283613433733375,0.3651083284865665,-0.40814296936050676,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
identified,0.39421865222384733,0.5508165124520881,-1,0.4927276599777499,0.47396806198706154,-1,-1,-0.20899321166847584,0.34347651542643143,0.5207973788469799,-1,0.11981118966096094,-1,-1,0.274395928971668,0.7186774861625522,-0.5491659093443193,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
gene,-0.02926591846864035,0.17279818005119363,-1,-0.07669599593205745,0.04311093890285145,-1,-1,-0.12784172582847364,-0.03742017238565887,0.39786031872050176,-1,0.11874104739903901,-1,-1,1.0,0.1189643465977328,-0.36823233316801396,-1
that,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
may,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
put,0.5366072921061357,0.5222993220047093,-1,0.5629566378551569,0.5249546246258143,-1,-1,-0.3568339933832134,0.2850872958818811,0.5164439429850753,-1,0.11357655518288279,-1,-1,0.09014564594666175,0.4825958798647312,-0.5497174746953792,-1
people,0.603639368499911,0.45985464574651225,-1,0.5911709194993965,1.0,-1,-1,-0.15249734657680447,0.5129312140234632,0.4610724455381445,-1,0.15491946739868834,-1,-1,0.04311093890285145,0.39005555278389514,-0.5018577926086214,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
greater,0.4568254479919821,0.36731299992660515,-1,0.4209527365686143,0.517713415348805,-1,-1,-0.20708621395583093,0.5805264795503401,0.3511664354516296,-1,0.4407876938744557,-1,-1,0.04528709373974993,0.3055177057828907,-0.5844122677543608,-1
risk,0.3879161032388059,0.44685097460684764,-1,0.42889426220744664,0.5274754156440419,-1,-1,-0.049701566264677144,0.5267988909821717,0.5333690284359935,-1,0.35291303015875775,-1,-1,0.08000002272508344,0.3517649179779476,-0.5821016360147144,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strokes,0.19700585424251382,0.29500800174539443,-1,0.3958844447728409,0.27021435660577975,-1,-1,0.0951318105254485,0.13084802859306288,0.3772329100788476,-1,0.13225469371610987,-1,-1,0.09082911340758704,0.16289156766310542,-0.33623929049133516,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
heart,0.3073273173958546,0.3716751959670882,-1,0.35619060278339165,0.3911320830428988,-1,-1,-0.04677306239780732,0.25090932497554297,0.4552291153814567,-1,0.11737659329427585,-1,-1,0.1807476673605689,0.28267007826181123,-0.5117024205113472,-1
attacks,0.3202701844085811,0.28997964455799485,-1,0.4192695899300679,0.4481347877595221,-1,-1,-0.14774814046861717,0.27856066929337264,0.37663815771024267,-1,0.23252725368916516,-1,-1,0.07953914725340994,0.3350371023115283,-0.45308152383676825,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
