model,they,found,individuals,with,pia2,were,more,likely,to,have,a,stroke,-,caused,by,a,blood,clot,blocking,blood,supply,to,the,brain,-,than,those,without,the,gene,.
researchers,-1,-1,0.3969359202246723,-1,-0.40814296936050676,-1,-1,0.434456183109037,-1,-1,-1,0.2804493644277771,-1,0.22256182795516144,-1,-1,0.27619839627010856,0.0152624139940154,0.15529210416200256,0.27619839627010856,0.15279025492642506,-1,-1,0.3152699154306646,-1,-1,0.38920740431292855,0.19615924659586437,-1,0.36283613433733375,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
identified,-1,-1,0.6539812818808699,-1,-0.5491659093443193,-1,-1,0.5975497692149119,-1,-1,-1,0.39310123405100506,-1,0.4795714079774622,-1,-1,0.23476632379980733,-0.06017375293198479,0.31817707894668334,0.23476632379980733,0.31107907352295916,-1,-1,0.41686686769497217,-1,-1,0.6009224563980532,0.5378997774369496,-1,0.274395928971668,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
gene,-1,-1,0.12077769609547595,-1,-0.36823233316801396,-1,-1,0.09140228308086118,-1,-1,-1,0.23704375755820617,-1,0.19141183889033053,-1,-1,0.19542055706132333,0.21239374215754236,0.25965601006501915,0.19542055706132333,0.13209224878175307,-1,-1,0.326631709375665,-1,-1,0.04993915262511828,0.03412829202930967,-1,1.0,-1
that,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
may,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
put,-1,-1,0.46185480629748454,-1,-0.5497174746953792,-1,-1,0.6035035352011919,-1,-1,-1,0.40229666877667647,-1,0.349406388898577,-1,-1,0.4243122729226251,0.06744999241955918,0.3695452345516863,0.4243122729226251,0.37824639118269365,-1,-1,0.29056474590145853,-1,-1,0.5712328932976594,0.6410020898063992,-1,0.09014564594666175,-1
people,-1,-1,0.6170473441603295,-1,-0.5018577926086214,-1,-1,0.6160125640813727,-1,-1,-1,0.32636911062398477,-1,0.3781498694073633,-1,-1,0.284545394804551,-0.0716980750656937,0.30122449950270835,0.284545394804551,0.34235299067788727,-1,-1,0.2741151353844161,-1,-1,0.6960144396711184,0.5196049322202013,-1,0.04311093890285145,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
greater,-1,-1,0.43489460378235156,-1,-0.5844122677543608,-1,-1,0.6413494818846721,-1,-1,-1,0.2777549990539767,-1,0.4493281546900829,-1,-1,0.35003299796959,0.041139362989091044,0.3159305835149606,0.35003299796959,0.5104368583161855,-1,-1,0.20564092368425713,-1,-1,0.4680796146272236,0.5830199155054174,-1,0.04528709373974993,-1
risk,-1,-1,0.5840744565024666,-1,-0.5821016360147144,-1,-1,0.6645551812443574,-1,-1,-1,0.6281272100941817,-1,0.5623583239776577,-1,-1,0.5087570041356906,0.20016686146641238,0.3447016097600475,0.5087570041356906,0.6658437955229335,-1,-1,0.46310298622924184,-1,-1,0.564500798425977,0.6056309545455916,-1,0.08000002272508344,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strokes,-1,-1,0.42764797201838856,-1,-0.33623929049133516,-1,-1,0.26608553443301064,-1,-1,-1,0.5557323029531487,-1,0.3434369374674522,-1,-1,0.265487248139085,0.11384998776956501,0.38828423692915015,0.265487248139085,0.1971249666628715,-1,-1,0.4046261668212312,-1,-1,0.2726837854193942,0.29927581645330226,-1,0.09082911340758704,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
heart,-1,-1,0.3212461166223153,-1,-0.5117024205113472,-1,-1,0.38718248271642985,-1,-1,-1,0.7313572857432983,-1,0.5207789207544938,-1,-1,0.4823915282362209,0.1528678575673067,0.2606892680572188,0.4823915282362209,0.32554664159893354,-1,-1,0.6767081515788407,-1,-1,0.3122842341090153,0.40915876299872433,-1,0.1807476673605689,-1
attacks,-1,-1,0.4766710471871023,-1,-0.45308152383676825,-1,-1,0.4150172997958177,-1,-1,-1,0.3047197290052186,-1,0.40900618778371167,-1,-1,0.21396704930786237,0.004696909892488055,0.2536442563563912,0.21396704930786237,0.19695514335320607,-1,-1,0.24642906372236129,-1,-1,0.4574591426207164,0.31412251034452665,-1,0.07953914725340994,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
