model,scientists,calculate,the,gene,increases,a,person,'s,risk,of,having,a,stroke,by,10-15,%,.
researchers,0.9296687336460632,0.4485180910614701,-1,0.36283613433733375,0.20128539594411177,-1,0.33886308066401416,-1,0.3464148057436305,-1,0.34729557211680817,-1,0.2804493644277771,-1,-0.048180720724062986,-1,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
identified,0.5986821475293229,0.21577538552734776,-1,0.274395928971668,0.35138893252947256,-1,0.6050027497258631,-1,0.5305445585058246,-1,0.6618126101467279,-1,0.39310123405100506,-1,0.05638199302921021,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
gene,0.35008657282326516,0.40689183908759463,-1,1.0,0.16393226053686316,-1,0.11313706846116922,-1,0.08000002272508344,-1,-4.105684000910159e-05,-1,0.23704375755820617,-1,-0.16162061283935314,-1,-1
that,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
may,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
put,0.4332470332168501,0.12105223327927228,-1,0.09014564594666175,0.3629744700604074,-1,0.5431101589233209,-1,0.5418011017834049,-1,0.682287589851912,-1,0.40229666877667647,-1,-0.040194931892984176,-1,-1
people,0.46521162981266784,0.20262013292168157,-1,0.04311093890285145,0.3095525116777387,-1,0.6190677222670838,-1,0.5274754156440419,-1,0.5562986442185298,-1,0.32636911062398477,-1,0.17282146119655573,-1,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
greater,0.37731432096710615,0.2245222632701438,-1,0.04528709373974993,0.5459803698340182,-1,0.3977454275587776,-1,0.6595318455961747,-1,0.49542267702309195,-1,0.2777549990539767,-1,-0.07392974695295473,-1,-1
risk,0.38737695403948824,0.19489228356550048,-1,0.08000002272508344,0.6146534777131094,-1,0.5997181666560621,-1,1.0,-1,0.5189221202800576,-1,0.6281272100941817,-1,-0.009772327788813984,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strokes,0.180562982703785,0.048044875513499674,-1,0.09082911340758704,0.14847383986072094,-1,0.320475117896751,-1,0.3304802344071359,-1,0.3255460909393397,-1,0.5557323029531487,-1,0.23139727951463962,-1,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
heart,0.33912215782524924,0.07936803441568185,-1,0.1807476673605689,0.2525053234153465,-1,0.46574699511477347,-1,0.6059226118954395,-1,0.46743364510003627,-1,0.7313572857432983,-1,-0.06299515634254904,-1,-1
attacks,0.32522299801607013,0.07085645629403359,-1,0.07953914725340994,0.3366412988972145,-1,0.29262365287454695,-1,0.3406713442853905,-1,0.3402090471524324,-1,0.3047197290052186,-1,0.12450101720303874,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
