model,and,for,people,with,two,copies,of,the,gene,the,risk,rises,by,up,to,70,%,from,this,baseline,.
researchers,-1,-1,0.3569333962453183,-1,0.3718640080802662,0.08742231049099469,-1,-1,0.36283613433733375,-1,0.3464148057436305,0.06649454289795398,-1,-1,-1,0.28806929463830677,-1,-1,-1,0.10198779196974517,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
identified,-1,-1,0.47396806198706154,-1,0.5795507003891288,0.2371088146079121,-1,-1,0.274395928971668,-1,0.5305445585058246,0.23027440497287743,-1,-1,-1,0.4476891275514542,-1,-1,-1,0.11569630637219908,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
gene,-1,-1,0.04311093890285145,-1,0.03932776298269647,0.10565239468681176,-1,-1,1.0,-1,0.08000002272508344,0.09321214967707447,-1,-1,-1,-0.01432729501791874,-1,-1,-1,0.18993457841723949,-1
that,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
may,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
put,-1,-1,0.5249546246258143,-1,0.5321940652314031,0.14494255667236644,-1,-1,0.09014564594666175,-1,0.5418011017834049,0.23912942778842627,-1,-1,-1,0.41754081756131023,-1,-1,-1,0.12149147698763496,-1
people,-1,-1,1.0,-1,0.4562258196190211,0.3599981338107844,-1,-1,0.04311093890285145,-1,0.5274754156440419,0.21067258903332886,-1,-1,-1,0.6777566402821037,-1,-1,-1,-0.00917651502879635,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
greater,-1,-1,0.517713415348805,-1,0.3338108250302324,0.08622987833424423,-1,-1,0.04528709373974993,-1,0.6595318455961747,0.4778416773595474,-1,-1,-1,0.41669459325145,-1,-1,-1,0.1499314716290121,-1
risk,-1,-1,0.5274754156440419,-1,0.3537746006994116,0.11972560232224738,-1,-1,0.08000002272508344,-1,1.0,0.36253174383029896,-1,-1,-1,0.4012485063538682,-1,-1,-1,0.30351951832426705,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
strokes,-1,-1,0.27021435660577975,-1,0.5583389075045989,0.2353815967528471,-1,-1,0.09082911340758704,-1,0.3304802344071359,0.03012689267498614,-1,-1,-1,0.34549416957186696,-1,-1,-1,0.24208246704383196,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
heart,-1,-1,0.3911320830428988,-1,0.32038104253588673,0.02157074999671782,-1,-1,0.1807476673605689,-1,0.6059226118954395,0.05083756985785948,-1,-1,-1,0.32000328962717806,-1,-1,-1,0.2212683502630829,-1
attacks,-1,-1,0.4481347877595221,-1,0.4281047638884803,0.043121372984798234,-1,-1,0.07953914725340994,-1,0.3406713442853905,0.25199821226820307,-1,-1,-1,0.37373026689782596,-1,-1,-1,0.13016425352763217,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
