model,rose,fired,five,birdies,and,two,bogeys,at,quail,hollow,golf,club,to,sit,at,seven-under,and,tied,for,third,.
england,0.40435531277061465,0.2270198084881211,0.5054673364309957,0.14131373166300354,-1,0.42098975280942463,0.058897852186693855,-1,-0.29155024611368874,-0.13889852828998683,0.3986940161856132,0.46749734759616124,-1,0.332054816193025,-1,-0.209039439531308,-1,0.17496338223378394,-1,0.5469321775015215,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
justin,0.44630366836013513,0.21550012382519812,0.11985852374444605,-0.002892953611743909,-1,0.13137454802223736,-0.048174440797999596,-1,0.1166366003319741,0.1027940543141369,-0.052437832258721784,0.2282469663925113,-1,0.017062656621787076,-1,-0.36682289247354305,-1,0.1383426198026677,-1,0.2053620846798988,-1
rose,1.0,0.36907710325214194,0.37701593652797816,0.2031542044276481,-1,0.3067467020111243,0.11810412033185935,-1,-0.20082115734343464,-0.0005768660722049734,0.15275616770351197,0.22306889028657417,-1,0.24753247002155254,-1,0.1317704390149289,-1,0.2557154286141621,-1,0.4258824514595825,-1
hit,0.4744123363738648,0.4171254897903022,0.4992596116808107,0.2979374395768385,-1,0.5010370634825292,0.2652825850673809,-1,-0.23537861345626032,-0.04950654183503511,0.3089990929541371,0.3278580071929199,-1,0.26687661158398157,-1,-0.07692990437440761,-1,0.23468798722019601,-1,0.4528364537058973,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
three-under-par,0.10289795623848752,0.08656256877139645,-0.020480974759933934,0.2501830472662303,-1,-0.036530506186336575,0.17726558957551053,-1,0.2147756544949656,0.2829129767315164,-0.34267266819582254,-0.19771878462663195,-1,0.02477810576400874,-1,0.5744117724027121,-1,0.10498415475016565,-1,0.08550853399484837,-1
69,0.4909369004027976,0.27579273813310223,0.36863760174326865,0.2870599599431034,-1,0.3416806813493256,0.17431188729246072,-1,-0.10824681964029281,0.13914331323200368,0.10838983647600875,0.2113582265573104,-1,0.256670651956617,-1,0.2796396022691585,-1,0.23917121633016492,-1,0.3471761651614842,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trail,0.12100811593186456,0.10033649407172374,0.26744343495524503,0.0914076256007228,-1,0.2751265506633921,0.041059006700793765,-1,-0.017008940317162047,0.16448857742988565,0.2703579301268988,0.3215067353114762,-1,0.3871352285759906,-1,-0.0881001898721312,-1,0.309519922526154,-1,0.36224919392264576,-1
