model,world,number,five,fowler,-lrb-,68,-rrb-,recorded,six,birdies,in,nine,holes,as,he,chases,his,first,victory,since,abu,dhabi,in,january,.
england,0.4814175459715502,0.4944693825805522,0.5054673364309957,0.14808469750307596,-1,0.35943807948927,-1,0.42260555994466165,0.5442012639127991,0.14131373166300354,-1,0.48608177969358235,0.14005591430435138,-1,-1,-0.1484716544838136,-1,-1,0.45049376988513634,-1,0.0480753900468337,0.0018489300259300068,-1,0.41590652444656584,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
justin,0.13463701234973047,0.12952110541899386,0.11985852374444605,0.07137303003717554,-1,-0.006911283984093908,-1,0.13831672146076457,0.09621466885693852,-0.002892953611743909,-1,0.1244698450867896,0.16954958895446315,-1,-1,0.04261101533629674,-1,-1,0.1578715222411876,-1,0.6764057829995822,0.008564123734756679,-1,0.17496260949361764,-1
rose,0.27595519233969845,0.40870719058742977,0.37701593652797816,0.14978431868081254,-1,0.4801469335364783,-1,0.4572912625285275,0.40328550689822784,0.2031542044276481,-1,0.398863131632773,0.27629925440509306,-1,-1,-0.07470090430993603,-1,-1,0.24003584346537332,-1,0.2076146778243324,0.062223884368701854,-1,0.4832618721255191,-1
hit,0.3234295654631546,0.4691927434693315,0.4992596116808107,0.0692561151111889,-1,0.3483143970795508,-1,0.48766809113888776,0.5228019064434605,0.2979374395768385,-1,0.48771792560507765,0.3785320179854035,-1,-1,0.09297105010894757,-1,-1,0.3054436567185359,-1,0.048085163227937544,-0.0009287411122267386,-1,0.38236741570492594,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
three-under-par,-0.0647620354890035,-0.11248816876119383,-0.020480974759933934,-0.029971309279296365,-1,0.5472528442298705,-1,-0.07922876258243505,0.02037020468044204,0.2501830472662303,-1,0.014676073066981044,0.131813876166625,-1,-1,-0.10196873581979848,-1,-1,0.09494985691945335,-1,-0.20276433758953694,-0.5021373112727949,-1,-0.07653608425022362,-1
69,0.26855869443469627,0.25204060897485425,0.36863760174326865,0.33766946270113896,-1,0.9062892498948074,-1,0.2559970207493082,0.3970512901815497,0.2870599599431034,-1,0.40352996922754203,0.2000372460481269,-1,-1,-0.1833863382060661,-1,-1,0.2603861876766823,-1,-0.08899900954666262,-0.3299931299942478,-1,0.26831962403707055,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trail,0.28377202407382374,0.19961282124820656,0.26744343495524503,0.03743094806513325,-1,0.11399845528049046,-1,0.2180015191358976,0.2869963053617305,0.0914076256007228,-1,0.26550574224063406,0.15084463349168797,-1,-1,-0.026913800912870434,-1,-1,0.37005888302221157,-1,0.28087766800404124,0.014528984808065748,-1,0.27428457412052387,-1
leader,0.30768309038617425,0.25779328283816694,0.30013530507077624,0.27257489127188705,-1,0.194417964212928,-1,0.21316147164989885,0.276679789172786,-0.004117723615973068,-1,0.2736241989895335,0.08874149385520946,-1,-1,-0.03251466591716734,-1,-1,0.27349122143689697,-1,0.3432012445218985,0.04795571494138762,-1,0.22025821620817543,-1
rickie,-0.08191743306236487,-0.03004226834856283,-0.07653454546737648,0.8578139141814617,-1,0.30524388399449287,-1,-0.17964345158637451,-0.059994684462849834,0.021805702763227464,-1,-0.04181116537110796,-0.10289335210604511,-1,-1,-0.031608760862372076,-1,-1,-0.09009043064493505,-1,0.043476619204870004,0.022557840234922022,-1,0.012307935631247435,-1
fowler,0.06146976225364198,0.0798659860798987,0.04140132553428755,1.0,-1,0.4615868097809408,-1,0.007464421646431685,0.0563160774140915,0.09613726378871412,-1,0.054058208787826634,-0.0417232915320318,-1,-1,-0.013856845403205975,-1,-1,0.05079780391403421,-1,0.10619650236373812,0.24361968632277553,-1,0.09687411132031498,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
two,0.4605427247282454,0.6029278166983459,0.8939144720651863,0.1307736998247262,-1,0.40778152350629937,-1,0.5316640078257697,0.865755455802864,0.5838780904340417,-1,0.8466598209530226,0.6400012334058901,-1,-1,0.06089112474301739,-1,-1,0.447262482746148,-1,0.08269430652987053,0.026684766113329483,-1,0.4500517823443323,-1
strokes,0.15525691637163375,0.32241708044020345,0.5360680050996977,0.14765011190515864,-1,0.292024142025065,-1,0.2733393391146012,0.5300744618817517,0.560898979168495,-1,0.5760700485579866,0.5565995632150867,-1,-1,0.20850719040065102,-1,-1,0.22210130651184323,-1,0.006101239564317851,0.04677228904698261,-1,0.14533888303588038,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
third,0.5367733476283009,0.5294974346857361,0.6575632784724164,0.1150825367181949,-1,0.42478778127708827,-1,0.4821467287627943,0.68633895754856,0.38335786710465514,-1,0.6394813763030498,0.45658938243671177,-1,-1,0.012115656724432489,-1,-1,0.6338791832826854,-1,0.13146544652504089,0.05177844205752069,-1,0.4789946764368509,-1
round,0.46353186352455333,0.38724049343682054,0.553613956806145,0.040463950980065055,-1,0.3638339334342815,-1,0.4082453794642763,0.5711415975331652,0.4423735217140857,-1,0.5376414419475734,0.5083142971201013,-1,-1,-0.013579281723729464,-1,-1,0.5222684813009363,-1,0.014074385240558152,0.04932747941504312,-1,0.38597798544525386,-1
