model,england,'s,paul,casey,is,still,in,contention,at,three-under,after,a,level-par,round,in,charlotte,north,carolina,.
england,1.0,-1,0.49348021127591035,0.29917452034744596,-1,0.44487414785911084,-1,0.2759517727280656,-1,-0.13603742294883325,-1,-1,-0.09857737527135035,0.38200913988157925,-1,0.25438581505709834,0.5455907579266897,0.3421431764314983,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
justin,0.30190500145940846,-1,0.5349133190042624,0.7264540070432208,-1,0.03585265181003372,-1,0.042612513418463616,-1,-0.24784921856402398,-1,-1,0.018606333754029647,0.10580287703971081,-1,-0.04603128129748346,0.26686066970330025,0.3361668934585753,-1
rose,0.40435531277061465,-1,0.3823461488982687,0.3054063421922055,-1,0.2687539919909616,-1,0.07906798106809965,-1,0.10072379760276562,-1,-1,0.0583145996621921,0.28239105893936256,-1,0.19351372229898678,0.37012257724220465,0.16722876949705445,-1
hit,0.43169679792540216,-1,0.2501560647503416,0.1534044823515337,-1,0.33818982900994743,-1,0.2321647562703022,-1,0.011990784961212975,-1,-1,-0.006826051838546121,0.3542402796331142,-1,0.16140776727489725,0.4435612180625582,0.16373152016110615,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
three-under-par,-0.11246588145662284,-1,-0.12422603320228354,-0.05504350730549401,-1,-0.18154895468440224,-1,0.05293650181202636,-1,0.9041504698476172,-1,-1,0.16360812258750757,0.2315793725117572,-1,-0.16957204057285624,-0.20178287559895858,-0.1714106423769497,-1
69,0.3367340485253527,-1,0.30166407890669245,0.21454487213783624,-1,0.19214177235316554,-1,0.1487083337557612,-1,0.6765048165997322,-1,-1,-0.20290068059259392,0.2827579382605483,-1,0.38276374091078835,0.3051198687013652,0.14445564539305744,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trail,0.18417669778083767,-1,0.08593882277012466,0.1439872656003549,-1,0.3244007729447653,-1,0.42237634470913044,-1,-0.07727482297687871,-1,-1,0.007653076085178179,0.37437545108081094,-1,0.049543857869259966,0.25785655539395547,0.12013146424887267,-1
leader,0.27449452138317354,-1,0.4352913367409996,0.3703830204566668,-1,0.2287879175374763,-1,0.11573023498515156,-1,-0.15989290797542188,-1,-1,-0.19178479032270723,0.18471914384483423,-1,0.3199417348724388,0.4090788738985085,0.28111409282087085,-1
rickie,0.0535204659673153,-1,0.44979351050793315,0.3661500734647807,-1,-0.03798533706694207,-1,-0.04262782924416508,-1,0.09799025391289462,-1,-1,-0.3678971612989983,-0.1267595759726745,-1,0.5835372397698811,-0.04367917651904096,0.0637306791758574,-1
fowler,0.14808469750307596,-1,0.4749649747931419,0.47533889940283114,-1,0.04114475992075195,-1,0.062370941170612815,-1,0.1463723050742538,-1,-1,-0.2701183785055232,0.040463950980065055,-1,0.8422922992958878,0.06914540477795794,0.12671799903887027,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
two,0.42098975280942463,-1,0.30174829090260846,0.12882530537642045,-1,0.48404368872593995,-1,0.3708361095754106,-1,-0.06848366832188102,-1,-1,0.03117932396280254,0.5509827964848306,-1,0.18226335819752193,0.4444043278056291,0.1444646113674355,-1
strokes,0.11511106883284483,-1,-0.10529661289890457,-0.06755831224996811,-1,0.23862867269130383,-1,0.34922615952602265,-1,0.11390287305374525,-1,-1,0.16874648771215628,0.3094023239951572,-1,0.07836156665601679,0.1702967652398274,-0.008822189718481477,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
third,0.5469321775015215,-1,0.30836391272667063,0.166420112282328,-1,0.47129512192838974,-1,0.5040231959001048,-1,0.02951241703322638,-1,-1,0.17079641258614253,0.7680431518657875,-1,0.14933681973040458,0.4358599476868936,0.15863224681450383,-1
round,0.38200913988157925,-1,0.1912167293223681,0.06043775271730112,-1,0.3613247848519805,-1,0.5643920677955899,-1,0.10595113395335365,-1,-1,0.29501984328308484,1.0,-1,0.05915388798592691,0.2351591638541053,0.020207056499907616,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wells,0.16530269705955247,-1,0.26152642210465016,0.3577167976376969,-1,0.11818704093847487,-1,0.17070528003461016,-1,0.04246699499208373,-1,-1,-0.18809778673943645,0.12622061017626052,-1,0.3724238936480748,0.3025074548672748,0.35617136817911166,-1
fargo,-0.013520978064391675,-1,0.00158764982140569,0.23685330019810058,-1,-0.12397909688186459,-1,0.005781371221500686,-1,-0.07053028488665958,-1,-1,0.03162362119251394,-0.00017438516395240633,-1,0.15076158430716158,0.08081657096536854,0.2655082759482408,-1
championship,0.5201196375833308,-1,0.2654651238385296,0.1352148276026386,-1,0.38847462393003507,-1,0.461235260697028,-1,-0.10299917355970933,-1,-1,0.03878298613945308,0.6383293732669384,-1,0.14258433781398705,0.4428773660565589,0.22612781135976956,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
