model,rose,told,sky,sports,:,``,it,was,what,the,doctor,ordered,and,has,got,me,right,where,i,want,to,be,going,into,tomorrow,.
england,0.40435531277061465,-1,0.3270151761965854,0.3598007733138995,-1,-1,-1,-1,-1,-1,0.49259258435295994,0.24788696020130774,-1,-1,0.4280970003751109,0.3424438967211657,0.2597337834342741,-1,-1,0.4006981812648396,-1,-1,0.43194974496993355,-1,0.2510045880178935,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
justin,0.44630366836013513,-1,0.24523957266418028,0.31806702885192717,-1,-1,-1,-1,-1,-1,0.1658593940273132,0.19501128944520585,-1,-1,0.07424850956499396,0.03619550151379136,0.04149113402156179,-1,-1,0.07594134823539633,-1,-1,0.0696418210601597,-1,-0.06334245127950333,-1
rose,1.0,-1,0.2498915410530742,0.2924397167455026,-1,-1,-1,-1,-1,-1,0.08254524851975253,0.30372162129547453,-1,-1,0.20903250666685302,0.15682293058778352,0.17130157658762113,-1,-1,0.12033758674040151,-1,-1,0.23522842692617985,-1,0.08157026851180371,-1
hit,0.4744123363738648,-1,0.3384793515751092,0.2874645779857288,-1,-1,-1,-1,-1,-1,0.2906251853658345,0.30819367268002607,-1,-1,0.5215331420279884,0.4604508097691937,0.31229694834141086,-1,-1,0.3317180958572139,-1,-1,0.4280511191456384,-1,0.25267886622591584,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
three-under-par,0.10289795623848752,-1,-0.0021127944494865325,-0.18003587549170197,-1,-1,-1,-1,-1,-1,-0.08710604107660647,-0.10333343346076163,-1,-1,-0.04326162948159196,-0.10371079661497262,0.04365162787209975,-1,-1,-0.22508300673499781,-1,-1,-0.08430961192069364,-1,-0.03359275557486052,-1
69,0.4909369004027976,-1,0.28576689725635174,0.1003657502157328,-1,-1,-1,-1,-1,-1,0.28825662554448284,0.1161941859161304,-1,-1,0.24055259372935633,0.21124451261384003,0.33413976897904374,-1,-1,0.11116147729412029,-1,-1,0.20760748421731623,-1,0.11127162037211435,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trail,0.12100811593186456,-1,0.3152153623741164,0.15496288944894854,-1,-1,-1,-1,-1,-1,0.15252371008590204,0.11496476258332877,-1,-1,0.2381441766899418,0.20121504195619833,0.30675298276321206,-1,-1,0.29728105471861066,-1,-1,0.33870431901952125,-1,0.2872194118245808,-1
leader,0.2302060042963464,-1,0.3703188594275071,0.14702410213261252,-1,-1,-1,-1,-1,-1,0.3272564695936564,0.20497636408648123,-1,-1,0.2551475566607311,0.22316194187841798,0.2241851881548078,-1,-1,0.33621705434203397,-1,-1,0.1882539518324804,-1,0.11984994909203728,-1
