model,being,a,couple,back,on,the,leader,is,nothing,on,this,golf,course,.
england,-1,-1,0.2899088216168657,-1,-1,-1,0.27449452138317354,-1,0.3264052259602207,-1,-1,0.3986940161856132,0.45026718485112416,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
justin,-1,-1,0.10384847637950112,-1,-1,-1,0.32625075636290835,-1,0.10801317761675033,-1,-1,-0.052437832258721784,0.028107146744919098,-1
rose,-1,-1,0.18412179728270073,-1,-1,-1,0.2302060042963464,-1,0.18404017919929783,-1,-1,0.15275616770351197,0.14092459303345173,-1
hit,-1,-1,0.39617738785285606,-1,-1,-1,0.2321756053797427,-1,0.37590738628247744,-1,-1,0.3089990929541371,0.3722358652571317,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
three-under-par,-1,-1,-0.02087163922216262,-1,-1,-1,-0.1795684390647374,-1,-0.11683684110593462,-1,-1,-0.34267266819582254,-0.1362285531441414,-1
69,-1,-1,0.23773568616519647,-1,-1,-1,0.16638482880790195,-1,0.18886456980565447,-1,-1,0.10838983647600875,0.2115804413861163,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trail,-1,-1,0.14380094539053967,-1,-1,-1,0.2599254516216922,-1,0.14584651464394693,-1,-1,0.2703579301268988,0.42608319601057554,-1
leader,-1,-1,0.23633413149630644,-1,-1,-1,1.0,-1,0.2138319136469642,-1,-1,0.22234527698116513,0.32319994150009634,-1
rickie,-1,-1,-0.009357782775960777,-1,-1,-1,0.16455369796000863,-1,-0.08695843137450354,-1,-1,0.09849824094312587,-0.1297441470456926,-1
fowler,-1,-1,0.10823048969792404,-1,-1,-1,0.27257489127188705,-1,0.03726797368661883,-1,-1,0.3445388578990034,0.052749468977239866,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
two,-1,-1,0.6934034778631191,-1,-1,-1,0.29057664347918655,-1,0.4165200193895363,-1,-1,0.43369722337879635,0.5607778094250652,-1
strokes,-1,-1,0.28573069222546277,-1,-1,-1,0.09151549227092004,-1,0.19460671652243622,-1,-1,0.15341801039207548,0.23858769763924914,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
third,-1,-1,0.47570465440101106,-1,-1,-1,0.3417716207495818,-1,0.34501990611364075,-1,-1,0.4638668816725906,0.5907580020798542,-1
round,-1,-1,0.4678409932006067,-1,-1,-1,0.18471914384483423,-1,0.3182063879422734,-1,-1,0.45013666622806237,0.5794580493042872,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wells,-1,-1,0.20827715678567826,-1,-1,-1,0.2003997130701891,-1,0.08815665537395323,-1,-1,0.23288903780619086,0.18164424185543016,-1
fargo,-1,-1,-0.07093522707600686,-1,-1,-1,0.01781749942162625,-1,-0.25192598979641434,-1,-1,0.10465844384984913,-0.08155878421917073,-1
championship,-1,-1,0.3826190291187216,-1,-1,-1,0.30172777484911006,-1,0.19448463397102111,-1,-1,0.6055341221207903,0.5511776518313449,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
