model,'',american,roberto,castro,is,in,second,after,dropping,a,shot,on,the,last,hole,while,sharing,the,lead,with,fowler,.
england,-1,0.5217509896889063,0.1877812716542019,0.10863246736241239,-1,-1,0.446785693987341,-1,0.2729412798530011,-1,0.27092242389657195,-1,-1,-1,0.31158623555606546,0.6078432424626693,0.29523811912123943,-1,0.4540914876380686,-1,0.14808469750307596,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
justin,-1,0.4190959220202424,0.7820561245993711,0.11340020029985587,-1,-1,0.16807583279379446,-1,0.07111206250415247,-1,0.19357886396709856,-1,-1,-1,0.350704406625435,0.27848513928258134,0.12387966464754707,-1,0.1697550072352959,-1,0.07137303003717554,-1
rose,-1,0.3158163893515815,0.30582740629153404,0.1575927002443993,-1,-1,0.36412781136806616,-1,0.46742758392992134,-1,0.4144004952458282,-1,-1,-1,0.3371850405188971,0.5410121286343896,0.24453428843458092,-1,0.31260087517707635,-1,0.14978431868081254,-1
hit,-1,0.44669641752705025,0.028499621642191997,0.08287919628165896,-1,-1,0.40516976719558007,-1,0.4232608881699209,-1,0.5340956921510858,-1,-1,-1,0.4986364093212218,0.5290102245061323,0.3078830578084819,-1,0.3994695920398106,-1,0.0692561151111889,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
three-under-par,-1,-0.2353666220378725,-0.2830434386034446,-0.5823009715214822,-1,-1,0.13589255198173134,-1,0.22359521521527725,-1,0.17944094431916524,-1,-1,-1,0.28035968867660577,-0.10025956448485474,-0.433144288525972,-1,0.03233028387359149,-1,-0.029971309279296365,-1
69,-1,0.22902711067571835,-0.07628308163212072,-0.241795225763497,-1,-1,0.36042003844798787,-1,0.36280961814448065,-1,0.44004283009733414,-1,-1,-1,0.3348896366340812,0.41057083943805694,-0.10894039486731466,-1,0.2281588569655295,-1,0.33766946270113896,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trail,-1,0.29117167091796603,0.09803744817552051,0.04150442386562181,-1,-1,0.27070279027248634,-1,0.2827278397680577,-1,0.17354199679383964,-1,-1,-1,0.42564764637953667,0.34619961153554213,0.2641205405653331,-1,0.27470573297713263,-1,0.03743094806513325,-1
leader,-1,0.4372585520374459,0.2118507383193836,0.24977481443367933,-1,-1,0.29282763706773496,-1,0.11341163243769925,-1,0.22916812108792384,-1,-1,-1,0.18563444407149587,0.3653160213779829,0.14292769971520047,-1,0.3001022384769735,-1,0.27257489127188705,-1
rickie,-1,0.0055326283158338985,0.09137809755071091,0.23470893915411262,-1,-1,-0.0958367239354132,-1,-0.06961274713550658,-1,-0.08646383157985404,-1,-1,-1,-0.26406874924414003,-0.005309774101698528,-0.2544843819464069,-1,-0.013060237929936935,-1,0.8578139141814617,-1
