model,the,latest,pictures,were,acquired,by,the,us,space,agency,'s,dawn,spacecraft,on,its,first,full,science,orbit,since,arriving,at,ceres,on,6,march,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fascinating,-1,0.38846742518260746,0.3602931551699564,-1,0.2553562952907421,-1,-1,0.24149835442724088,0.28710016610515754,0.052748677399616306,-1,0.16376201408647006,0.3402826309295608,-1,-1,-1,0.3931075260395147,0.3240465418665852,0.3717389781896685,-1,0.04577503063777022,-1,-0.028268674092176926,-1,-1,0.03657894500487868,-1
bright,-1,0.17091141214354666,0.20084495762860133,-1,0.21412147094215528,-1,-1,0.23237588546202348,0.6352222516629341,0.26604453872739686,-1,0.11502061979704148,0.20979301498181402,-1,-1,-1,0.33199222467358713,0.13613341217156438,0.4625996398568769,-1,0.1353375387075585,-1,-0.09925833244489723,-1,-1,0.13988400682399638,-1
spots,-1,-0.02903121608893522,0.016987328952060232,-1,0.019511247826579536,-1,-1,0.07003548984102848,0.37504336802980975,-0.027233831544377196,-1,-0.011321587997100258,0.12936634399799796,-1,-1,-1,0.1499569784137894,0.05444936476498796,0.3084032914777972,-1,0.15660784595488497,-1,0.1577278755365612,-1,-1,0.10088516420374716,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
surface,-1,0.317776524588278,0.3073089026900111,-1,0.29092187509459755,-1,-1,0.3687440454683075,0.526786513995706,0.27153836249141194,-1,0.23022980470009746,0.6463492219363566,-1,-1,-1,0.42645528840744895,0.4223400807097015,0.41716465603880115,-1,0.3086677698704374,-1,0.05923626433898954,-1,-1,0.2711019148049998,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
dwarf,-1,0.03309006030411954,0.08479024703174654,-1,0.028083568880520215,-1,-1,0.107571749365176,0.261318379733533,-0.08834981495248395,-1,-0.013867143576908214,0.21433493684390004,-1,-1,-1,-0.07354227239053301,0.06372844463713023,0.31682216685513853,-1,-0.045051060940860976,-1,0.3730340114489106,-1,-1,-0.03975649599431508,-1
planet,-1,0.31021188396465527,0.28496181591466996,-1,0.22373030028546692,-1,-1,0.327323283998326,0.5115882407155977,0.19323451858479856,-1,0.14568919857124007,0.43511195040462836,-1,-1,-1,0.26678345101220624,0.41634227700931736,0.5011742787196788,-1,0.17595903498599352,-1,0.22841262394356354,-1,-1,0.1307655636766889,-1
ceres,-1,-0.1668790291765634,-0.19228383739814725,-1,-0.2633003365782767,-1,-1,-0.224165565836685,-0.20872830446621293,-0.38962558598074226,-1,0.1070317173990537,0.04506471902714915,-1,-1,-1,-0.27700015631394814,-0.13964608460739347,0.06421243621300265,-1,0.027575437182809748,-1,1.0,-1,-1,-0.16562556758629032,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
come,-1,0.39456409345177657,0.44333020545273216,-1,0.1837328338046803,-1,-1,0.5385988080929822,0.45716749007164226,0.218025029252915,-1,0.16678938066792548,0.3552149613350042,-1,-1,-1,0.5598667721417026,0.2893621049545567,0.35590623550266964,-1,0.43680256696609643,-1,-0.17495274987562892,-1,-1,0.3938075608794822,-1
into,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sharper,-1,0.08948013698649082,0.13154895675185385,-1,0.09926872761266392,-1,-1,0.09801248457475709,0.1352255219405527,-0.10612783597787123,-1,-0.03924167719475702,0.21509730595129084,-1,-1,-1,0.22077999530739512,0.08259666410930944,0.3596486708591351,-1,0.09113121891754783,-1,-0.09385127278389138,-1,-1,-0.10565016957520035,-1
view,-1,0.32099572743061544,0.4360929662272286,-1,0.25431349983838514,-1,-1,0.3573971865568477,0.39225513379688515,0.2180768789780756,-1,0.14053806934446456,0.3484210803681851,-1,-1,-1,0.5397404616208116,0.44487740168021506,0.296613852905834,-1,0.17247777243794915,-1,-0.049440299685891365,-1,-1,0.2576756027700613,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
