model,a,high,court,judge,in,belfast,had,ruled,that,the,psni,should,not,have,facilitated,illegal,parades,and,was,wrong,to,think,it,did,not,have,legal,powers,to,stop,them,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
resident,-1,0.21347776403422936,0.2470532568463537,0.2905814580939723,-1,0.44577631755387737,-1,0.17600404109270695,-1,-1,0.34093505585758166,0.240511516471697,-1,-1,-0.0373978593231854,0.09296659013199915,-0.10730902919001628,-1,-1,0.15376724493151284,-1,0.25580811227627165,-1,0.24373098549386585,-1,-1,0.15981022587627702,0.05636306037400418,-1,0.09516112218064432,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
short,-1,0.6046619419135384,0.4153956677752537,0.3551902426306004,-1,0.38642129389948576,-1,0.4234553662481899,-1,-1,0.11393657185774808,0.42260832442752516,-1,-1,-0.011454497355777082,0.2600699233466217,-0.019088759872691652,-1,-1,0.4709502154710421,-1,0.49898064168580003,-1,0.5309500167608531,-1,-1,0.3039983312250103,0.22819948554857583,-1,0.4400175816994534,-1,-1
strand,-1,0.3211002448384874,0.2533448431896843,0.11168759712956633,-1,0.3807602185522996,-1,0.05986371648504163,-1,-1,0.004463236314686925,0.0033769894347177587,-1,-1,-0.0571539219409678,-0.00040704293897753097,0.15625323933971824,-1,-1,0.2441455458655668,-1,0.024285901277637745,-1,0.04759364676274269,-1,-1,-0.021858727594472382,-0.03856677094959471,-1,0.1065065800390873,-1,-1
area,-1,0.42655804017209875,0.3612565265427511,0.21605335732668385,-1,0.5768490994156045,-1,0.318522275601552,-1,-1,0.32463185369793013,0.39719036576319544,-1,-1,0.007757260885189021,0.25107450956001476,0.2857013999913338,-1,-1,0.3686659997807129,-1,0.40651080558495223,-1,0.37388812025730833,-1,-1,0.12734250082279808,0.2611913186642878,-1,0.41776599540378134,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
east,-1,0.323987031211199,0.33838053477749397,0.1683971732004892,-1,0.8564451554901824,-1,0.25045798969637356,-1,-1,0.4231477594203753,0.2978807430884476,-1,-1,-0.17899542295512783,0.2535039942841488,0.2246048432826544,-1,-1,0.1874770135893321,-1,0.28527092285286737,-1,0.2964658434901334,-1,-1,0.09829896534177052,0.2461282602522158,-1,0.32817429160820133,-1,-1
belfast,-1,0.4433254000997262,0.6128278687534019,0.3902184373110932,-1,1.0,-1,0.47292125927815243,-1,-1,0.5367457527294672,0.36882582752115756,-1,-1,-0.2059713087447801,0.20064238313636906,0.2505371006535222,-1,-1,0.23107760935892463,-1,0.2801520210362398,-1,0.3962543472394022,-1,-1,0.20658421731652155,0.2136282237382654,-1,0.35668851178664496,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
challenged,-1,0.2861310702170361,0.5180058991081825,0.5322864578056367,-1,0.3484422581351212,-1,0.6996902090321442,-1,-1,0.4397747878124584,0.5889707079978571,-1,-1,0.43998798585641885,0.2793779350105625,0.1426343068662289,-1,-1,0.4456894075206562,-1,0.45715875867638534,-1,0.48830628249136476,-1,-1,0.33301196518294507,0.36546009537962454,-1,0.4258691865580244,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
