model,the,lawyer,said,there,were,``,evident,flaws,'',in,the,court,of,appeal,decision,and,its,analysis,of,the,evidence,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
resident,-1,0.4592400275084505,-1,-1,-1,-1,0.06840910591001492,0.12398808334957612,-1,-1,-1,0.2470532568463537,-1,0.08732242442756355,0.12372224626115991,-1,-1,0.14919609367472453,-1,-1,0.13947680491019376,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
short,-1,0.21986277739097493,-1,-1,-1,-1,0.28252650972170157,0.17291890045960756,-1,-1,-1,0.4153956677752537,-1,0.35938981094193845,0.4463927629376352,-1,-1,0.3155755015883701,-1,-1,0.34758965331510905,-1
strand,-1,-0.09127220763840005,-1,-1,-1,-1,0.13627678465043935,0.18635963557970925,-1,-1,-1,0.2533448431896843,-1,0.09374928347230371,0.11297052865272872,-1,-1,0.1874453732266822,-1,-1,0.11401453987503629,-1
area,-1,0.08988839461694553,-1,-1,-1,-1,0.1984155770257009,0.285606500910755,-1,-1,-1,0.3612565265427511,-1,0.301336995535189,0.3103079032970869,-1,-1,0.23991357578159067,-1,-1,0.3009400060935905,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
east,-1,0.184038186848418,-1,-1,-1,-1,0.1315620626468581,0.038549310400017966,-1,-1,-1,0.33838053477749397,-1,0.18241408661659175,0.2503275777543543,-1,-1,0.22110919124085981,-1,-1,0.16289382341416103,-1
belfast,-1,0.3722044852154254,-1,-1,-1,-1,0.13293516014167173,0.0834945879690927,-1,-1,-1,0.6128278687534019,-1,0.35372868728461204,0.3812345722970465,-1,-1,0.22449036223148333,-1,-1,0.2564712896792982,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
challenged,-1,0.47001860210540025,-1,-1,-1,-1,0.37107902350838073,0.3007726220152156,-1,-1,-1,0.5180058991081825,-1,0.5089888209946724,0.5965625113643999,-1,-1,0.22260209329849612,-1,-1,0.3736794143595654,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
decision,-1,0.41526986240969554,-1,-1,-1,-1,0.21554516074970986,0.18643899035403988,-1,-1,-1,0.5790980365418638,-1,0.6750193187429959,1.0,-1,-1,0.35188232695497845,-1,-1,0.355911859864821,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
overturn,-1,0.3107178124095282,-1,-1,-1,-1,0.06684766540276776,0.14010429004386737,-1,-1,-1,0.4642765882719737,-1,0.6347147046446112,0.6387069940237501,-1,-1,0.08967925105163832,-1,-1,0.2123675522876044,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
court,-1,0.5331108172169223,-1,-1,-1,-1,0.07576875931450944,0.1356582512172967,-1,-1,-1,1.0,-1,0.7042753804942445,0.5790980365418638,-1,-1,0.16954871522244674,-1,-1,0.45235144578309494,-1
ruling,-1,0.565528466131168,-1,-1,-1,-1,0.1423876403315225,0.2553700343911035,-1,-1,-1,0.7377828707034109,-1,0.7407889433102185,0.7896093886004533,-1,-1,0.35876024729228817,-1,-1,0.43896692496346357,-1
that,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
psni,-1,0.4722738708444898,-1,-1,-1,-1,0.0893412865847596,0.23258965612519344,-1,-1,-1,0.34966456988305805,-1,0.3840090911253371,0.362490286075168,-1,-1,0.34334143705476916,-1,-1,0.2775085110559753,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wrong,-1,0.20010800204081813,-1,-1,-1,-1,0.34133388618035576,0.2604292039137456,-1,-1,-1,0.3320792898684597,-1,0.27273120402818485,0.5472581031446454,-1,-1,0.2878430604483687,-1,-1,0.3477326957586644,-1
not,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stop,-1,0.20880395640984717,-1,-1,-1,-1,0.197924506335593,0.14906894073567467,-1,-1,-1,0.3750487490998238,-1,0.4333917411624212,0.5224988388261255,-1,-1,0.15421594359782254,-1,-1,0.32954560539754574,-1
union,-1,0.31705733099275224,-1,-1,-1,-1,-0.042707695739441665,0.040160321304437696,-1,-1,-1,0.3395570104076657,-1,0.3049479219815119,0.4342333461228761,-1,-1,0.1971156856823394,-1,-1,0.16581805636609848,-1
flag,-1,0.20562678500501375,-1,-1,-1,-1,0.1418414639796961,0.1338863382637121,-1,-1,-1,0.33536589202156186,-1,0.3046564655951993,0.3098450404467685,-1,-1,0.1010690903554945,-1,-1,0.17891910991789828,-1
protests,-1,0.14890197497717295,-1,-1,-1,-1,0.2833286671910116,0.35562950083234157,-1,-1,-1,0.3254035628620444,-1,0.35473693420932895,0.3457410207605476,-1,-1,0.1713811062920172,-1,-1,0.26895314703915285,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
