model,there,were,widespread,loyalist,protests,across,northern,ireland,after,belfast,city,council,decided,not,to,fly,the,union,flag,at,the,city,hall,every,day,of,the,year,in,december,2012,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
resident,-1,-1,-0.004832444724883089,0.35814652717041406,0.05202360166648223,0.15680579792317617,0.2882106108934679,0.23581377979845053,-1,0.44577631755387737,0.2804090036988949,0.30794444909564556,0.1935741053889366,-1,-1,0.05313548720638217,-1,0.31948323198461026,0.13353700918932143,-1,-1,0.2804090036988949,0.36806014407775445,0.38913587897573176,0.2387947757794484,-1,-1,0.24123807560769572,-1,0.14899770188562655,0.1193099783858722,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
short,-1,-1,0.21495925192799448,-0.09244950008315045,0.3325986094137796,0.39728746984965135,0.29516407755903884,0.3624945431784803,-1,0.38642129389948576,0.3282670183216303,0.22596885578799708,0.43940564193125375,-1,-1,0.40699796142803013,-1,0.22467806386222833,0.27793852223169413,-1,-1,0.3282670183216303,0.2306314482122035,0.5539926892382978,0.6419962557886848,-1,-1,0.6135556324611,-1,0.5297576718475188,0.43692195263394096,-1
strand,-1,-1,0.07534616704598063,0.05950172309100887,0.17619927761040732,0.19482612730770676,0.056525682248774745,-0.002434312694762575,-1,0.3807602185522996,0.21451142627470876,0.11659341725008787,0.004332890329145078,-1,-1,0.1560402914791601,-1,-0.08363222015762384,0.18666094696161106,-1,-1,0.21451142627470876,0.12852076020365,0.2379812525991546,0.26407537057631436,-1,-1,0.11236478555541685,-1,0.17024639872073843,0.055104620514119795,-1
area,-1,-1,0.2365739781802736,0.13691330095286225,0.2760967909444667,0.5178419890068182,0.49026636892670905,0.39033335120110046,-1,0.5768490994156045,0.5746461587970826,0.45605075170289755,0.3087468344200788,-1,-1,0.30357280856216384,-1,0.31762173095732427,0.23187784422242963,-1,-1,0.5746461587970826,0.40501425196431495,0.4534449344314023,0.387774134479256,-1,-1,0.37212800259059087,-1,0.3623982793565328,0.2755383838786478,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
east,-1,-1,0.2264395645148023,0.25691189406335657,0.4754803424820476,0.6201667333298001,0.5543336903294284,0.47450922581953203,-1,0.8564451554901824,0.6170767175462273,0.5157177942871222,0.2806519997562824,-1,-1,0.34242238881517806,-1,0.3963765258958243,0.3298936124153812,-1,-1,0.6170767175462273,0.4512195828140424,0.3460470085656231,0.41555405509916044,-1,-1,0.40494481141438854,-1,0.42802820292395716,0.42213539258643396,-1
belfast,-1,-1,0.1904903360639918,0.27448238901253086,0.47203835178938225,0.4715969221502663,0.5534826602108477,0.5130240432618712,-1,1.0,0.6917568529711483,0.5743140083829189,0.456071167802512,-1,-1,0.38938754661986086,-1,0.4535723926787151,0.39805369173918703,-1,-1,0.6917568529711483,0.6133200598705423,0.38057571813917823,0.4879000186699154,-1,-1,0.49690608584497054,-1,0.5321689635684406,0.5153478444111148,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
challenged,-1,-1,0.34255079124385457,0.15002997284328123,0.37390973193651056,0.2470130572221756,0.28169465649166037,0.35248283774411093,-1,0.3484422581351212,0.2871305193594367,0.3778558540078152,0.6700967759594806,-1,-1,0.3393830616527632,-1,0.333659784627401,0.2981225485294562,-1,-1,0.2871305193594367,0.23175010451252775,0.23463934273805553,0.2420674076519782,-1,-1,0.38338226128650454,-1,0.34130599805660733,0.35794537544296257,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
decision,-1,-1,0.28702149044494996,-0.1286116287986394,0.3457410207605476,0.284761746325752,0.3217930209584402,0.4176242855010135,-1,0.3812345722970465,0.37447515540808296,0.47292432510258187,0.7605000845091938,-1,-1,0.34769540394452325,-1,0.4342333461228761,0.3098450404467685,-1,-1,0.37447515540808296,0.23172230989958276,0.39522642593160695,0.45366960651810795,-1,-1,0.4736993971833996,-1,0.4289629154949004,0.32881932340357034,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
overturn,-1,-1,0.2000943840687861,-0.07883696076235602,0.12430158503410316,-0.07770784849531953,0.02989697995752072,0.08897083120692817,-1,0.07782203836703339,0.09418426801924251,0.2406927219499292,0.555831292455159,-1,-1,0.30689750213064915,-1,0.10500690249839495,0.21527357715464257,-1,-1,0.09418426801924251,-0.0314025629940613,0.04552474203847634,0.0627799636169476,-1,-1,0.18727307839636553,-1,0.17136534200453424,0.1258918677901386,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
court,-1,-1,0.2137706938475481,0.024453087208587077,0.3254035628620444,0.17068675695898827,0.2819418218316896,0.3300289506827765,-1,0.6128278687534019,0.46877260604469506,0.4613629615865281,0.6342057877297389,-1,-1,0.32294826144344335,-1,0.3395570104076657,0.33536589202156186,-1,-1,0.46877260604469506,0.37913271409085236,0.2764163841891123,0.3558743463800169,-1,-1,0.4172278766331736,-1,0.5054827681513353,0.44791467147014496,-1
ruling,-1,-1,0.3445917377418868,0.09774736287154417,0.43925937480572497,0.2580361482629755,0.4426732060947005,0.48819604261882077,-1,0.5265704820328374,0.42322718480861954,0.5211601083044967,0.7033183725689843,-1,-1,0.3054368728840682,-1,0.5888910852799073,0.4626296921290649,-1,-1,0.42322718480861954,0.29176767163635153,0.33363454847116425,0.43793511613353864,-1,-1,0.5095034141027859,-1,0.5033344204982887,0.47723710629615046,-1
that,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
