model,the,psni,insisted,it,did,not,have,the,legal,powers,to,stop,them,and,warned,that,doing,so,might,have,made,the,situation,worse,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
resident,-1,0.34093505585758166,0.300238574435546,-1,0.24373098549386585,-1,-1,-1,0.15981022587627702,0.05636306037400418,-1,0.09516112218064432,-1,-1,0.2837053618640629,-1,0.16597991971819015,0.16856789600738442,0.21603661861011303,-1,-1,-1,0.19650737473724456,0.08989280583725479,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
short,-1,0.11393657185774808,0.2758269032440117,-1,0.5309500167608531,-1,-1,-1,0.3039983312250103,0.22819948554857583,-1,0.4400175816994534,-1,-1,0.280470661235796,-1,0.5200291932759006,0.6335285175902021,0.5166572364200548,-1,-1,-1,0.47863295223356617,0.4155102740675376,-1
strand,-1,0.004463236314686925,-0.07020956194578098,-1,0.04759364676274269,-1,-1,-1,-0.021858727594472382,-0.03856677094959471,-1,0.1065065800390873,-1,-1,-0.12197704312593416,-1,0.07894876762962566,0.12230930133645657,0.038470652478294065,-1,-1,-1,0.289226610252315,0.04844592907072531,-1
area,-1,0.32463185369793013,0.22252304113109023,-1,0.37388812025730833,-1,-1,-1,0.12734250082279808,0.2611913186642878,-1,0.41776599540378134,-1,-1,0.30716630779186804,-1,0.35921699377465055,0.44539877687413054,0.4162394699926719,-1,-1,-1,0.48213393933457904,0.2607126656459682,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
east,-1,0.4231477594203753,0.22059806952479533,-1,0.2964658434901334,-1,-1,-1,0.09829896534177052,0.2461282602522158,-1,0.32817429160820133,-1,-1,0.3656788458179696,-1,0.2365776857643278,0.36438343603621504,0.313890236465194,-1,-1,-1,0.3086727631101911,0.18003859631015307,-1
belfast,-1,0.5367457527294672,0.35694051244759917,-1,0.3962543472394022,-1,-1,-1,0.20658421731652155,0.2136282237382654,-1,0.35668851178664496,-1,-1,0.4439849045551034,-1,0.21955312178678887,0.36472476736932813,0.30522684411506673,-1,-1,-1,0.29624264499414277,0.10608028012959969,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
challenged,-1,0.4397747878124584,0.6075949603425703,-1,0.48830628249136476,-1,-1,-1,0.33301196518294507,0.36546009537962454,-1,0.4258691865580244,-1,-1,0.6137134617251496,-1,0.4244807734619729,0.45546356296647483,0.505956474189689,-1,-1,-1,0.41137669053152104,0.28423888315880574,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
decision,-1,0.362490286075168,0.5169011130544855,-1,0.62141780649282,-1,-1,-1,0.46478731432946563,0.30127303839390973,-1,0.5224988388261255,-1,-1,0.5407560597850505,-1,0.4021252892588797,0.5317260883006317,0.5824226860044438,-1,-1,-1,0.5062191813802239,0.3546156528562874,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
overturn,-1,0.14069193179688977,0.30775620060298126,-1,0.38668445846902455,-1,-1,-1,0.3380276644626501,0.21744011157659815,-1,0.32639790595891804,-1,-1,0.2726858944503996,-1,0.1027505545167473,0.16911097752193682,0.34268090641741034,-1,-1,-1,0.1786061054335628,0.11877429241178994,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
court,-1,0.34966456988305805,0.38594152127610015,-1,0.4938623906238082,-1,-1,-1,0.4406339837617852,0.23446359707354592,-1,0.3750487490998238,-1,-1,0.45158075073464865,-1,0.25457387865471515,0.3601526617765569,0.35852115703810494,-1,-1,-1,0.271471682345924,0.11197798226482436,-1
ruling,-1,0.5402539161934641,0.54788324812357,-1,0.5914374614459375,-1,-1,-1,0.465141413436702,0.35786320662751825,-1,0.4535788892742253,-1,-1,0.6175108857451377,-1,0.33588312125991804,0.44073045932975563,0.49578514119777706,-1,-1,-1,0.4247276209325336,0.18314974005650286,-1
that,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
psni,-1,1.0,0.45663244872610287,-1,0.3713379447671762,-1,-1,-1,0.2792135703621481,0.3040007718785178,-1,0.27033978497160527,-1,-1,0.5762559200947537,-1,0.2248083330689543,0.2286233616120008,0.25028934433841676,-1,-1,-1,0.31869555575530617,0.07538020084498742,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
wrong,-1,0.15793342200419191,0.4287481950872991,-1,0.5664853381928364,-1,-1,-1,0.2742032688820506,0.18459248697020447,-1,0.4553223809008766,-1,-1,0.2607365007652005,-1,0.6768867479792441,0.6034920514417214,0.6092402286295692,-1,-1,-1,0.5907722795606428,0.5904141372324039,-1
not,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
stop,-1,0.27033978497160527,0.332446873973268,-1,0.6385185371438764,-1,-1,-1,0.28751482410288776,0.3864479817682793,-1,1.0,-1,-1,0.48778311751478853,-1,0.6017835276629346,0.5679609001417051,0.6470797107203377,-1,-1,-1,0.42092110848119657,0.36976072737886456,-1
union,-1,0.5722004116854658,0.41841456841980507,-1,0.4209199820488867,-1,-1,-1,0.359565176033356,0.44730363953692753,-1,0.3981012086939778,-1,-1,0.6157680336835436,-1,0.3379859246542354,0.3684767807837166,0.4124762220005107,-1,-1,-1,0.31948863788645365,0.15493623655714905,-1
flag,-1,0.3116061735383626,0.215501042663495,-1,0.17713356466440777,-1,-1,-1,0.32136647517922556,0.3019146769048442,-1,0.32599376250515066,-1,-1,0.217215263544012,-1,0.24585005730180576,0.24645400877879697,0.22751442093319407,-1,-1,-1,0.1695057209118156,0.10527291678356787,-1
protests,-1,0.219424170333826,0.20254263483211654,-1,0.19785863563145478,-1,-1,-1,0.24487823656502594,0.2640706327866028,-1,0.30950456879254384,-1,-1,0.45920624277293376,-1,0.10425924520310481,0.29006247248780226,0.29685615785562136,-1,-1,-1,0.3376651779120732,0.08639333561840645,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
