model,the,judge,said,the,police,had,not,understood,the,full,scope,of,their,powers,and,had,facilitated,illegal,and,sometimes,violent,parades,in,breach,of,their,legal,duties,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
resident,-1,0.2905814580939723,-1,-1,0.3374568847058401,-1,-1,0.27621340120997984,-1,0.19870563065499292,0.14382296252564253,-1,-1,0.05636306037400418,-1,-1,-0.0373978593231854,0.09296659013199915,-1,0.1339372474564109,0.039978014876899226,-0.10730902919001628,-1,0.1862664195605499,-1,-1,0.15981022587627702,-0.024072308852981728,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
short,-1,0.3551902426306004,-1,-1,0.33223945774860186,-1,-1,0.31917408187822593,-1,0.6318027766289745,0.2812148635474776,-1,-1,0.22819948554857583,-1,-1,-0.011454497355777082,0.2600699233466217,-1,0.511412526810448,0.34933102994662435,-0.019088759872691652,-1,0.2925395880946433,-1,-1,0.3039983312250103,0.28734255422775257,-1
strand,-1,0.11168759712956633,-1,-1,0.22307948330906557,-1,-1,0.03666613185003065,-1,0.2682426976437535,0.10444387003362221,-1,-1,-0.03856677094959471,-1,-1,-0.0571539219409678,-0.00040704293897753097,-1,0.10342790651224443,0.18896085413894392,0.15625323933971824,-1,0.15900284233554185,-1,-1,-0.021858727594472382,0.09046048888244318,-1
area,-1,0.21605335732668385,-1,-1,0.51032696219003,-1,-1,0.29590883260959877,-1,0.42526031073379944,0.26160693754243325,-1,-1,0.2611913186642878,-1,-1,0.007757260885189021,0.25107450956001476,-1,0.35363090954004184,0.28316843578196904,0.2857013999913338,-1,0.24378885209524137,-1,-1,0.12734250082279808,0.14529710584277744,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
east,-1,0.1683971732004892,-1,-1,0.4824141251457835,-1,-1,0.22840097173745955,-1,0.21603488870614207,0.04881914379016605,-1,-1,0.2461282602522158,-1,-1,-0.17899542295512783,0.2535039942841488,-1,0.24236892809646093,0.23628487961088096,0.2246048432826544,-1,0.11831838811806605,-1,-1,0.09829896534177052,0.1134564005258819,-1
belfast,-1,0.3902184373110932,-1,-1,0.5499295243022594,-1,-1,0.33707810038017616,-1,0.3113369577583037,0.04569104024244419,-1,-1,0.2136282237382654,-1,-1,-0.2059713087447801,0.20064238313636906,-1,0.1998270942027568,0.26288673546086994,0.2505371006535222,-1,0.23543866355442278,-1,-1,0.20658421731652155,0.20568319674417768,-1
