model,the,23-year-old,who,represented,team,gb,at,rio,2016,beat,dutchman,ferry,weertman,in,a,sprint,to,the,finish,.
britain,-1,0.29142527235729965,-1,0.5419758516250792,0.609912805500695,0.6744507325186516,-1,0.6123609632683541,0.6331108212977916,0.5020257339508674,0.17344345928004135,0.16039917329995634,-0.5060322250878566,-1,-1,0.48514060304950046,-1,-1,0.4423064389015867,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jack,-1,0.3140306137171446,-1,0.2029713308354928,0.23672698342970833,0.3930182621506735,-1,0.20878772702595016,0.27691369669108346,0.39531951188280745,0.4032247445354107,0.1727118601902905,-0.328462880770348,-1,-1,0.04392931272788003,-1,-1,0.17226596024671736,-1
burnell,-1,0.04770325331217151,-1,-0.11083282703380859,-0.21797175539884295,-0.030406242384757975,-1,-0.04912466000998594,-0.23403392378542986,-0.1281480655458349,0.42611487128552583,0.0896142916603011,0.1562195624340068,-1,-1,-0.09005211439947725,-1,-1,-0.1950740312269157,-1
won,-1,0.36093923139341944,-1,0.46565059150149923,0.5259048363173018,0.6633115869528581,-1,0.564036194371582,0.6019707359832333,0.5350823324892265,0.2935326299244678,0.0546115956385228,-0.36783527139085703,-1,-1,0.5232391859422618,-1,-1,0.3560260439959897,-1
gold,-1,0.22641327126925115,-1,0.30622189230727814,0.5249501323732017,0.6883090875304171,-1,0.710961708993305,0.5460963392728531,0.4038329545595859,0.22250917247011226,0.20213585252334554,-0.22064938895435593,-1,-1,0.6617079810147379,-1,-1,0.3496403027053012,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
abu,-1,0.283788591162873,-1,0.23357225639491241,0.12656282864369817,0.2672148332102613,-1,0.21969467681918609,0.20958148777100494,0.12669300782663406,0.27482278415176475,0.19131765410785628,-0.22905730400826818,-1,-1,0.2970826202924173,-1,-1,0.13875870152084246,-1
dhabi,-1,0.08527583064015043,-1,0.031944327538880435,0.0037276671076541534,-0.13693399173959953,-1,0.12194339962539591,0.06807649882398326,0.06011946738309237,-0.009677996727049942,0.04845660107008021,0.11689230439264242,-1,-1,0.08425432633646945,-1,-1,0.015411693832125595,-1
leg,-1,0.32413922977719734,-1,0.26862735397754167,0.43212886710792864,0.4404401617649749,-1,0.32534865205337926,0.4720914370942797,0.4583602918159372,0.17844660869210005,0.06872848066879633,-0.3071563104093711,-1,-1,0.43517918539156697,-1,-1,0.43281994649062694,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10km,-1,0.027832637998074672,-1,0.07494097840026948,0.11915935933797317,0.5093348870526104,-1,0.13770355987564842,0.24462023961916768,0.22564964445654223,0.08913162938507013,0.1747925790955639,-0.25978374438622587,-1,-1,0.15234524468400357,-1,-1,0.12451513116891066,-1
marathon,-1,0.20193936677928992,-1,0.22596034026799483,0.29016427259508415,0.46430992897351264,-1,0.42553919006037866,0.4229811552666587,0.3193367971489056,0.18824755991412223,0.3400366057549853,-0.11668527657061567,-1,-1,0.38159162376336186,-1,-1,0.26527187009165965,-1
swimming,-1,0.3068841605299901,-1,0.3282984894128067,0.49104131882609126,0.5256184676256461,-1,0.4419306008572299,0.43933865453325127,0.36672680755277165,-0.002766911972102326,0.1572842042908278,-0.3799738767218126,-1,-1,0.48610068455416433,-1,-1,0.33130657663649166,-1
world,-1,0.25157555595028835,-1,0.4005872963840844,0.4357970835135948,0.5232664635137304,-1,0.3921925769933967,0.5258798487681218,0.457082805878152,0.12221750457413483,0.1869915725468836,-0.34040713606427864,-1,-1,0.3905786934749522,-1,-1,0.24031273004167675,-1
cup,-1,0.17540302345971226,-1,0.36412651508716887,0.4709127584049886,0.6631808369125215,-1,0.5403640851835411,0.6790718563942031,0.5451770127754482,0.1225659265489214,0.1031223889131645,-0.3250815394864781,-1,-1,0.46659830502603294,-1,-1,0.34640367113158,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
