model,``,i,am,out,there,to,win,every,single,race,i,go,into,i,am,not,out,there,to,come,second,third,or,fourth,.
britain,-1,-1,0.39080564593371747,-1,-1,-1,0.5880036556576111,0.4838618997766577,0.653079383537067,0.5527350083465078,-1,0.6142043409240945,-1,-1,0.39080564593371747,-1,-1,-1,-1,0.570844669919347,0.5364936640241517,0.6620802492056408,-1,0.5532231643392062,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jack,-1,-1,0.2667426944437168,-1,-1,-1,0.2720444304371018,0.10748678470458017,0.017165218539107685,0.1416906252594352,-1,0.2878975474950781,-1,-1,0.2667426944437168,-1,-1,-1,-1,0.23705571959941762,0.3242694918491478,0.32145983867833383,-1,0.2931972762000894,-1
burnell,-1,-1,-0.13973382362408016,-1,-1,-1,-0.23721857568196514,-0.3311474624321207,-0.36824589779990236,-0.19973908794043593,-1,-0.3366931473995689,-1,-1,-0.13973382362408016,-1,-1,-1,-1,-0.30159299353310254,-0.1788419235117098,-0.21128021304582356,-1,-0.13197003352870462,-1
won,-1,-1,0.24217363082946197,-1,-1,-1,0.7150308967942465,0.373995874871639,0.4353660532441861,0.5899955515113049,-1,0.47519777054531764,-1,-1,0.24217363082946197,-1,-1,-1,-1,0.4049497957938629,0.4396807413414592,0.5958119823652314,-1,0.4992793716036191,-1
gold,-1,-1,0.13220191655194835,-1,-1,-1,0.5521930869917001,0.33539790853118046,0.41599647725518896,0.5577978413441341,-1,0.32067675796171813,-1,-1,0.13220191655194835,-1,-1,-1,-1,0.2226691579211043,0.41815906884274456,0.5521808058962155,-1,0.5157145436640829,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
abu,-1,-1,0.047434374105210786,-1,-1,-1,0.08382602584993637,-0.04758723102090112,0.1560162215955352,0.20728998507572105,-1,-0.12467519706911889,-1,-1,0.047434374105210786,-1,-1,-1,-1,-0.06227648758256432,0.10566252609589233,0.13146544652504089,-1,0.15561604450616395,-1
dhabi,-1,-1,-0.033439820403313725,-1,-1,-1,0.04751872129631163,-0.040470406340915144,-0.00957893899563822,0.07296719506401284,-1,-0.07472657211328237,-1,-1,-0.033439820403313725,-1,-1,-1,-1,-0.053331238073275555,0.0470625855087754,0.05177844205752069,-1,0.06280795620582014,-1
leg,-1,-1,0.1561987531698037,-1,-1,-1,0.5681783227718081,0.3893339881182636,0.5330670435068809,0.5515044499755755,-1,0.46625212576882813,-1,-1,0.1561987531698037,-1,-1,-1,-1,0.36692334032314,0.6553677263630825,0.6622492534900221,-1,0.6009406097447975,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10km,-1,-1,0.05288261871840927,-1,-1,-1,0.20337772526057574,0.11495537688226187,0.09939654078019067,0.1902125560089759,-1,0.13861653014601494,-1,-1,0.05288261871840927,-1,-1,-1,-1,0.04365464162756072,0.24937398264512145,0.24644503465956036,-1,0.20277815772235486,-1
marathon,-1,-1,0.0827324737214773,-1,-1,-1,0.34198794138802724,0.2417582066563797,0.2612023359795044,0.4047661031972599,-1,0.2710400627628389,-1,-1,0.0827324737214773,-1,-1,-1,-1,0.16111668301684612,0.404473550645873,0.4307354127064942,-1,0.3820966766599674,-1
swimming,-1,-1,0.21342744185978257,-1,-1,-1,0.4804550562684553,0.4073931607777994,0.5243888492338777,0.49897426810953804,-1,0.419688633047248,-1,-1,0.21342744185978257,-1,-1,-1,-1,0.3879200481112536,0.4005842195525555,0.523620636526378,-1,0.4835721142840975,-1
world,-1,-1,0.23770199470594133,-1,-1,-1,0.46570869360602063,0.3910714742616248,0.4542209296964417,0.47857172844549756,-1,0.42387694988946434,-1,-1,0.23770199470594133,-1,-1,-1,-1,0.34449568024549027,0.4193494015658078,0.5367733476283009,-1,0.46482318051899174,-1
cup,-1,-1,0.16740370647304337,-1,-1,-1,0.6589057149190399,0.3634389078627238,0.3686528328468923,0.5166644932409965,-1,0.43084283192706885,-1,-1,0.16740370647304337,-1,-1,-1,-1,0.3614757856316728,0.4847942632200992,0.6042291697949984,-1,0.5723295069662336,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
