model,german,authorities,spoke,of,a,new,type,of,crime,in,which,gangs,of,drunken,men,-,described,as,north,african,-,targeted,women,.
cologne,0.3630100700744032,0.29344633593810043,0.1290837377095735,-1,-1,-1,0.1912218654237412,-1,0.38413738214627036,-1,-1,0.3564536609635467,-1,0.24375664827701593,0.32056788370111633,-1,0.19181457222473586,-1,0.3890956234699299,0.41376699109484527,-1,0.40898288961978113,0.29214655321204697,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
beefed,-0.1557832047563079,-0.01697633667849363,-0.19462502486343447,-1,-1,-1,-0.2533280337206434,-1,-0.11850172881002408,-1,-1,0.02703995327388331,-1,-0.14459145602890588,-0.05556913643268291,-1,-0.1398396230223491,-1,-0.09086789602649592,-0.22689734833715836,-1,0.04720629819414912,-0.14858780258813242,-1
up,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
security,0.4965524308778809,0.6778549965097148,0.30844570908538194,-1,-1,-1,0.20049753303451334,-1,0.6661048726383328,-1,-1,0.4139066446084554,-1,0.1122876584795397,0.3536534227225492,-1,0.40249618667645515,-1,0.4257285922618781,0.44411629178500545,-1,0.4706297050012226,0.3923965829114284,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
city,0.4693394284553176,0.4298557663565883,0.25265066807367087,-1,-1,-1,0.3988433394554758,-1,0.2910084830044144,-1,-1,0.17992853742753034,-1,-0.08360271543040687,0.40457986066025864,-1,0.40701568480700423,-1,0.6090786361652604,0.6136158347052258,-1,0.309064881778244,0.4356002968218844,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
annual,0.2631990298236345,0.24390118330653743,0.17588724907944464,-1,-1,-1,0.17429512470942787,-1,0.2976019068855966,-1,-1,0.0038071635907259704,-1,-0.015065414240326813,0.16703391622593544,-1,0.24323776913974038,-1,0.21964335774078902,0.25203615481029895,-1,0.1353504483751664,0.2963787513940235,-1
carnival,0.037894211436002356,-0.016491660974423006,-0.01849966072896403,-1,-1,-1,0.20895141069355871,-1,0.010860724151184553,-1,-1,-0.02575454575381797,-1,0.07664065324912317,-0.06030407500217638,-1,0.07872641764883637,-1,0.19466099006039483,0.13147738966753408,-1,0.1482691575290368,-0.06401768094057103,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
many,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
women,0.49634033670308697,0.5228964013826197,0.42488094478168614,-1,-1,-1,0.3872329459287953,-1,0.49460417302894577,-1,-1,0.39679529641831013,-1,0.17155143031106634,0.8248916816530631,-1,0.42334600257014565,-1,0.378992505010614,0.6247140847627114,-1,0.49542763631124886,1.0,-1
suffered,0.32414096051363894,0.17611421258459625,0.3164612128196016,-1,-1,-1,0.2455677344210052,-1,0.39305728837944587,-1,-1,0.21747271646799404,-1,0.34529656781076823,0.4077581764183499,-1,0.38524532585818405,-1,0.29551163508721,0.24342349819720766,-1,0.2715912976064877,0.38866880592902064,-1
sexual,0.23995516191838762,0.292068816939302,0.2592259899020626,-1,-1,-1,0.28887452421897897,-1,0.5562455641579682,-1,-1,0.5130913550102726,-1,0.4042324713184322,0.485368333124959,-1,0.33281621209941303,-1,0.10444575200090522,0.18251616019240346,-1,0.3356470177605455,0.5367988936322846,-1
assaults,0.15809413011003415,0.19107827628533225,0.2333954667019703,-1,-1,-1,0.21812598777805636,-1,0.47889522999000167,-1,-1,0.4426421364064552,-1,0.5165215873780102,0.518126792273598,-1,0.23502113420372028,-1,0.05345528378855702,0.13415963211627058,-1,0.37520932054430967,0.4907225963544122,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
robberies,0.1954440320639922,0.17392471645051766,0.08449745724231117,-1,-1,-1,-0.012429120182107178,-1,0.32289222251693817,-1,-1,0.5067249440257428,-1,0.47326609484537074,0.40009592370630953,-1,0.012557133458560354,-1,0.12412293914365158,0.20971245254032378,-1,0.3271369328925253,0.24163134279052612,-1
there,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,0.4689441809057735,0.432067862097421,0.3211159974205695,-1,-1,-1,0.4283973204666812,-1,0.3729856043273707,-1,-1,0.09990135212734541,-1,0.010870910793820854,0.5016719229956225,-1,0.3913743355811349,-1,0.4341004992489461,0.4449237005691957,-1,0.3542779391779225,0.6036041139679529,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eve,0.11595692707644034,0.024335597722391134,0.1414441123428527,-1,-1,-1,0.2883498879008979,-1,0.07162384823901835,-1,-1,-0.03496155639528409,-1,0.12850268959408784,0.12994106738689204,-1,0.13273034218288093,-1,0.1131794533479662,0.07217554613306243,-1,0.16851195562272703,0.154067801631513,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
