model,``,i,'m,wondering,if,something,like,that,could,happen,again,.
cologne,-1,-1,-1,0.09970504190267415,-1,0.04841486869958678,0.20498440499913517,-1,-1,0.0737195493793733,0.03993628027111151,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
beefed,-1,-1,-1,-0.04221714396055831,-1,-0.11769097869627476,-0.13181788003654837,-1,-1,-0.18117537539338624,0.04873072592540173,-1
up,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
security,-1,-1,-1,0.1264154439490417,-1,0.3229658861951461,0.32434500457210336,-1,-1,0.2154444995329965,0.279314781018401,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
city,-1,-1,-1,0.2387104011805301,-1,0.3381472586190716,0.370588840796517,-1,-1,0.27762295733201037,0.3750792608261646,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
annual,-1,-1,-1,-0.0917178559733971,-1,0.11499883562323576,0.09151570986468571,-1,-1,0.1803602614966352,0.22240256149686455,-1
carnival,-1,-1,-1,0.04711281580608617,-1,0.11993756921492915,0.09889956806057243,-1,-1,0.16928986423149728,0.10024938861466826,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
many,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
women,-1,-1,-1,0.17487754233466057,-1,0.46538657084283597,0.5190259971657727,-1,-1,0.4298120229471436,0.4616730601993779,-1
suffered,-1,-1,-1,-0.03449027384269465,-1,0.2221212774843313,0.2889084791892823,-1,-1,0.22413604628758588,0.2575947191500554,-1
sexual,-1,-1,-1,-0.0288062070821542,-1,0.21238440813958048,0.21698335766672328,-1,-1,0.18411150927416264,0.179660900539085,-1
assaults,-1,-1,-1,-0.05337703963864082,-1,0.09242194925646385,0.14635048149276841,-1,-1,0.11300258015524012,0.12904679997031743,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
robberies,-1,-1,-1,-0.04735535177723005,-1,-0.11530644720492766,-0.021939881448636234,-1,-1,-0.1195203562509497,-0.02943335014233739,-1
there,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,-1,-1,-1,0.10486457518632564,-1,0.46512174213485713,0.41325783840025876,-1,-1,0.48852543238925894,0.531153193455577,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eve,-1,-1,-1,0.061765042848298535,-1,0.2309498017000644,0.19299138873140254,-1,-1,0.24499170775051948,0.21051795899954517,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
