model,'',miriam,'s,mother,jozi,said,the,incident,changed,the,way,she,sees,migrants,.
cologne,-1,-0.03425872499467508,-1,0.12564606742148055,-0.15910903445773483,-1,-1,0.40256864842746454,-0.03544877909345767,-1,0.06185184068262817,-1,0.06565665102321816,0.3129918461058532,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
beefed,-1,-0.03951623211312261,-1,-0.11203138096916243,0.061870773098081755,-1,-1,-0.1773338011266079,0.04876251594635572,-1,-0.041274430888173175,-1,-0.14405189956204612,-0.06991421530058628,-1
up,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
security,-1,-0.3075705397324744,-1,0.2492778052586836,-0.45191752162664955,-1,-1,0.5017273713683643,0.3573762525814441,-1,0.41137925488705696,-1,0.1386321609431087,0.1813294610828282,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
city,-1,-0.2662904811880331,-1,0.25223427295230416,-0.4193757112125822,-1,-1,0.3763329547693264,0.3092481339265353,-1,0.41739217185758615,-1,0.3049245563999148,0.32271383782015506,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
annual,-1,-0.23775220606662373,-1,0.1694352261632559,-0.3591322846070464,-1,-1,0.2753660809961651,0.2315260690151637,-1,0.17772109573560668,-1,0.19328274227100217,0.09917499495976634,-1
carnival,-1,-0.035818213720955505,-1,-0.030651520730318182,-0.17909328009823167,-1,-1,0.16772827679798363,0.056771506626728474,-1,0.1102386719101861,-1,0.11614351226807551,0.08400420718092794,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
many,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
women,-1,-0.11783911956802307,-1,0.5008640785354331,-0.577040861634837,-1,-1,0.39703519169336865,0.3707786823215664,-1,0.47831557160687144,-1,0.39703117838730195,0.4040844890198161,-1
suffered,-1,0.03802758099968484,-1,0.43039786538759217,-0.4188208221130387,-1,-1,0.4524184214161444,0.30828931867066234,-1,0.23885857408136202,-1,0.25043123492216424,0.1861123169100548,-1
sexual,-1,-0.04179876188118725,-1,0.3674106768961898,-0.33569244092256834,-1,-1,0.4781130074197151,0.22464971381370957,-1,0.32453934107671134,-1,0.19159398450088116,0.1380883832355927,-1
assaults,-1,-0.04706022215300809,-1,0.22643471733543163,-0.2712151038724335,-1,-1,0.5017370378874284,0.11570778557225836,-1,0.19565130864753433,-1,0.11328697308573443,0.1015742121384483,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
robberies,-1,-0.049948268417856934,-1,0.009076256687048367,-0.16150224780375644,-1,-1,0.3216570330147005,-0.04159052985193412,-1,-0.039988390160226706,-1,-0.005827965644295885,0.18905454532101085,-1
there,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,-1,-0.23757331201434817,-1,0.40237178058938183,-0.5935388559217565,-1,-1,0.46107509351852416,0.5376390892119755,-1,0.46375101009821074,-1,0.37548705995250187,0.3864433408089769,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eve,-1,0.02987811823326325,-1,0.26074606434497527,-0.2869313133024156,-1,-1,0.2517002324022142,0.33928012205485625,-1,0.12355780642984171,-1,0.11883073431286884,0.15793859540229604,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
