model,``,we,live,in,a,multicultural,area,with,lots,of,moroccans,i,'ve,never,had,a,second,thought,before,-,we,'re,friends,we,greet,each,other,talk,to,each,other,.
cologne,-1,-1,0.1435600332619379,-1,-1,0.04786952034550662,0.28022977681796757,-1,0.11208130642622727,-1,0.02940626216424802,-1,-1,0.024023384082084043,-1,-1,0.0789177772043127,0.06303533602750389,-1,-1,-1,-1,0.08046723164425562,-1,0.010632807037430858,0.15987066151345475,-1,0.08528911457517285,-1,0.15987066151345475,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
beefed,-1,-1,-0.13233023265227772,-1,-1,-0.2162115679183969,-0.07138269812279985,-1,-0.045527349295429786,-1,0.1387292145432777,-1,-1,0.0516551814607733,-1,-1,-0.07627134950483039,-0.06969965290147284,-1,-1,-1,-1,-0.10944467490686538,-1,0.12454308626519661,-0.05186311741196459,-1,-0.10239343370725451,-1,-0.05186311741196459,-1,-1
up,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
security,-1,-1,0.2166079471373341,-1,-1,0.005593384101671206,0.37879212892725167,-1,0.21994504172378548,-1,-0.1623840697626473,-1,-1,0.24011779058084315,-1,-1,0.20410632046806354,0.342033871989609,-1,-1,-1,-1,0.2945016386745659,-1,0.054699837393017314,0.3609575875632476,-1,0.3279775843499477,-1,0.3609575875632476,-1,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
city,-1,-1,0.2994525995368964,-1,-1,0.16207118416813548,0.5746461587970826,-1,0.2708998159967546,-1,-0.2176153621461432,-1,-1,0.30160758098318863,-1,-1,0.4858800861837649,0.4039636139403051,-1,-1,-1,-1,0.3996376439613566,-1,0.02511934694073714,0.4144672979523335,-1,0.2957372334426671,-1,0.4144672979523335,-1,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
annual,-1,-1,0.3025861108872665,-1,-1,-0.00044352891237564585,0.26944464140956204,-1,0.10282539871469087,-1,-0.2034405159033239,-1,-1,0.120005587204008,-1,-1,0.3533606961993039,0.20154697763657214,-1,-1,-1,-1,0.207851964655841,-1,-0.015619243237382285,0.4372249952323628,-1,0.19170027893070318,-1,0.4372249952323628,-1,-1
