model,it,was,all,fine,.
cologne,-1,-1,0.08460355979976353,-0.06771097988461228,-1
has,-1,-1,-1,-1,-1
beefed,-1,-1,-0.09271536437221561,0.009678207441533693,-1
up,-1,-1,-1,-1,-1
security,-1,-1,0.3743528325139487,0.29378813995548525,-1
for,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1
city,-1,-1,0.34170835173081815,0.3549222749388855,-1
's,-1,-1,-1,-1,-1
annual,-1,-1,0.21863408926296146,0.3559886298410435,-1
carnival,-1,-1,0.05523853211016916,0.023224381385057447,-1
after,-1,-1,-1,-1,-1
many,-1,-1,-1,-1,-1
women,-1,-1,0.5220492821778907,0.449017928296797,-1
suffered,-1,-1,0.21132289574489316,0.3420818113071571,-1
sexual,-1,-1,0.29804101868615107,0.2825364838873916,-1
assaults,-1,-1,0.2832747158392326,0.20139597947635257,-1
and,-1,-1,-1,-1,-1
robberies,-1,-1,0.07678962113340537,0.009737350492361463,-1
there,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1
new,-1,-1,-1,-1,-1
year,-1,-1,0.4726124957910268,0.5666523356998071,-1
's,-1,-1,-1,-1,-1
eve,-1,-1,0.17292951196758644,0.26677246624415796,-1
.,-1,-1,-1,-1,-1
