model,but,now,i,'m,looking,at,it,with,different,eyes,.
cologne,-1,-1,-1,-1,0.1200608026111386,-1,-1,-1,0.0761803332513803,0.04155423221285215,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
beefed,-1,-1,-1,-1,0.012584594697183427,-1,-1,-1,-0.14735658412313946,0.10558157416162528,-1
up,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
security,-1,-1,-1,-1,0.39656080488427425,-1,-1,-1,0.3514280922051023,0.1447462326760961,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
city,-1,-1,-1,-1,0.44933043932516203,-1,-1,-1,0.2932889690408429,0.2772210302571111,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
annual,-1,-1,-1,-1,0.23215297155220982,-1,-1,-1,0.09331333329840519,0.11565968403591886,-1
carnival,-1,-1,-1,-1,0.1327633943890556,-1,-1,-1,0.09658588374405841,0.07517450711971962,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
many,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
women,-1,-1,-1,-1,0.506318962334016,-1,-1,-1,0.4052176097669842,0.26291470740505596,-1
suffered,-1,-1,-1,-1,0.18821475072914673,-1,-1,-1,0.10132357434013428,0.1885106833395368,-1
sexual,-1,-1,-1,-1,0.2722794441224847,-1,-1,-1,0.19100642272868595,0.21145885453433233,-1
assaults,-1,-1,-1,-1,0.19915933701986643,-1,-1,-1,0.17874973530178395,0.14432917444441218,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
robberies,-1,-1,-1,-1,0.05422477184375518,-1,-1,-1,0.10658512901518347,0.06873098524994825,-1
there,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,-1,-1,-1,-1,0.5243120969647695,-1,-1,-1,0.365718911963977,0.18363389597696667,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eve,-1,-1,-1,-1,0.14194066006146522,-1,-1,-1,0.17192702353598754,0.24517024448102276,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
