model,more,than,100,women,were,victims,but,the,full,scale,only,emerged,later,.
cologne,-1,-1,0.1463244367953369,0.29214655321204697,-1,0.3534840281873668,-1,-1,-0.004296188195749062,0.19593886690740137,0.004023481496861492,0.25557812745549247,0.19856988825463406,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
beefed,-1,-1,0.10986438033937496,-0.14858780258813242,-1,-0.11423090622667753,-1,-1,-0.07589696858879091,0.09282598142477294,-0.0723673609105695,-0.1169457869434265,-0.06821241889924168,-1
up,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
security,-1,-1,0.31511457675390186,0.3923965829114284,-1,0.4065636124821652,-1,-1,0.47837318670950413,0.40084147924042035,0.3785137516931206,0.36382536595538073,0.39211933063355864,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
city,-1,-1,0.33677135118951473,0.4356002968218844,-1,0.3351194993896278,-1,-1,0.3435014851381032,0.3732709986847662,0.4331601957446327,0.32258901307129206,0.41225516695967834,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
annual,-1,-1,0.40805050035955226,0.2963787513940235,-1,0.22655135450289898,-1,-1,0.6000648996307982,0.3794634567783517,0.2820741058882811,0.2563236098366991,0.3662586154985017,-1
carnival,-1,-1,0.1266314045901754,-0.06401768094057103,-1,-0.03186774713078999,-1,-1,0.11292758605402631,0.30777117309278657,-0.014722458582430598,0.09817696003470566,0.11922158366820557,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
many,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
women,-1,-1,0.6430193800153441,1.0,-1,0.7094567860670106,-1,-1,0.42244002778778666,0.25686897632270056,0.5745239764326627,0.2857293362284302,0.42540342122709496,-1
suffered,-1,-1,0.22217326508787205,0.38866880592902064,-1,0.4261030629541902,-1,-1,0.24467022507671954,0.23207698862891935,0.4013907233838159,0.3388924588019151,0.3776808807430465,-1
sexual,-1,-1,0.21853724510140626,0.5367988936322846,-1,0.6169770693531128,-1,-1,0.3447000356769029,0.2477793169289203,0.26028460851748125,0.2766375321667469,0.2194905388486057,-1
assaults,-1,-1,0.305509427251502,0.4907225963544122,-1,0.5534052600329205,-1,-1,0.28513822228122954,0.2569786139358494,0.21350774271261241,0.3166150959548648,0.2622938277484492,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
robberies,-1,-1,0.16605867976847954,0.24163134279052612,-1,0.2796577835462388,-1,-1,0.025070439813375978,0.16907677235137875,0.0063998668581333185,0.14720908609054761,0.09574439876279173,-1
there,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,-1,-1,0.6725324615656562,0.6036041139679529,-1,0.4477329304482376,-1,-1,0.5484102378954179,0.40633373246460003,0.5883104108414282,0.45826110422963773,0.6794066366316489,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eve,-1,-1,0.27451245221405585,0.154067801631513,-1,0.14730725363920172,-1,-1,0.2918479171442754,0.22444396636364017,0.12169609827687511,0.2981378191979652,0.38594865843498516,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
