model,police,will,be,present,at,a,new,``,security,point,'',for,women,near,cologne,cathedral,-,the,area,where,most,of,the,assaults,took,place,during,new,year,celebrations,.
cologne,0.39542195664672874,-1,-1,0.1681803050194317,-1,-1,-1,-1,0.2336628438422692,-0.03290478050448087,-1,-1,0.29214655321204697,0.40273579380068913,1.0,0.464196492429661,-1,-1,0.28022977681796757,-1,-1,-1,-1,0.437750615328925,0.17969420812935055,0.21746261876137818,-1,-1,0.23440181142080763,0.36707948037139637,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
beefed,-0.008107414156212522,-1,-1,-0.04237173454174914,-1,-1,-1,-1,0.03809219818615717,-0.05678971350815076,-1,-1,-0.14858780258813242,-0.00017367940905166357,-0.10510342759846325,-0.08966113480584803,-1,-1,-0.07138269812279985,-1,-1,-1,-1,-0.10334221271255761,-0.108890071078386,-0.10815608720888958,-1,-1,-0.013559823938384508,-0.05858686311959893,-1
up,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
security,0.565747708328155,-1,-1,0.4669298916151907,-1,-1,-1,-1,1.0,0.2740585399649885,-1,-1,0.3923965829114284,0.33677475849107186,0.2336628438422692,0.2362980159852326,-1,-1,0.37879212892725167,-1,-1,-1,-1,0.274896888516146,0.4243094436518231,0.37249738963241874,-1,-1,0.3380483330150289,0.1290155921553261,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
city,0.35463512964880806,-1,-1,0.37055864153714047,-1,-1,-1,-1,0.4018162042701283,0.3317208299296319,-1,-1,0.4356002968218844,0.5404198138403735,0.3935120495638653,0.5759290985014605,-1,-1,0.5746461587970826,-1,-1,-1,-1,0.1458413713772614,0.4559360641615797,0.4656435443961604,-1,-1,0.46777863179315693,0.3291273559406094,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
annual,0.16838560215376108,-1,-1,0.4150035030942034,-1,-1,-1,-1,0.31144624471054283,0.2713751050568447,-1,-1,0.2963787513940235,0.1405109517650751,0.07368579934060271,0.32723767295071804,-1,-1,0.26944464140956204,-1,-1,-1,-1,0.1928178476320549,0.26623111793549803,0.3372337291569715,-1,-1,0.6410837983180415,0.4774707477028899,-1
carnival,0.03100759706397882,-1,-1,0.25876380445076275,-1,-1,-1,-1,-0.021252270904129844,0.10426742541058098,-1,-1,-0.06401768094057103,0.2657827179435315,0.33831618514538575,0.5908734083615087,-1,-1,0.2247078844476068,-1,-1,-1,-1,-0.028972935870177352,0.05549411985036479,0.20269577905402225,-1,-1,0.28522167081114125,0.5289343832829154,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
many,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
women,0.36671998271613515,-1,-1,0.5319348944699759,-1,-1,-1,-1,0.3923965829114284,0.2832974821507743,-1,-1,1.0,0.21558472424946995,0.29214655321204697,0.17860573061378648,-1,-1,0.3427949853000125,-1,-1,-1,-1,0.4907225963544122,0.4803901642733035,0.47258522688307225,-1,-1,0.6036041139679529,0.25660606023267585,-1
suffered,0.24241822431668236,-1,-1,0.24505194430534782,-1,-1,-1,-1,0.2746926194564895,0.2843910525173221,-1,-1,0.38866880592902064,0.22247706366934727,0.13935725715949876,0.056323251794577534,-1,-1,0.25505504770446275,-1,-1,-1,-1,0.43389856519477976,0.3203081130928561,0.22991889716859926,-1,-1,0.3583978832800766,0.08229123900278812,-1
sexual,0.29269184608122656,-1,-1,0.2991026101573062,-1,-1,-1,-1,0.3298169199227794,0.1279879312121479,-1,-1,0.5367988936322846,0.10719805913246894,0.29554527570212374,-0.01862130064299361,-1,-1,0.19174645488370734,-1,-1,-1,-1,0.784711356510159,0.2778210354901698,0.28325695013297614,-1,-1,0.2563836676391221,0.12691291665745574,-1
assaults,0.23469970564458265,-1,-1,0.257765798574322,-1,-1,-1,-1,0.274896888516146,0.1401238096886681,-1,-1,0.4907225963544122,0.14688952587690562,0.437750615328925,0.026800839997441095,-1,-1,0.15996456128547432,-1,-1,-1,-1,1.0,0.36473522259984315,0.3460748668167011,-1,-1,0.2646912813699136,0.24333920521511776,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
robberies,0.2542091580806858,-1,-1,0.15800238518015797,-1,-1,-1,-1,0.2380235719477013,0.016187949396890833,-1,-1,0.24163134279052612,0.1442399896585833,0.5296884909389946,0.14609220064444606,-1,-1,0.10919069561727801,-1,-1,-1,-1,0.604066473442937,0.16732520117913297,0.18952069516981407,-1,-1,0.08024595660525735,0.2396218888350259,-1
there,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
