model,two,men,-,a,tunisian,and,a,moroccan,-,have,been,charged,over,the,cologne,offences,.
cologne,0.2608998528027886,0.32056788370111633,-1,-1,0.3744883167651393,-1,-1,0.2454578210549302,-1,-1,-1,0.275609822093416,-1,-1,1.0,0.39638119302732133,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
beefed,-0.08990468427902898,-0.05556913643268291,-1,-1,0.04006144463993333,-1,-1,-0.011050621237229885,-1,-1,-1,0.0701345786577201,-1,-1,-0.10510342759846325,-0.07457490637089692,-1
up,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
security,0.4355656215241517,0.3536534227225492,-1,-1,0.38616709708470043,-1,-1,0.23053887713397936,-1,-1,-1,0.2619084947186736,-1,-1,0.2336628438422692,0.4668429854207753,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
city,0.4430811587565011,0.40457986066025864,-1,-1,0.23508695061992047,-1,-1,0.16883342278935254,-1,-1,-1,0.29703727946277647,-1,-1,0.3935120495638653,0.2281300549881149,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
annual,0.23032198962032113,0.16703391622593544,-1,-1,-0.05942715887704764,-1,-1,-0.07967800947425818,-1,-1,-1,0.15850208983846303,-1,-1,0.07368579934060271,0.20612448306355546,-1
carnival,0.020768006017038876,-0.06030407500217638,-1,-1,0.13965262696522018,-1,-1,0.09019102260738876,-1,-1,-1,0.0058627539635904835,-1,-1,0.33831618514538575,-0.11574069047128299,-1
after,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
many,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
women,0.6359696209823075,0.8248916816530631,-1,-1,0.1160775117128614,-1,-1,0.2142388248580006,-1,-1,-1,0.4326773326362916,-1,-1,0.29214655321204697,0.5904656604168576,-1
suffered,0.4421145445942374,0.4077581764183499,-1,-1,0.13679523717401043,-1,-1,0.0031657085586568323,-1,-1,-1,0.28177501880539324,-1,-1,0.13935725715949876,0.45870712409910186,-1
sexual,0.41167050430607155,0.485368333124959,-1,-1,0.07840866645129296,-1,-1,0.07078360995363409,-1,-1,-1,0.5134898918673958,-1,-1,0.29554527570212374,0.752752128984891,-1
assaults,0.49566526150389634,0.518126792273598,-1,-1,0.04484567460404787,-1,-1,0.006958275534297176,-1,-1,-1,0.4162217141036877,-1,-1,0.437750615328925,0.7643215147328287,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
robberies,0.43855818608432473,0.40009592370630953,-1,-1,0.28765377807991,-1,-1,0.346105848474513,-1,-1,-1,0.34406046606487795,-1,-1,0.5296884909389946,0.6188404403945647,-1
there,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
new,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
year,0.5531219281295751,0.5016719229956225,-1,-1,0.0825591960039943,-1,-1,0.020798474790529986,-1,-1,-1,0.3802438132921351,-1,-1,0.23440181142080763,0.3966862939467808,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
eve,0.17735596201084336,0.12994106738689204,-1,-1,0.04437796063827393,-1,-1,-0.07445956379185192,-1,-1,-1,0.10412090719901435,-1,-1,0.4128980076775275,0.13746746200326387,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
