model,billy,bragg,was,one,of,the,first,musicans,to,pay,tribute,to,bradbury.,:,``,a,bad,day,for,good,music,.
john,0.642272106119445,0.13146190234747013,-1,0.3658230794215145,-1,-1,-1,-0.44372356901224785,-1,0.25118631986400697,0.3740344043303222,-1,-1,-1,-1,-1,0.2242793732759899,0.36767570820462114,-1,0.23556627693353782,0.260980134054263,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
brad,0.2928497625899398,0.3671613297222771,-1,-0.02620293670719076,-1,-1,-1,-0.3069638476598129,-1,-0.10684498734355974,-0.19947860972625953,-1,-1,-1,-1,-1,0.03729623469019394,-0.09249251670700831,-1,-0.010702738226795239,0.015164711512889895,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bradbury,0.1099305460266421,0.15054768863564516,-1,0.00551553025060969,-1,-1,-1,-0.2297939392469015,-1,-0.15175847297465261,0.03382926926435614,-1,-1,-1,-1,-1,-0.10745840885436819,0.003733160341825026,-1,-0.11761154534968998,-0.10198374898980167,-1
drummer,0.23067054083541227,0.09528084124963165,-1,0.11218819766259225,-1,-1,-1,-0.3163610099410974,-1,-0.07089873276775882,0.3140093195589686,-1,-1,-1,-1,-1,0.005230518005829077,0.013891916681990302,-1,0.06678787245150208,0.15211163026885666,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
specials,-0.15636532051884733,0.05919352594433447,-1,-0.03023444256809893,-1,-1,-1,-0.08345861615636085,-1,0.08757218039223491,0.1098990393719107,-1,-1,-1,-1,-1,-0.014668852020839784,0.25758639986873333,-1,0.003167734571965619,0.21564299289773947,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
died,0.2513857385404966,-0.002859097905552277,-1,0.45270678825661403,-1,-1,-1,-0.4706910395967141,-1,0.19105890760667643,0.27350561782367655,-1,-1,-1,-1,-1,0.24999717417333145,0.5007963609398645,-1,0.23077691115844523,0.255020933387356,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
age,0.10321665363393584,-0.0441517942770957,-1,0.38801868215096935,-1,-1,-1,-0.4553937806659887,-1,0.3862079686201426,0.1780032889811699,-1,-1,-1,-1,-1,0.3061603916581721,0.3744255670397467,-1,0.4067782701754722,0.406173138067214,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
62,0.3526121939900978,-0.24295820501586118,-1,0.3095229623542116,-1,-1,-1,-0.3612535308831677,-1,0.27161974476851447,0.18549789576851494,-1,-1,-1,-1,-1,0.26860484200957924,0.33181435792991976,-1,0.2321091282485367,0.23234713994484835,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
