model,first,we,lose,lemmy,now,news,that,brad,from,the,specials,has,passed,away,.
john,-1,-1,0.20401168368134193,0.05931473074325799,-1,0.2893589812723707,-1,0.0075735424988002675,-1,-1,-0.15057729451573976,-1,0.22796333891399823,0.18457882994439556,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
brad,-1,-1,-0.11179126830945418,-0.04831367402692388,-1,0.014084037827051477,-1,1.0,-1,-1,-0.05330743578383168,-1,0.0658009870626518,0.009065542870883347,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bradbury,-1,-1,0.006729636444660292,0.4615178004517144,-1,-0.12487915250932757,-1,0.38896649540539097,-1,-1,-0.05175784741424927,-1,0.08009899603929937,0.054047375739866954,-1
drummer,-1,-1,-0.043924486195503265,0.4565156832379478,-1,0.06311480342872489,-1,0.20145296781983602,-1,-1,0.03749973095098835,-1,0.030811774227887945,-0.020144702442459694,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
specials,-1,-1,-0.04481372093361946,-0.010902762704404934,-1,0.19876775289562487,-1,-0.05330743578383168,-1,-1,1.0,-1,0.08648927956187358,-0.08169743898593596,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
died,-1,-1,0.27765511482119065,0.033297603350979976,-1,0.2732447790880176,-1,0.04518090833969768,-1,-1,0.04378569206601346,-1,0.38481391993538816,0.3486813124577943,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
age,-1,-1,0.338378058536388,-0.040233393682393315,-1,0.17012335577053994,-1,0.0161433427430836,-1,-1,0.05599018839941339,-1,0.35918081671211954,0.2828936658104584,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
62,-1,-1,0.29667517866939563,0.08247460137920837,-1,0.21191479727866935,-1,-0.26164708790015667,-1,-1,0.043140908773900644,-1,0.309496871431045,0.2750370991946325,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
