model,'',bradbury,was,born,and,brought,up,in,coventry,where,the,band,was,formed,in,1977,.
john,-1,0.04747425505380942,-1,0.37867043229138175,-1,0.4095520560247625,-1,-1,0.5734649202297271,-1,-1,0.22343110217002904,-1,0.29264301847186047,-1,0.19351277470222827,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
brad,-1,0.38896649540539097,-1,-0.07108911989807587,-1,0.02066350559769492,-1,-1,-0.040746953661809915,-1,-1,0.07898466795260473,-1,-0.08811137664570734,-1,0.41410298665706635,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bradbury,-1,1.0,-1,0.2551003364342975,-1,-0.026151926078337828,-1,-1,-0.02203914697308962,-1,-1,0.012625204700374648,-1,-0.003320722211400229,-1,0.264250484575583,-1
drummer,-1,0.3770327470252426,-1,0.28729680150943193,-1,0.051459815180332824,-1,-1,0.11198670952529532,-1,-1,0.4259365663927246,-1,0.07098832298100577,-1,0.2562900645028421,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
specials,-1,-0.05175784741424927,-1,0.060505227326686284,-1,-0.16026366518888935,-1,-1,-0.04310293844052704,-1,-1,0.155850241837992,-1,0.0003492107354120533,-1,0.25870840698048425,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
died,-1,0.22764813321641475,-1,0.7602160431872764,-1,0.40788155802555026,-1,-1,0.33347508168925066,-1,-1,0.3297854528816956,-1,0.47736263358430375,-1,0.4962684612459973,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
age,-1,0.002626878573480762,-1,0.5214855898680695,-1,0.32666536548784864,-1,-1,0.18645747375798383,-1,-1,0.3434242792738026,-1,0.453431043986226,-1,0.34550641871634813,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
62,-1,0.0014901815432293297,-1,0.396572915448304,-1,0.30745816022349115,-1,-1,0.5442197696294946,-1,-1,0.20242953110798534,-1,0.6027941580421542,-1,0.18345040796658563,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
