model,'',bradbury,joined,the,specials,in,1979,and,continued,with,the,reversioned,band,the,special,aka,who,had,a,top,10,hit,with,free,nelson,mandela,.
john,-1,0.04747425505380942,0.4226366229026075,-1,-0.15057729451573976,-1,0.10553480967352236,-1,0.23669865309816351,-1,-1,-0.47588373932105044,0.22343110217002904,-1,0.3890114955934667,0.06673252364111071,-1,-1,-1,0.31272461787533645,0.344797909460517,0.2892891832417728,-1,0.30656595207239046,0.5202347066449222,0.35900853564316326,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
brad,-1,0.38896649540539097,0.12739430491278092,-1,-0.05330743578383168,-1,0.1408631751800692,-1,0.04925697385858907,-1,-1,-0.3431322418130791,0.07898466795260473,-1,-0.04797405318632175,-0.018618220763277016,-1,-1,-1,-0.046552302204348806,-0.017750966972925664,0.051544098555285744,-1,0.07670938063827548,0.10653296987560523,-0.15339405759257763,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bradbury,-1,1.0,-0.04965721409005508,-1,-0.05175784741424927,-1,0.05591482794711933,-1,-0.040087113690228326,-1,-1,-0.32297969275525396,0.012625204700374648,-1,-0.16973209729626237,-0.009206797865952021,-1,-1,-1,-0.1753134708412747,-0.07448515356141194,-0.055813709813957724,-1,-0.19777392705075525,0.3726602419421361,0.3191697680582286,-1
drummer,-1,0.3770327470252426,0.12321931356361271,-1,0.03749973095098835,-1,0.14475264420720169,-1,0.032348485248754,-1,-1,-0.24975523075869233,0.4259365663927246,-1,-0.041806278844366274,-0.029154224221773273,-1,-1,-1,0.007550609227428562,-0.09696891308705746,0.17045571463783982,-1,-0.07705857459765064,0.33129190854530477,0.2303751560991456,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
specials,-1,-0.05175784741424927,0.03172296077555148,-1,1.0,-1,0.23905378308494063,-1,0.044697228050086024,-1,-1,0.024736528882918773,0.155850241837992,-1,0.2010704017187781,0.06590183613360301,-1,-1,-1,0.06353423011412496,0.19985600926560132,0.021907431464848637,-1,-0.005443087914143385,-0.18367247180265056,-0.1761549105429352,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
died,-1,0.22764813321641475,0.509832705749776,-1,0.04378569206601346,-1,0.36275822041558603,-1,0.32399726379805993,-1,-1,-0.44881353349554987,0.3297854528816956,-1,0.21958537435994607,-0.0006639004968882478,-1,-1,-1,0.21909822029020753,0.591217691557636,0.495659271812529,-1,0.1599659657798218,0.3313616980236723,0.25983726227865644,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
age,-1,0.002626878573480762,0.28412504112114556,-1,0.05599018839941339,-1,0.26580601898679435,-1,0.3274608269231172,-1,-1,-0.28606152249018857,0.3434242792738026,-1,0.275026130649518,0.0031088840924675676,-1,-1,-1,0.36061635882159426,0.6635565288306667,0.2531006969874796,-1,0.31917559662279116,0.13775012657423402,0.07777139264855526,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
62,-1,0.0014901815432293297,0.40196826171465894,-1,0.043140908773900644,-1,0.2115358031018454,-1,0.25789903600718844,-1,-1,-0.3703798919789394,0.20242953110798534,-1,0.05787832132837889,0.009673404011288578,-1,-1,-1,0.32104896258225524,0.5538420888040755,0.30884301398963765,-1,0.39443512280962856,0.6463631674231666,0.6142328978724283,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
