model,he,also,headed,up,a,band,called,jb,allstars,.
john,-1,-1,0.3134127985657531,-1,-1,0.22343110217002904,0.45457310516373084,0.05625638223162133,-0.367807339188424,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
brad,-1,-1,0.1982251786131921,-1,-1,0.07898466795260473,0.052493398293288585,0.2125765321138865,-0.11472950756494549,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bradbury,-1,-1,0.03661225686336045,-1,-1,0.012625204700374648,-0.010277450160616874,0.37252412534284884,-0.13001277879459128,-1
drummer,-1,-1,0.23788679728152273,-1,-1,0.4259365663927246,0.12798081562826757,0.5418017664848555,-0.14287756184212452,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
specials,-1,-1,-0.19249686948951927,-1,-1,0.155850241837992,0.05895077365844681,-0.09071987081138122,0.1573088185590542,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
died,-1,-1,0.23887210388101776,-1,-1,0.3297854528816956,0.4302509262188292,-0.0975878223724127,-0.46535483719554405,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
age,-1,-1,0.13918350048782757,-1,-1,0.3434242792738026,0.2858381112413102,-0.17828019597411604,-0.4110476060773949,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
62,-1,-1,0.22810398354964379,-1,-1,0.20242953110798534,0.24755306619616646,0.05421512089430336,-0.39901948922531183,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
