model,the,band,'s,representatives,said,the,drummer,died,in,england,but,no,cause,of,death,was,given,.
john,-1,0.22343110217002904,-1,0.23754796995497685,-1,-1,0.25782884600135003,0.42582920857403206,-1,0.4526465512439273,-1,0.2729161147226986,0.1789799605896174,-1,0.3081273454464053,-1,0.40745572601629076,-1
``,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
brad,-1,0.07898466795260473,-1,0.18157004905140894,-1,-1,0.20145296781983602,0.04518090833969768,-1,0.07587763200397957,-1,-0.05490845025735669,0.017010044841168637,-1,0.020745646888159386,-1,-0.07402430552223183,-1
'',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bradbury,-1,0.012625204700374648,-1,0.04942043986432343,-1,-1,0.3770327470252426,0.22764813321641475,-1,-0.10805916318258024,-1,-0.13320964089042775,0.08654959551991259,-1,0.20525665047052777,-1,-0.09404392964350161,-1
drummer,-1,0.4259365663927246,-1,0.05698573781973326,-1,-1,1.0,0.15857788719366783,-1,0.02970106246075155,-1,-0.05232653920080921,-0.021407884381497544,-1,0.17397161004337458,-1,-0.03038302733094511,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
specials,-1,0.155850241837992,-1,0.15766195154463725,-1,-1,0.03749973095098835,0.04378569206601346,-1,-0.08401484733392772,-1,0.011052604785419029,-0.041579781735313626,-1,-0.04485441421694669,-1,0.0947039343386481,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
died,-1,0.3297854528816956,-1,0.2538571980747949,-1,-1,0.15857788719366783,1.0,-1,0.34470992089840524,-1,0.2730191761728773,0.36833924117565453,-1,0.5362215016044009,-1,0.379827110968567,-1
at,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
age,-1,0.3434242792738026,-1,0.3470086230469712,-1,-1,0.023527772046206374,0.49682735888116136,-1,0.29669891201436704,-1,0.3328839882987358,0.2641915988649244,-1,0.346254972703687,-1,0.4248410442401316,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
62,-1,0.20242953110798534,-1,0.22371325129590436,-1,-1,-0.07309344695148501,0.37344894786008687,-1,0.29757325846920324,-1,0.16123486516619678,0.08686253924455556,-1,0.20847222839503232,-1,0.27078307105913835,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
