model,the,strategic,review,was,one,of,his,main,manifesto,promises,.
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mayor,-1,0.10213365412916298,0.25952497406978026,-1,0.2735836855129179,-1,-1,0.2730324059947473,0.24779909258701194,0.05629153115799013,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
london,-1,0.16176538536271823,0.37197063115511375,-1,0.41676180510495464,-1,-1,0.39655075549705,0.21574082741044898,0.08803824618644851,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
appointed,-1,0.19315924473874335,0.47084479780240807,-1,0.3559386665042872,-1,-1,0.1116890078594972,0.25041318222910625,0.18346227162676731,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
security,-1,0.5119308742008433,0.6305122683024025,-1,0.34730306421750035,-1,-1,0.42034331245448187,0.16506704889044,0.21445831347425115,-1
expert,-1,0.30853257518654664,0.49652878612311735,-1,0.48205703170101044,-1,-1,0.1747405839052163,0.10689001110436447,0.09609404116197962,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
assess,-1,0.27067967887889965,0.5408132354992624,-1,0.24442230216024685,-1,-1,0.18132420487601375,0.18842721960192232,0.29741555373162165,-1
how,-1,0.26625479727056,0.5115767747754317,-1,0.42931673882313093,-1,-1,0.2652050932106089,0.21941384173917777,0.33075717710882635,-1
well,-1,0.2376119506545623,0.35614557777302647,-1,0.384461103909036,-1,-1,0.23076545698342366,0.1685338226746249,0.23981100451138704,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
capital,-1,0.26540344970821805,0.27636485838198177,-1,0.377406092347113,-1,-1,0.3735894165899696,0.18377408986476262,0.07866688264846022,-1
would,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
cope,-1,0.03840129972206474,0.21362026505617715,-1,0.21601080335084244,-1,-1,0.018743050484007817,-0.010220647488887957,0.20732824278085782,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
major,-1,0.41098735128340813,0.3904960953746206,-1,0.4380300452698491,-1,-1,0.5577073981711805,0.24542192193234924,0.2416744831682185,-1
terror,-1,0.2709150400937662,0.360503965544847,-1,0.2978800710230177,-1,-1,0.35534311889355674,0.1588358755226218,0.0807065227727295,-1
attack,-1,0.3229937113738883,0.390560066311358,-1,0.3538511757996635,-1,-1,0.3188915732989114,0.21129107807404213,0.11091288450554404,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
