model,the,yellow,warning,will,remain,in,force,until,11:00,on,sunday,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
weather,-1,0.2984882330862427,0.4875211496359374,-1,0.28815217095992596,-1,0.36649704807305095,0.3427796159788723,-1,-1,0.40898640059213,-1
warning,-1,0.43260159626696115,1.0,-1,0.35555562632341875,-1,0.4126139621498246,0.25325766683949713,-1,-1,0.4005809817408412,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
issued,-1,0.39357241607890403,0.7341700385515664,-1,0.31063020294403465,-1,0.44747236946352564,0.3362470160486194,-1,-1,0.42276898730608137,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
most,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
parts,-1,0.13526213338353554,0.257934953896373,-1,0.3463637078729751,-1,0.47843447808173656,0.2365083283668531,-1,-1,0.26032482907825094,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
scotland,-1,0.2617313050940572,0.4286039036169216,-1,0.5341394070134473,-1,0.5807120160492306,0.3879437321590733,-1,-1,0.5426552087915781,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
drivers,-1,0.2789952712864643,0.3524815476607551,-1,0.41595788739770345,-1,0.5382882187409332,0.3280378684062437,-1,-1,0.3917097532943795,-1
urged,-1,-0.006597420274818466,0.3640439830524015,-1,0.4844148400160462,-1,0.44087069493623854,0.24151451093104392,-1,-1,0.2858229053062826,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
aware,-1,0.24442992866107793,0.4841988082090074,-1,0.45992371756191,-1,0.47823430530270217,0.3146754551935975,-1,-1,0.28259139683805357,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
risk,-1,0.3087918858312573,0.486835098417879,-1,0.5211742777666485,-1,0.49521958441689795,0.2981358924245936,-1,-1,0.21555684072650994,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ice,-1,0.39481097845825175,0.2260888549344915,-1,0.24124178039637145,-1,0.4181227085027903,0.2633739174957741,-1,-1,0.3432117337774836,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
snow,-1,0.20134606628861373,0.282364355345883,-1,0.2181549162552987,-1,0.28615895936955327,0.19021856850035923,-1,-1,0.2587959042385939,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
