model,forecasters,said,showers,accompanied,by,widespread,sub-zero,temperatures,would,see,ice,form,on,many,untreated,roads,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
weather,0.3905637850455921,-1,0.5032485865556086,0.23807800098180099,-1,0.43312121686996297,0.010963994226627194,0.3989961519160461,-1,0.35127468384285965,0.36294321221984105,0.43816411742593386,-1,-1,0.13402142830516972,0.3955105894384805,-1
warning,0.274499425118061,-1,0.2660516654731159,0.22359121836268114,-1,0.3653843965472925,-0.14085622439270074,0.22366154311166242,-1,0.2838725221568461,0.2260888549344915,0.4133482888446067,-1,-1,0.023131242474543456,0.27369522291611115,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
issued,0.24885930158842928,-1,0.1657991690243149,0.3575127032166534,-1,0.320645881762604,-0.2258303998800686,0.11460620664446897,-1,0.1958425951731949,0.12194511497141924,0.3601492273165956,-1,-1,-0.10414869773958979,0.1818425263900273,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
most,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
parts,0.06660573439499828,-1,0.2855160598003962,0.214688193449723,-1,0.3623606431090902,-0.05787820447479697,0.316982731972307,-1,0.45341241942859845,0.4087189618030339,0.4173493700935549,-1,-1,0.1279623238034706,0.5558737298327183,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
scotland,0.1167675790575593,-1,0.0774603333688384,0.20310347502580672,-1,0.283583275950963,-0.1914177980741727,0.2712223575383492,-1,0.5722963546136368,0.37642798305767045,0.5232904061099106,-1,-1,-0.08689080907323365,0.4022054862327421,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
drivers,0.04088534757634921,-1,0.11075627551418554,0.37013203912075765,-1,0.18156906100764947,-0.21922745571586666,0.2638105005282525,-1,0.5481825946699616,0.5078380837143391,0.4203012094339962,-1,-1,0.06710828670266633,0.4948035299042892,-1
urged,0.28363925454905026,-1,0.06794790368655057,0.3212917668152071,-1,0.3041299238820243,-0.15901253951335215,0.0680645763160238,-1,0.39031089976790057,0.057945045125536,0.27219924351303004,-1,-1,-0.004170578950159598,0.25325928535037967,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
aware,0.2324136712883328,-1,0.18381846093294696,0.33048340040715707,-1,0.38899849312269286,-0.17530200152166486,0.2115298306872344,-1,0.4326996524891763,0.22645597174275367,0.4108872577812688,-1,-1,0.0013554680116414364,0.27384491957948043,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
risk,0.18728049498737742,-1,0.22036897827255375,0.2775131405826523,-1,0.48036215598474463,-0.11781834914364797,0.36459232354781723,-1,0.5339844572281128,0.36197913364679235,0.5468535458463001,-1,-1,0.22271791001864727,0.3637457080679196,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ice,-0.08831522110877299,-1,0.18320403685572817,0.2598917986606959,-1,0.2777042696905758,0.13288608388814005,0.5850237498426495,-1,0.40761689886051244,1.0,0.472283951795162,-1,-1,0.219933943457157,0.3669898412207798,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
snow,0.16661507426525257,-1,0.5562217736522044,0.24207456537899208,-1,0.31793879911629197,0.5471742384779131,0.7796891049709379,-1,0.2917834580397043,0.4981263573637873,0.27213490996828416,-1,-1,0.10622261968630653,0.32260329163989376,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
