model,some,snow,is,expected,even,at,low,levels,in,northern,scotland,and,other,areas,could,see,2-3cm,fall,on,higher,ground,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
weather,-1,0.4440747436524972,-1,0.40675857772604107,0.4114194338639068,-1,0.38046474388052776,0.489438791150554,-1,0.28964629579499745,0.4040921670055533,-1,-1,0.3826448311990849,-1,0.35127468384285965,-0.41054310737221944,0.40018707706634926,-1,0.34898834848549387,0.37638321480932735,-1
warning,-1,0.282364355345883,-1,0.34274037027418647,0.3316802227696418,-1,0.3324389252395723,0.2522026855058729,-1,0.27956078509066495,0.4286039036169216,-1,-1,0.2698469695456781,-1,0.2838725221568461,-0.41985706784242294,0.3061189348783322,-1,0.31960480764053256,0.3090266335706835,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
issued,-1,0.2013556434741699,-1,0.3878523334608295,0.2815765587759613,-1,0.18153034068844187,0.16136742800184822,-1,0.2783653385301861,0.42090538711627135,-1,-1,0.16822635753496196,-1,0.1958425951731949,-0.4665173247081307,0.2000616465164291,-1,0.24064835933089312,0.24592249273035105,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
most,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
parts,-1,0.3474447631868862,-1,0.3998260786024508,0.43030015177975867,-1,0.2346497750710137,0.41403928675415314,-1,0.5992821748405923,0.5216480280683256,-1,-1,0.7699329191726824,-1,0.45341241942859845,-0.4310590173359401,0.3766103634466311,-1,0.28891850712526357,0.4947504487224592,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
scotland,-1,0.28192188327780987,-1,0.551264845695359,0.45790386481142464,-1,0.33815538208483165,0.4307646245640262,-1,0.7319903921896364,1.0,-1,-1,0.538266749151119,-1,0.5722963546136368,-0.6000543520621506,0.4323700604560585,-1,0.4533704555149418,0.475699611676079,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
drivers,-1,0.2228119868282128,-1,0.4513296241430885,0.5099477423445407,-1,0.28091409772395426,0.34009777940863817,-1,0.4090532393631162,0.5117924254007927,-1,-1,0.4924501143013864,-1,0.5481825946699616,-0.6291524422477761,0.34824153898358745,-1,0.37446877343265017,0.6148122644650884,-1
urged,-1,0.13953438877455082,-1,0.41948787852162206,0.37779785115093767,-1,0.08406131812765016,0.07320586316297739,-1,0.4183265180600677,0.5237034870756395,-1,-1,0.2797063857995501,-1,0.39031089976790057,-0.45745380259202695,0.15890015318973139,-1,0.18351374365208417,0.24486646160782766,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
aware,-1,0.2418461702487964,-1,0.3954323682702374,0.5003424963333615,-1,0.28294143820588114,0.33580332439062066,-1,0.3195649705874568,0.4685278348124817,-1,-1,0.3713249330774282,-1,0.4326996524891763,-0.45672321073853417,0.2505916529255876,-1,0.2293019299270549,0.33983493463765846,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
risk,-1,0.2997741512555716,-1,0.468634367737896,0.5669890561935351,-1,0.5875343236448147,0.7003917514563213,-1,0.3159463047154054,0.44488243995829135,-1,-1,0.5429173379468957,-1,0.5339844572281128,-0.4649779108602392,0.5245965277614318,-1,0.6214369920696834,0.46342598864797324,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ice,-1,0.4981263573637873,-1,0.2647405849441178,0.3823905120004174,-1,0.3634702217024308,0.46784943705659887,-1,0.3134165081368958,0.37642798305767045,-1,-1,0.41961889244314743,-1,0.40761689886051244,-0.5425286897012986,0.37504583567312666,-1,0.3063055790492746,0.6624848032616054,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
snow,-1,1.0,-1,0.3244906141647228,0.30822119751880317,-1,0.34702263420246293,0.33436526904186414,-1,0.2794910786168471,0.28192188327780987,-1,-1,0.32327497987313003,-1,0.2917834580397043,-0.471554446368303,0.41916145356692625,-1,0.3315181503474951,0.45387093181671023,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
