model,``,elsewhere,within,the,warning,area,these,showers,will,be,turning,increasingly,wintry,with,the,main,snow,level,down,to,between,100,and,200m,by,the,end,of,the,night,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
weather,-1,0.4242363736811521,0.27193659987087204,-1,0.4875211496359374,0.35105021523338675,0.4330775393962514,0.5032485865556086,-1,-1,0.19967959489750564,0.3209381741751961,0.6056500437931699,-1,-1,0.17339296363790258,0.4440747436524972,0.3066099867150982,0.2407188492975001,-1,0.2244558322596748,0.2265416120547068,-1,0.008786910614556054,-1,-1,-1,-1,-1,0.5232781637691869,-1
warning,-1,0.27807736695740315,0.32102560934506363,-1,1.0,0.3654244576192043,0.37723573554972156,0.2660516654731159,-1,-1,0.3485659512343795,0.19218393144956947,0.10903616785672199,-1,-1,0.19708428645456277,0.282364355345883,0.2712429152951754,0.2904489783331292,-1,0.26313016679417833,0.2511617332345688,-1,0.04007136963780045,-1,-1,-1,-1,-1,0.37184951740081873,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
issued,-1,0.2599154057241222,0.2820178803786393,-1,0.7341700385515664,0.3073716198429509,0.26194803183767423,0.1657991690243149,-1,-1,0.1626268589067973,0.09680673903220038,0.041531470379808644,-1,-1,0.09882284879976788,0.2013556434741699,0.21456026078162982,0.22111701359477498,-1,0.19022096847156045,0.25346300347724326,-1,0.08992471413990688,-1,-1,-1,-1,-1,0.37727401488344225,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
most,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
parts,-1,0.5889750484839509,0.4806177249696254,-1,0.257934953896373,0.5570213498742649,0.5186885372090613,0.2855160598003962,-1,-1,0.23856828266115104,0.32647028877248685,0.12761730536725246,-1,-1,0.41209851345440773,0.3474447631868862,0.28368255343401994,0.31481254187189567,-1,0.2773450197603775,0.34515175706239276,-1,0.0789778133164124,-1,-1,-1,-1,-1,0.36965382521879653,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
scotland,-1,0.5427472292406166,0.5052444269474349,-1,0.4286039036169216,0.5373368562682341,0.4554082119562748,0.0774603333688384,-1,-1,0.28648992807281415,0.26250203168155073,-0.10263112609890923,-1,-1,0.33324580547589133,0.28192188327780987,0.48491601554313646,0.4134577549243472,-1,0.40825006908153805,0.4741563536743395,-1,0.2597536126628166,-1,-1,-1,-1,-1,0.47526596556475575,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
drivers,-1,0.4333917903526622,0.42286032546422603,-1,0.3524815476607551,0.40587758222299064,0.5321354935872626,0.11075627551418554,-1,-1,0.398285828946103,0.21386783063772097,-0.22764506644198135,-1,-1,0.41838573650218414,0.2228119868282128,0.35001994372915424,0.39874145278682094,-1,0.3868190658818229,0.4943358197739983,-1,0.21197744356366743,-1,-1,-1,-1,-1,0.44971789899362347,-1
urged,-1,0.39009959815200324,0.2714200498758197,-1,0.3640439830524015,0.2864885619489179,0.3223031675131125,0.06794790368655057,-1,-1,0.26555332503160645,0.3163821620180025,-0.16845749067794058,-1,-1,0.16715697634404214,0.13953438877455082,0.15629251878749195,0.37537312720582505,-1,0.28439967633139784,0.25367444485694324,-1,-0.08312671490059098,-1,-1,-1,-1,-1,0.23325934855049701,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
aware,-1,0.34380334586238037,0.3714916287654979,-1,0.4841988082090074,0.3630252234391149,0.5136642433480336,0.18381846093294696,-1,-1,0.3745322959570774,0.5585673485991173,0.044258742560769226,-1,-1,0.15736126780985793,0.2418461702487964,0.3526943867716994,0.19798857979478635,-1,0.22009900657026704,0.31848303379832477,-1,-0.02723807979856585,-1,-1,-1,-1,-1,0.3370890894876596,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
risk,-1,0.4379658792162153,0.449217879431388,-1,0.486835098417879,0.4337784825466938,0.5846283617468669,0.22036897827255375,-1,-1,0.3219023496551532,0.3917609459498561,0.16166722494588592,-1,-1,0.3290435306867572,0.2997741512555716,0.537980396089958,0.3284137970072971,-1,0.3048696097345688,0.42872964044749806,-1,0.13137207599476708,-1,-1,-1,-1,-1,0.3039747305600299,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ice,-1,0.36432414179648553,0.3572085572832071,-1,0.2260888549344915,0.4095285929175967,0.34130538628158424,0.18320403685572817,-1,-1,0.4272167132195557,0.2575521890972069,-0.004909986468328853,-1,-1,0.2753042639907599,0.4981263573637873,0.4657571114106025,0.30106950200561966,-1,0.28995316607254185,0.28333764337132983,-1,0.3448247124283421,-1,-1,-1,-1,-1,0.39036082418887563,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
snow,-1,0.3154583873882779,0.25092120642406557,-1,0.282364355345883,0.27623414910124855,0.29113698853078207,0.5562217736522044,-1,-1,0.2539913185281657,0.20454579135245488,0.2974934954842684,-1,-1,0.2021186373450733,1.0,0.2618888098601939,0.2823422466522727,-1,0.22614052876582302,0.2521164067155992,-1,0.22927803267028923,-1,-1,-1,-1,-1,0.3010365968342479,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
