model,``,locally,2,or,3cm,of,snow,is,possible,above,200m,.
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
weather,-1,0.23850149467552062,-1,-1,-0.3520878716914879,-1,0.4440747436524972,-1,0.4202031606102673,0.2166735876853414,0.008786910614556054,-1
warning,-1,0.1379054252552404,-1,-1,-0.32423726001304676,-1,0.282364355345883,-1,0.36983378469370465,0.24776770622534672,0.04007136963780045,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
been,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
issued,-1,0.176819015373481,-1,-1,-0.3749788537242975,-1,0.2013556434741699,-1,0.24205458631608412,0.12625805563560943,0.08992471413990688,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
most,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
parts,-1,0.3064001165781923,-1,-1,-0.22124449340589525,-1,0.3474447631868862,-1,0.39601442856833646,0.4005396990339798,0.0789778133164124,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
scotland,-1,0.32437430676286594,-1,-1,-0.42232833266251535,-1,0.28192188327780987,-1,0.46390038063069183,0.41426423252311406,0.2597536126628166,-1
with,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
drivers,-1,0.3290999510700925,-1,-1,-0.38174858988081284,-1,0.2228119868282128,-1,0.37283943314929036,0.41643481071127086,0.21197744356366743,-1
urged,-1,0.2865252828308652,-1,-1,-0.3301142987233112,-1,0.13953438877455082,-1,0.24018650752167692,0.1138368922101759,-0.08312671490059098,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
be,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
aware,-1,0.43904737612698397,-1,-1,-0.43259871287836527,-1,0.2418461702487964,-1,0.4629100408031066,0.2366241100662292,-0.02723807979856585,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
risk,-1,0.2783833314852653,-1,-1,-0.389947354104482,-1,0.2997741512555716,-1,0.5448977697786714,0.43920137615934274,0.13137207599476708,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ice,-1,0.24558239480096267,-1,-1,-0.1958448786080922,-1,0.4981263573637873,-1,0.27240199938460385,0.492301585018901,0.3448247124283421,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
snow,-1,0.23289956744634055,-1,-1,-0.13091879435321419,-1,1.0,-1,0.2633819817027081,0.31462799050319734,0.22927803267028923,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
