model,new,york,university,'s,stern,business,school,where,prof,romer,teaches,sparked,controversy,last,thursday,when,it,accidently,published,a,press,release,naming,him,as,the,winner,.
uk-born,-1,-0.23499796886906799,-0.09570884485211995,-1,-0.20772521016022338,-0.19090094842216843,-0.06770937352168005,-1,-0.24099886459685727,0.09394424080242025,0.2743933513481043,-0.15549979781632994,-0.2150703935906535,-1,-0.35905631822206896,-1,-1,0.13188914530757012,-0.2816518954130851,-1,-0.23082960535251562,-0.26779655938702707,0.02896732969074378,-1,-1,-1,-0.2447697584841042,-1
oliver,-1,0.343890428243653,0.3018822155309082,-1,0.2909034542248152,0.1473229250516328,0.05833033117784181,-1,0.5390919248724134,-0.16966910086644837,-0.01969695260400761,0.064661308160469,0.09172569746899839,-1,0.19267000306984516,-1,-1,-0.06329082474496128,0.12700519409655842,-1,0.20646757199002985,0.10439153458688666,-0.006721432998115562,-1,-1,-1,0.20531087446939433,-1
hart,-1,0.29569019783800454,0.2992596374340566,-1,0.18032959231895618,0.1785973476998326,0.15224465524556197,-1,0.4260787825964646,-0.10522939069892767,0.038407750174359045,0.07450549753579938,0.11545535762427495,-1,0.3094409953747994,-1,-1,0.023157943255166513,0.1340074518063059,-1,0.2092772788470737,0.19700983995758592,0.03157556715602905,-1,-1,-1,0.21502478049811424,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bengt,-1,-0.470457332710311,-0.43387917101422646,-1,-0.04354520712561416,-0.5505067868526026,-0.45256963522200166,-1,-0.12584561143963136,0.7223805948857668,-0.029613894022916254,-0.36140718972588326,-0.3611904028664503,-1,-0.5897943689546636,-1,-1,0.18732862005787188,-0.437417017323686,-1,-0.4410680529999742,-0.6985492294940374,-0.3314312917335569,-1,-1,-1,-0.4140587878489934,-1
holmstrom,-1,-0.3254338105426453,-0.38549218511745664,-1,-0.104444435432125,-0.4503154560991298,-0.34745899772516653,-1,-0.11349746239993319,0.5734098540009428,-0.23888157844833713,-0.2306021555191804,-0.20283310494127038,-1,-0.3259759036474934,-1,-1,0.09478934408607032,-0.3436822041651295,-1,-0.2752197676747734,-0.5261472133091272,-0.2777025942505582,-1,-1,-1,-0.4008054626682003,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
finland,-1,0.11870457136818957,0.152150565651467,-1,-0.014162732543730128,0.07217667992620669,0.07675834401602777,-1,0.12327643881175909,-0.16371831376858936,0.011945102619989045,0.05215321759446834,0.05073089421286059,-1,0.15714953332090065,-1,-1,0.07412562949498414,0.0970533168430614,-1,0.10654665366432692,0.15013212880141802,0.07482824045416114,-1,-1,-1,0.07509573212809262,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
won,-1,0.2532355618910701,0.21797778292459058,-1,0.05411954817355247,0.25233452364850606,0.14758278674894543,-1,0.16379149361582068,-0.27992530915138447,0.10920029762542127,0.21994532007713452,0.19042367338267685,-1,0.40755215466336814,-1,-1,-0.055927986947386765,0.268959762587512,-1,0.18735591309374522,0.3719752481752612,0.0847116157763611,-1,-1,-1,0.5855047736327572,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nobel,-1,0.053101971110085855,0.09251681167261527,-1,0.23241993372298053,0.13354690068247976,0.00018047603762616493,-1,-0.01150274474468449,-0.0012432926253811427,0.04071942534299189,0.04607034427438017,-0.021851538954139382,-1,0.059024912208491154,-1,-1,-0.11545272381586336,0.11143057255343258,-1,0.050612025478723566,0.20329715145913907,0.10789795088483212,-1,-1,-1,0.447397117884639,-1
economics,-1,0.3219499444013021,0.43238830380311244,-1,0.13133794985321445,0.3180225322478425,0.24445890781316137,-1,0.2988418557844684,-0.2495010945219449,0.11174289078404298,0.11375972296402026,0.08497691039408573,-1,0.1931864249662376,-1,-1,-0.18713164483712452,0.20890997648028964,-1,0.1854059782681966,0.17177442061367676,-0.010870695603581337,-1,-1,-1,0.15745371476637093,-1
prize,-1,0.27652344158808084,0.25724697814783204,-1,0.22137524428037803,0.3616995239056401,0.20163301774274922,-1,0.08604543862404546,-0.2389281307721376,0.12160843903143437,0.13268807951174433,0.11375733706675772,-1,0.22169025180374524,-1,-1,-0.1415620849776975,0.3055059060417047,-1,0.13865195497213856,0.40897688144908373,0.07925295351618256,-1,-1,-1,0.5968937092482306,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
work,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
contract,-1,0.3377446421825212,0.3054833979510123,-1,-0.07723977196242426,0.38797488388416046,0.30399563357060033,-1,0.13071705232257647,-0.3698839520830699,0.062479115686421616,0.12856779821241626,0.2233955577365656,-1,0.3582264503262529,-1,-1,-0.0906875485916181,0.29563409225224735,-1,0.17839160861352954,0.5579973319451074,0.3181786490625452,-1,-1,-1,0.2729822893595626,-1
theory,-1,0.22866075363729899,0.21232625699596608,-1,0.34052839571680327,0.3258543651455086,0.16121002691198438,-1,0.29811031848086433,-0.1797779514383515,0.25524758579262297,0.31195981959497965,0.3456775597419022,-1,0.23718457613943167,-1,-1,-0.08506935684685768,0.3827367604041063,-1,0.196121323702394,0.3716116169016468,0.280087781322929,-1,-1,-1,0.31450474599089473,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
