model,others,believed,to,be,the,running,included,olivier,blanchard,a,former,chief,economist,at,the,international,monetary,fund,and,edward,lazear,a,fellow,at,the,hoover,institution,stanford,university,.
uk-born,0.15383427358720392,-0.028097147624597918,-1,-1,-1,-0.18413190943860913,-0.10457410248189225,-0.14582857153531936,0.06130567837817502,-1,-0.0962686398272441,-0.26045714665394604,-0.1012187957482864,-1,-1,-0.320447243970557,-0.12335442062097246,-0.13328500297785162,-1,-0.10002461158118447,0.2188959094374081,-1,0.025995866256051436,-1,-1,-0.058920637716541435,-0.07032046044024765,-0.14410698969117663,-0.09570884485211995,-1
oliver,0.1865410464745827,0.26437905309498755,-1,-1,-1,0.14811820852430002,0.0947023535586079,0.3392243273047997,0.2684394210135548,-1,0.36428697455450965,0.43419396996257065,0.3244938700720823,-1,-1,0.1604135306459541,0.016240241379697706,0.16418936737513867,-1,0.5590869102144497,-0.4251574693896578,-1,0.2682813120491463,-1,-1,0.19010601255238746,0.16780789277478547,0.49359100930743816,0.3018822155309082,-1
hart,0.1743278603443591,0.28023308977635053,-1,-1,-1,0.2582785521118891,0.14880447714249334,-0.18330482040386165,0.07865498241251212,-1,0.38887724493610754,0.43376219572667596,0.2583485535312783,-1,-1,0.14869938543703265,0.2746015097541634,0.04874077408314503,-1,0.39490275430623245,-0.4513258124399959,-1,0.24477618707970772,-1,-1,0.28396896068766564,0.44671602916786757,0.5424647250215626,0.2992596374340566,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bengt,-0.5420536950705608,-0.555447984027325,-1,-1,-1,-0.6757299897612714,-0.47644246503447873,-0.12273474405634377,0.5512333278223518,-1,-0.5472555421238976,-0.43280360270970464,-0.16704500513489529,-1,-1,-0.5606277668613471,-0.2709352174438462,-0.5798825825458542,-1,-0.18861033923750292,0.7719173207960622,-1,-0.35170379649165984,-1,-1,0.1716653107596311,-0.5374677165733868,-0.2526326904124827,-0.43387917101422646,-1
holmstrom,-0.38635509098905807,-0.37901717855185546,-1,-1,-1,-0.5487255092666632,-0.39446351794567613,-0.21494886948981562,0.44374061393297715,-1,-0.3781015046689502,-0.2536065025579193,-0.22941113310541117,-1,-1,-0.455815092580675,-0.29062098003393566,-0.5410723532040962,-1,-0.07498839305128024,0.7777636350551312,-1,-0.3254564330806704,-1,-1,0.019805675773232334,-0.611755856998965,-0.3381802511489409,-0.38549218511745664,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
finland,0.05456443185861237,0.08043033067989269,-1,-1,-1,0.18070498602122176,0.1143971597498642,-0.29482932258847394,-0.07742429032614728,-1,0.1089545119652231,0.11024074666530781,0.06907847130405576,-1,-1,0.17057732689121874,0.4469342935402614,-0.01840337293781169,-1,0.010752392797926946,-0.351402666310521,-1,0.09352587507561017,-1,-1,0.17797483927820035,0.6006417167515627,0.4302413182574938,0.152150565651467,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
won,0.4019568043340682,0.3312967294467337,-1,-1,-1,0.4179328195575396,0.4234073804637626,0.18141200794605872,-0.2991645739560336,-1,0.41107903107336685,0.280018712537645,0.15696157470038574,-1,-1,0.4370746746832228,0.09390490716248667,0.27393201597096684,-1,0.024396619559512223,-0.4698521613102744,-1,0.3553194786674342,-1,-1,-0.15298610999287465,0.25073001938164374,0.19416162184852437,0.21797778292459058,-1
