model,the,economics,prize,is,the,only,nobel,not,created,by,alfred,nobel,and,was,instead,launched,in,1968,long,after,the,philanthropist,'s,death,.
uk-born,-1,-0.08644043035211002,-0.08823495593939179,-1,-1,-0.1467683783146767,-0.11679881354286992,-1,-0.11848683515040581,-1,-0.12583192173276236,-0.11679881354286992,-1,-1,-0.09577799849251956,-0.3039755303444929,-1,-0.1889082791530079,-0.2172270088881123,-1,-1,0.040864393954218925,-1,-0.12771243585648295,-1
oliver,-1,0.12580303883189647,0.13401259439258006,-1,-1,0.15808487411301508,-0.027493431354665532,-1,0.2002446288409815,-1,0.32214646438243544,-0.027493431354665532,-1,-1,0.13097643939417103,0.14281146077309037,-1,0.11971089536492108,0.14220124346961982,-1,-1,0.38800803878645773,-1,0.21579213288037957,-1
hart,-1,0.4877922625390735,0.1027541284311213,-1,-1,0.18350496549506623,0.014541002425052074,-1,0.08769215504878791,-1,0.19453614292009602,0.014541002425052074,-1,-1,0.1957900590777465,0.17341832678624758,-1,0.13219915864465104,0.169738130307033,-1,-1,0.3027067232435936,-1,0.1879453973519023,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bengt,-1,-0.2942698448284038,-0.43540148445920135,-1,-1,-0.6081870285581736,-0.22572228334287026,-1,-0.5277623300089254,-1,0.01775482556586583,-0.22572228334287026,-1,-1,-0.507401247361787,-0.595850582077118,-1,-0.3658467102538885,-0.5427868563236367,-1,-1,0.1112178103082323,-1,-0.44768051514037666,-1
holmstrom,-1,-0.34507658541775754,-0.44314191264711966,-1,-1,-0.5028665494650975,-0.27747426770667194,-1,-0.4221248129606683,-1,-0.08875500692597216,-0.27747426770667194,-1,-1,-0.4363283049920499,-0.42364913009602523,-1,-0.38976341997418684,-0.3834888989223544,-1,-1,-0.04192924136388565,-1,-0.24859163622055314,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
finland,-1,0.5459295987042658,-0.04373836309302481,-1,-1,0.11365448503156084,-0.059124959047516024,-1,0.030592600602993514,-1,0.09668013241495332,-0.059124959047516024,-1,-1,0.08719783245883839,0.11411520352563587,-1,0.1882977831575926,0.08143770126024974,-1,-1,0.10878119389313134,-1,0.0502450243602689,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
won,-1,0.12048982091793492,0.5274471619506771,-1,-1,0.5805893402546537,0.3803046418120619,-1,0.3874711644814117,-1,0.13750272147532572,0.3803046418120619,-1,-1,0.34160844224599873,0.3536879416298331,-1,0.3361447993267076,0.3977824755110264,-1,-1,-0.05011585405462138,-1,0.2483922987457985,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nobel,-1,0.15123009473743843,0.7757693938663316,-1,-1,0.09529688306425133,1.0,-1,0.14822243138109958,-1,0.3708140692639381,1.0,-1,-1,0.0637885938496574,0.1336410640007517,-1,0.22594094837070688,0.03339479737707984,-1,-1,0.20301089306993414,-1,0.044414288832374416,-1
economics,-1,1.0,0.25066999904901743,-1,-1,0.1327909525531834,0.15123009473743843,-1,0.15470331281915228,-1,0.16250318576729095,0.15123009473743843,-1,-1,0.125758867444017,0.1734500121980902,-1,0.12114410813491638,0.07508906737401566,-1,-1,0.10309888549512936,-1,0.1449518717695455,-1
prize,-1,0.25066999904901743,1.0,-1,-1,0.34470532699672873,0.7757693938663316,-1,0.3441320266449043,-1,0.21117549577999006,0.7757693938663316,-1,-1,0.23626909640342353,0.2783388797148443,-1,0.2935550383130494,0.1904420070765772,-1,-1,0.07394359979258669,-1,0.19660995994754593,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
work,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
contract,-1,0.11905639872871221,0.4038311969074162,-1,-1,0.39192431797473604,0.35869897226046576,-1,0.2789714842757649,-1,-0.04185262064911344,0.35869897226046576,-1,-1,0.3516414793095888,0.373164165572187,-1,0.3239388726996302,0.32100012965459546,-1,-1,-0.030750549100184932,-1,0.19844206098968808,-1
theory,-1,0.1431394734003968,0.3504208550827481,-1,-1,0.4667894174946946,0.19622656675944683,-1,0.38293033197571635,-1,0.16705379649837027,0.19622656675944683,-1,-1,0.34105559027938415,0.2218000110345817,-1,0.24041222204643553,0.2401918561348232,-1,-1,0.032729610145621035,-1,0.2738367777560484,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
