model,mr,hart,who,was,woken,with,the,news,at,4.40,am,said,his,first,reaction,had,been,to,hug,his,wife,and,wake,his,younger,son,.
uk-born,-0.3064917325007799,-0.2578250106851647,-1,-1,-0.10069161076672861,-1,-1,-0.21775384552090848,-1,0.128347572842068,-0.12334281406332082,-1,-1,-1,-0.25727541699566303,-1,-1,-1,0.07018553043572162,-1,-0.04816533161187486,-1,-0.12384959334531298,-1,0.23132930350207803,-0.06525754778439175,-1
oliver,0.409436728510171,0.5730458245535087,-1,-1,0.2881987448691121,-1,-1,0.20928062798044778,-1,-0.22406604512818484,0.1918251650899122,-1,-1,-1,0.14045896336793184,-1,-1,-1,0.111452866758744,-1,0.4065720449831175,-1,0.09552511022873722,-1,0.14895124355659783,0.391517133798468,-1
hart,0.38176645635008466,1.0,-1,-1,0.16671123105172558,-1,-1,0.15040218424192509,-1,-0.2288052547496866,0.20647880315570344,-1,-1,-1,0.12513527101946087,-1,-1,-1,0.2124133889336315,-1,0.382630356396196,-1,0.1690267514794248,-1,0.1668727654909996,0.3437821323984471,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bengt,-0.2744095024923492,-0.24074351002391192,-1,-1,-0.18723753315245273,-1,-1,-0.4228529185591976,-1,0.7078830919608765,-0.39480549613031446,-1,-1,-1,-0.545262985698846,-1,-1,-1,-0.13654567257722539,-1,-0.42648855857331025,-1,-0.43705587301747206,-1,-0.3245374427353762,-0.436962242990766,-1
holmstrom,0.15686986913634304,-0.10321871758702184,-1,-1,-0.22143770191209744,-1,-1,-0.28536933568399725,-1,0.6449732252504623,-0.2726949586630807,-1,-1,-1,-0.4858887885209169,-1,-1,-1,-0.2818971952874354,-1,-0.25914134433572267,-1,-0.2868008344860631,-1,-0.3063000468953161,-0.2679520395308972,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
finland,0.0835199993315251,0.7590338505541355,-1,-1,0.050339538972636655,-1,-1,0.024058810461603075,-1,-0.2060967926925812,0.04041054976039016,-1,-1,-1,0.06840535996348052,-1,-1,-1,0.21729853522173803,-1,0.13589763301846658,-1,0.09796992821715078,-1,0.03382805142996548,0.08670977557282367,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
won,0.3157124926384587,0.22812514899686298,-1,-1,0.11390926670556922,-1,-1,0.23421367607197108,-1,-0.35834323782406763,0.24217363082946197,-1,-1,-1,0.2426064804654453,-1,-1,-1,0.13624363145272145,-1,0.3412322715552716,-1,0.2650841928898404,-1,0.24265243808984416,0.3116051853364019,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nobel,0.02632364456362979,0.014541002425052074,-1,-1,0.05499453669419141,-1,-1,-0.05077755408572826,-1,-0.035785259806499825,0.006501024545744416,-1,-1,-1,0.05044778827014673,-1,-1,-1,-0.04120988719016494,-1,0.019287191361615053,-1,0.048777696925980996,-1,-0.07395671456376651,-0.031435609174722545,-1
economics,0.11635098052557502,0.4877922625390735,-1,-1,0.035852882305763334,-1,-1,0.22052538954747136,-1,-0.3405810025521656,0.12263890209228934,-1,-1,-1,0.15650685929095587,-1,-1,-1,0.06269330506626103,-1,0.1591719006920671,-1,0.13268607018550327,-1,0.06801986863881482,0.1352676254756331,-1
prize,0.16330695869855116,0.1027541284311213,-1,-1,0.16194729099596739,-1,-1,0.1293285342399686,-1,-0.21245314261448422,0.13202096749763914,-1,-1,-1,0.2716201307791728,-1,-1,-1,0.06871260016990155,-1,0.19753069471298645,-1,0.15291546655665644,-1,0.16227364392521515,0.1928227286484805,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
work,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
contract,0.10905657796884105,0.14259584576585915,-1,-1,0.20349647199196552,-1,-1,0.16465058763465945,-1,-0.30752743617856826,0.24255379018265877,-1,-1,-1,0.24808852535118908,-1,-1,-1,0.07877369690190983,-1,0.28895969805476374,-1,0.22152804421600403,-1,0.16364201552947666,0.31433059035411837,-1
theory,0.22859433477797464,0.055000567266205835,-1,-1,0.16051120298417065,-1,-1,0.20239621213372727,-1,-0.49013529427819336,0.21232531013355715,-1,-1,-1,0.4008950789590564,-1,-1,-1,0.20958670368906573,-1,0.26045471026952505,-1,0.33793389700330323,-1,0.34797807866691854,0.25095307437987036,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
