model,the,royal,swedish,academy,of,sciences,said,that,mr,hart,and,mr,holmstrom,'s,work,was,``,valuable,to,the,understanding,of,real-life,contracts,and,institutions,'',.
uk-born,-1,-0.08069670392005568,-0.09127507505487342,-0.1647829905286038,-1,-0.031948873423724544,-1,-1,-0.3064917325007799,-0.2578250106851647,-1,-0.3064917325007799,0.061431448199698147,-1,-1,-1,-1,-0.011155801929225717,-1,-1,-0.11329217623185839,-1,0.14324547612399574,-0.040550773006332586,-1,0.03913908573872915,-1,-1
oliver,-1,0.20800402387429706,0.42026160735089313,0.10024849740262631,-1,0.09988972661523077,-1,-1,0.409436728510171,0.5730458245535087,-1,0.409436728510171,-0.12684372994987347,-1,-1,-1,-1,0.058464057708385475,-1,-1,0.031975955469333295,-1,-0.12153742549003144,-0.07697236644324312,-1,-0.02559852613669933,-1,-1
hart,-1,0.20205294394637607,0.6237828410432028,0.16452323012684522,-1,0.45430556877930517,-1,-1,0.38176645635008466,1.0,-1,0.38176645635008466,-0.10321871758702184,-1,-1,-1,-1,-0.07880410545297667,-1,-1,0.08210087973030455,-1,-0.18429228983124335,-0.03798555149107452,-1,-0.004706003552683136,-1,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bengt,-1,-0.4506631012150295,-0.5544996686737957,-0.45861666614296803,-1,-0.32515765779228945,-1,-1,-0.2744095024923492,-0.24074351002391192,-1,-0.2744095024923492,0.7212171265906236,-1,-1,-1,-1,-0.3822054162882558,-1,-1,-0.3902410039542432,-1,-0.14844948454300932,-0.5601375008384721,-1,-0.5092154801619877,-1,-1
holmstrom,-1,-0.37105681286327563,-0.5351900272223125,-0.4647933167128384,-1,-0.4088983260620509,-1,-1,0.15686986913634304,-0.10321871758702184,-1,0.15686986913634304,1.0,-1,-1,-1,-1,-0.5361894961281335,-1,-1,-0.41473614762750577,-1,-0.315380583883782,-0.5895535967251613,-1,-0.44918948151429694,-1,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
finland,-1,0.12914601218428334,0.5325596998230144,0.1505051153842628,-1,0.6585985540123948,-1,-1,0.0835199993315251,0.7590338505541355,-1,0.0835199993315251,-0.1880394512224135,-1,-1,-1,-1,-0.023335265356130064,-1,-1,0.09106200692573829,-1,-0.01848591159108559,0.0662563567030604,-1,0.0712998274927531,-1,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
won,-1,0.19307199624447058,0.3241686640979291,0.3592260553118023,-1,0.12140225528321691,-1,-1,0.3157124926384587,0.22812514899686298,-1,0.3157124926384587,-0.33033433830167436,-1,-1,-1,-1,0.2309972175283419,-1,-1,0.12328056914931351,-1,-0.06931773668056174,0.23585230047966987,-1,0.18772246527208292,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nobel,-1,0.044748749735550764,0.29219739637621855,0.2538118406189055,-1,0.12153748213135473,-1,-1,0.02632364456362979,0.014541002425052074,-1,0.02632364456362979,-0.27747426770667194,-1,-1,-1,-1,0.14330056708043015,-1,-1,-0.04179123408398677,-1,-0.010487189403402875,0.30381413220351927,-1,0.157105360851735,-1,-1
economics,-1,0.285689914579499,0.6710219933241041,0.2887810766037714,-1,0.6293325241827529,-1,-1,0.11635098052557502,0.4877922625390735,-1,0.11635098052557502,-0.34507658541775754,-1,-1,-1,-1,0.1621408455633837,-1,-1,0.15941085743124606,-1,0.04899151768459231,0.08864120688122501,-1,0.2858396006849492,-1,-1
prize,-1,0.17526265916978567,0.38543390815945555,0.39274841909849934,-1,0.2338931162475214,-1,-1,0.16330695869855116,0.1027541284311213,-1,0.16330695869855116,-0.44314191264711966,-1,-1,-1,-1,0.42821044850569434,-1,-1,0.10998526729836167,-1,0.03673736435030317,0.39791298205912184,-1,0.19196726647039108,-1,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
work,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
contract,-1,0.19045196071184645,0.2972356059011839,0.4123116460989704,-1,0.22484264968384005,-1,-1,0.10905657796884105,0.14259584576585915,-1,0.10905657796884105,-0.46258630957771363,-1,-1,-1,-1,0.19829992874187607,-1,-1,0.30925610019078065,-1,-0.05709569334942799,0.7506464685841651,-1,0.20345163753396678,-1,-1
theory,-1,0.04835090213056137,0.23376804414015306,0.16164032601218137,-1,0.16091452952802765,-1,-1,0.22859433477797464,0.055000567266205835,-1,0.22859433477797464,-0.42896495183865824,-1,-1,-1,-1,0.41859536880258474,-1,-1,0.42853284083628673,-1,0.4097415447603556,0.26522094926775,-1,0.24336973539549467,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
