model,mr,holmstrom,in,particular,is,known,for,his,research,into,how,contracts,and,incentives,affect,corporate,behaviour,.
uk-born,-0.3064917325007799,0.061431448199698147,-1,-0.05108035215257045,-1,-0.16458568839504584,-1,-1,-0.20950171637381,-1,-0.1942883604130834,-0.040550773006332586,-1,-0.03908623688525026,-0.04038595656279087,-0.09496079252186251,-0.16397867113312303,-1
oliver,0.409436728510171,-0.12684372994987347,-1,0.02936167585837879,-1,0.2428597477403105,-1,-1,0.18151400825580843,-1,0.10742193399489008,-0.07697236644324312,-1,0.008239151823580482,-0.03203351273350452,-0.0005308145841118606,0.10321958428585676,-1
hart,0.38176645635008466,-0.10321871758702184,-1,0.06342871131993733,-1,0.2541115390593207,-1,-1,0.10799807591149191,-1,0.14797360858175446,-0.03798555149107452,-1,-0.03831332776031848,0.018099705726905335,0.25495183151476053,0.1064690930199177,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bengt,-0.2744095024923492,0.7212171265906236,-1,-0.4767520068034041,-1,-0.5462659412008057,-1,-1,-0.3249846478829044,-1,-0.45556203263518213,-0.5601375008384721,-1,-0.2458804150499576,-0.3873379809891253,-0.5230587934634383,-0.4418252804893912,-1
holmstrom,0.15686986913634304,1.0,-1,-0.3960380968833903,-1,-0.44201190769470466,-1,-1,-0.3786896335361698,-1,-0.39587386204149766,-0.5895535967251613,-1,-0.3235282013444365,-0.34531733263712105,-0.5759090305614194,-0.3273831920175092,-1
of,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
finland,0.0835199993315251,-0.1880394512224135,-1,0.08103814059403613,-1,0.1974246013887645,-1,-1,0.09401332174884292,-1,0.03711535755727935,0.0662563567030604,-1,0.07332915819540697,0.051811938293758075,0.3722285164564908,0.10639751571124001,-1
have,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
won,0.3157124926384587,-0.33033433830167436,-1,0.2676725409213363,-1,0.43619905553564053,-1,-1,0.20606127035774835,-1,0.2664255428115383,0.23585230047966987,-1,-0.040637056813702,0.22663238076552417,0.1645321858025114,0.045752060330769284,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
nobel,0.02632364456362979,-0.27747426770667194,-1,-0.06863549246297462,-1,-0.06922507141538947,-1,-1,0.07587972079181837,-1,-0.06931382762909322,0.30381413220351927,-1,0.12004266718256129,-0.059910842475586534,0.2513464069855871,-0.13233616995533826,-1
economics,0.11635098052557502,-0.34507658541775754,-1,0.12518811816130215,-1,0.14354745468986196,-1,-1,0.2584740586214853,-1,0.15951856040885004,0.08864120688122501,-1,-0.005033822165890323,0.09646399081548396,0.7006942827547228,0.06747301713329712,-1
prize,0.16330695869855116,-0.44314191264711966,-1,0.18509380757358918,-1,0.18998475846746854,-1,-1,0.27066130223525375,-1,0.1681696825504454,0.39791298205912184,-1,0.19299245675837462,0.11969665984111388,0.38656684588983037,0.035232233728502926,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
work,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
on,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
contract,0.10905657796884105,-0.46258630957771363,-1,0.19496139960725478,-1,0.24417716470106599,-1,-1,0.32249060399468377,-1,0.26241095620025234,0.7506464685841651,-1,0.21202282020911567,0.25482662965713987,0.26475051267537897,0.16566445544851882,-1
theory,0.22859433477797464,-0.42896495183865824,-1,0.6339844242785092,-1,0.4711934690718249,-1,-1,0.40324907851365943,-1,0.4796489028895763,0.26522094926775,-1,0.24696440527332708,0.37297823590568124,0.3234908960767211,0.33949338205130153,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
