model,he,will,make,19,speeches,during,his,tour,of,kenya,uganda,and,the,central,african,republic,-lrb-,car,-rrb-,and,they,will,probably,address,these,issues,:,.
pope,-1,-1,0.18673682535032488,0.20717377119051206,0.11106289088630728,-1,-1,0.2804479226228034,-1,0.7698785866602186,0.6155473732874418,-1,-1,0.2628698715325103,0.32862830200823623,0.30380792162485637,-1,0.17958579907559669,-1,-1,-1,-1,0.2410351641960834,0.2629808709197645,0.10195457531012464,0.14460389685357178,-1,-1
francis,-1,-1,0.12398997029129954,0.2075618469961904,0.09544907287810545,-1,-1,0.16385034065397008,-1,0.4936033564283442,0.7704016723474701,-1,-1,0.3401596643502406,0.22440492792243982,0.4152886446487105,-1,0.1483493252540704,-1,-1,-1,-1,0.1505070168076159,0.20907997925224686,0.041112314811148076,0.12193939615336424,-1,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
go,-1,-1,0.663004828175856,0.446765764797048,0.265849543892803,-1,-1,0.42186022636032816,-1,0.35330823418177837,0.1734940511497004,-1,-1,0.4685791207693929,0.3697335132166074,0.3361971643431889,-1,0.4091476256836888,-1,-1,-1,-1,0.7543491859379264,0.46331282990582345,0.5891264029494411,0.41305778890445644,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
africa,-1,-1,0.41254609379556895,0.4867243479407217,0.14407160709244227,-1,-1,0.5980021492462849,-1,0.5525703435161662,0.345363308326211,-1,-1,0.7503777930638091,0.7807485201820191,0.6476852123331136,-1,0.24146250772966837,-1,-1,-1,-1,0.42304996007890483,0.2332341382534988,0.3473904775623575,0.24555273114825527,-1,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
this,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
week,-1,-1,0.5118164118847747,0.523960207363797,0.23261752701623384,-1,-1,0.5081222073369589,-1,0.43372389832161673,0.2165936236006739,-1,-1,0.5426139117843211,0.48918159157362484,0.4678898061680685,-1,0.39597807696359055,-1,-1,-1,-1,0.5502599499847095,0.4640000224675307,0.4646066686294661,0.3807276379728475,-1,-1
visiting,-1,-1,0.3334062942702989,0.311079646635251,0.20972161425092306,-1,-1,0.34833254208572273,-1,0.4154767642940176,0.23460171968429588,-1,-1,0.47134324092737057,0.5049878090816377,0.3697524782051411,-1,0.3222732360743611,-1,-1,-1,-1,0.29621059422561535,0.26277642384348165,0.25128056570303225,0.21536283243717558,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
