model,he,is,expected,to,focus,on,religious,tolerance,and,peaceful,coexistence,at,a,time,of,rising,political,instability,and,extremism,in,much,of,the,region,.
pope,-1,-1,0.27931077383960456,-1,0.2578559534529482,-1,0.5398981382568927,-0.03731368167219973,-1,0.08994988100434953,-0.42973909082301964,-1,-1,-1,-1,0.1494106058775172,0.20668485811437343,0.04930937687113113,-1,0.3516308915735811,-1,0.1828122055369783,-1,-1,0.18681745019080853,-1
francis,-1,-1,0.20652607727950456,-1,0.19016124388429634,-1,0.15164143595230528,0.03295915713149977,-1,0.07261164485751248,-0.3698272442792607,-1,-1,-1,-1,0.1791470073282263,0.15331154616191678,0.059432197932274056,-1,0.02474828581123545,-1,0.12772532149506632,-1,-1,0.193469038120886,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
go,-1,-1,0.6437161910930782,-1,0.6561182836784402,-1,0.27416689651635906,0.05120350888667813,-1,0.21019614455936253,-0.3490270675422835,-1,-1,-1,-1,0.32436917576900226,0.31371725159365194,0.13366978596415402,-1,0.1292841646849251,-1,0.603962255684375,-1,-1,0.3999848505211758,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
africa,-1,-1,0.45844463728971674,-1,0.44983297376889253,-1,0.3265253750004884,-0.08496425446829758,-1,0.2031618273266419,-0.2922608244332805,-1,-1,-1,-1,0.367463735341222,0.37948896579662517,0.3317541863533152,-1,0.23374068648831792,-1,0.39297857876959275,-1,-1,0.6255274049103186,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
this,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
week,-1,-1,0.734934012785901,-1,0.500484747654397,-1,0.23583211116631786,0.021253223126750265,-1,0.19037038303555132,-0.43765497475539084,-1,-1,-1,-1,0.3830670109157934,0.30803065392886886,0.14204285616333834,-1,0.036160216312437266,-1,0.4887592380645306,-1,-1,0.46378976462541766,-1
visiting,-1,-1,0.3530708257483558,-1,0.35401369296949836,-1,0.31664954573045145,-0.04827452599501547,-1,0.05046161674758909,-0.36110920655236356,-1,-1,-1,-1,0.25958987225798613,0.2060398240374508,0.03993189406411868,-1,0.11099960157564603,-1,0.2938095640269477,-1,-1,0.4080759700592974,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
refugee,-1,-1,0.17083743225802572,-1,0.24848631728056436,-1,0.3726418429802345,0.13967780579810807,-1,0.22610100902797214,-0.26354266356631406,-1,-1,-1,-1,0.1682222499912842,0.3130195633745926,0.22919609274482866,-1,0.159585760730371,-1,0.15850213118216527,-1,-1,0.42270667345915536,-1
camp,-1,-1,0.3377603876488837,-1,0.34338662903397377,-1,0.25177876178504277,0.1126313009170905,-1,0.367861215097271,-0.2137990604216944,-1,-1,-1,-1,0.20200215407134103,0.3148855197661602,0.21575483164780418,-1,0.15715589209802094,-1,0.24172481869061824,-1,-1,0.4431993879276548,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
slum,-1,-1,-0.13531224282016519,-1,-0.05618138227317804,-1,0.096267281919872,0.14669931039654083,-1,0.16440196054036438,0.31158213286056957,-1,-1,-1,-1,0.0480758316397315,0.004413390405197282,0.20818290669248718,-1,0.04202485648008791,-1,-0.050659586626937925,-1,-1,0.3545873535982368,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mosque,-1,-1,0.15665532808161353,-1,0.15949462003423598,-1,0.17384942245835888,0.0670887217208399,-1,0.2643892432060202,-0.06989640042312284,-1,-1,-1,-1,0.011223693680521118,0.09346866852065006,0.10292619591345176,-1,0.06530481497922236,-1,0.07658041465040666,-1,-1,0.3829020554401643,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
