model,this,is,a,pope,who,has,been,hailed,as,the,champion,of,a,church,for,the,poor,.
pope,-1,-1,-1,1.0,-1,-1,-1,0.34527632972097266,-1,-1,0.3541937600887739,-1,-1,0.3997263056332321,-1,-1,0.09794844786021806,-1
francis,-1,-1,-1,0.659232617458604,-1,-1,-1,0.2869302166181523,-1,-1,0.2397561044956571,-1,-1,0.2330554670866255,-1,-1,0.10871667733979229,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
go,-1,-1,-1,0.21270827601476816,-1,-1,-1,0.0453727185721392,-1,-1,0.2650091301103743,-1,-1,0.33239392819304603,-1,-1,0.3960746767403951,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
africa,-1,-1,-1,0.29930120834955587,-1,-1,-1,0.2603263358851615,-1,-1,0.4380476102494184,-1,-1,0.38985717532454056,-1,-1,0.39711886720733036,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
this,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
week,-1,-1,-1,0.34873185387456385,-1,-1,-1,0.27702247628900145,-1,-1,0.2737930381381821,-1,-1,0.34471117925125283,-1,-1,0.37769265242263095,-1
visiting,-1,-1,-1,0.31529510883405976,-1,-1,-1,0.3039020558840039,-1,-1,0.21547926626122382,-1,-1,0.40271750363857906,-1,-1,0.3153203089399379,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
refugee,-1,-1,-1,0.1986428997092069,-1,-1,-1,0.13963737196878545,-1,-1,0.19590806513916226,-1,-1,0.2561986359388253,-1,-1,0.2967546996236943,-1
camp,-1,-1,-1,0.19071235434979128,-1,-1,-1,0.16301578335762346,-1,-1,0.27769757504265047,-1,-1,0.379513500168554,-1,-1,0.2792561634652839,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
slum,-1,-1,-1,-0.21329838877106266,-1,-1,-1,-0.005163153504980977,-1,-1,-0.20845419005414745,-1,-1,0.11534100408370251,-1,-1,0.16802652798558604,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mosque,-1,-1,-1,0.1628791872385128,-1,-1,-1,0.20559374041039336,-1,-1,0.2008817005623158,-1,-1,0.3895777497597559,-1,-1,0.10409698820070068,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
