model,his,capacity,to,look,beyond,europe,and,embrace,the,concerns,of,people,around,the,world,is,also,likely,to,endear,him,to,the,faithful,and,to,those,of,other,faiths,as,this,pope,from,the,southern,hemisphere,offers,a,message,of,hope,to,the,dispossessed,and,the,struggling,.
pope,-1,0.11137973472154405,-1,0.21245385957033214,0.11862058294358957,0.21438599431109018,-1,0.2347750274641357,-1,0.2018836951959183,-1,0.18734643366889325,0.1358634441728649,-1,0.2642848576941499,-1,-1,0.24806149614953976,-1,-0.20600513166930345,-1,-1,-1,0.11413572593960697,-1,-1,0.19853975784338918,-1,-1,-0.07278034750857598,-1,-1,1.0,-1,-1,0.2455430669925347,0.03315678758932539,0.1305722350580144,-1,0.2459580517365998,-1,0.30796452211569014,-1,-1,0.11168000663354793,-1,-1,0.19076742438435423,-1
francis,-1,0.08706997237861591,-1,0.12266275188121256,0.03380809784197858,0.18004158329877717,-1,0.09773899674556141,-1,0.18995870081258004,-1,0.14398405227835165,0.11281276740318402,-1,0.16044749001831637,-1,-1,0.15884983688960097,-1,-0.21580329408127685,-1,-1,-1,0.09376746103036027,-1,-1,0.14076893786033606,-1,-1,-0.15466427027855212,-1,-1,0.659232617458604,-1,-1,0.27389922630635866,0.08676414907440078,0.10764350722617355,-1,0.20585509143588698,-1,0.22210818562969814,-1,-1,0.050213178589231355,-1,-1,0.1513355512090988,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
go,-1,0.4240187008499511,-1,0.7738294150970538,0.6592009009524734,0.6064308399827698,-1,0.36570760697610316,-1,0.3551664235450036,-1,0.5494076478274444,0.6068383752401036,-1,0.42387694988946434,-1,-1,0.690786101510512,-1,0.08300199941192699,-1,-1,-1,0.1627410670505759,-1,-1,0.5711261711895657,-1,-1,0.07704445142908112,-1,-1,0.21270827601476816,-1,-1,0.3294140573150668,0.09362134130629385,0.3914811535346697,-1,0.4405468092251723,-1,0.6916637647869774,-1,-1,-0.13083161679070043,-1,-1,0.559141020303125,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
africa,-1,0.28340807391813194,-1,0.44664729024719785,0.3933108220845978,0.789097198959002,-1,0.1817329895659746,-1,0.26764055880331106,-1,0.40722185447221615,0.45034821218522225,-1,0.5981331492100581,-1,-1,0.4706081700976221,-1,-0.37322863020259534,-1,-1,-1,-0.004592035615356149,-1,-1,0.37065008870078586,-1,-1,0.06483831317823086,-1,-1,0.29930120834955587,-1,-1,0.7111119901478046,0.44313952120225153,0.24297497462671347,-1,0.26244570217758656,-1,0.3768023630922924,-1,-1,-0.22236231229348125,-1,-1,0.4329201025461443,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
