model,in,kenya,75,%,of,the,wealth,is,owned,by,around,1,%,of,the,population,so,pope,francis,'s,message,may,well,prove,popular,among,many,of,the,remaining,99,%,.
pope,-1,0.7698785866602186,-0.016275239528189767,-1,-1,-1,0.23155403048437007,-1,0.21757112590751426,-1,0.1358634441728649,-1,-1,-1,-1,0.24630203736403866,0.23436341251398973,1.0,0.659232617458604,-1,0.2459580517365998,-1,0.2109305059091343,0.22730813323956123,0.3720229395705186,0.24393635512705125,-1,-1,-1,0.08510620195501006,0.4819512835426565,-1,-1
francis,-1,0.4936033564283442,-0.17572682604974976,-1,-1,-1,0.1441753537425734,-1,0.225305210640258,-1,0.11281276740318402,-1,-1,-1,-1,0.1464667391301978,0.15353679462768466,0.659232617458604,1.0,-1,0.20585509143588698,-1,0.1751973005553915,0.07521719110174341,0.2178467563207116,0.19632402886626565,-1,-1,-1,0.02794070399301707,0.009898309105441427,-1,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
go,-1,0.35330823418177837,0.3545420533074457,-1,-1,-1,0.2010280071193533,-1,0.2465656975560857,-1,0.6068383752401036,-1,-1,-1,-1,0.31936426354367486,0.7473232521285585,0.21270827601476816,0.09444940825364534,-1,0.4405468092251723,-1,0.6180352758340963,0.5438923175278364,0.3382117088598613,0.33742425245317287,-1,-1,-1,0.46426205159782774,0.2888601167075522,-1,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
africa,-1,0.5525703435161662,0.34236348431930075,-1,-1,-1,0.2561944069898422,-1,0.26023234153898855,-1,0.45034821218522225,-1,-1,-1,-1,0.44304069920244915,0.45153472416194174,0.29930120834955587,0.2834921946877742,-1,0.26244570217758656,-1,0.4501891071481636,0.25760140711003277,0.46119989738085254,0.3945460817721711,-1,-1,-1,0.29270213846638016,0.18375542567110614,-1,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
