model,his,first,stop,kenya,has,seen,some,of,the,worst,islamist,violence,:,two,years,ago,gunmen,from,the,somali,militant,group,al-shabab,massacred,at,least,67,people,inside,nairobi,'s,westgate,shopping,mall,.
pope,-1,-1,0.20800388978688567,0.7698785866602186,-1,0.23074929143551004,-1,-1,-1,0.12222381148597172,0.4615543825070536,0.2315201659872398,-1,0.2467539601426214,0.19947277806502306,0.23478631438971864,0.23936149494048897,-1,-1,0.35009595951377337,0.5708276489116341,-1,0.45071025503947026,-0.16939828719040984,-1,0.1263890716679451,0.04262769441861125,0.18734643366889325,0.17211017343158252,0.38836021020356626,-1,0.12252048978138208,0.07222192120323156,0.11013290130392694,-1
francis,-1,-1,0.13185934673396016,0.4936033564283442,-1,0.18744127955444323,-1,-1,-1,0.021822479618531676,0.23035404782512592,0.15329399857278259,-1,0.1696938597908857,0.14787292643867267,0.14278722032479974,0.11557091105690054,-1,-1,0.20424721139868374,0.21654243068618706,-1,0.17801470916523165,-0.23619277797833527,-1,0.09532156142308845,0.11392923697753132,0.14398405227835165,0.11559279281489965,0.3073939176804146,-1,0.1248548710799472,0.1306096403388911,0.14987629563019444,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
go,-1,-1,0.6653786418638773,0.35330823418177837,-1,0.5345806032030976,-1,-1,-1,0.29418221441386017,0.02082331531597581,0.3072316204753536,-1,0.547152877732202,0.5148702622365746,0.52402333210698,0.1297691894886479,-1,-1,-0.0024426559183676755,0.058705382254062854,-1,0.06372803326354992,-0.020792860175844696,-1,0.5244343906517452,0.36017570204506677,0.5494076478274444,0.6317560683264156,0.14096245168796806,-1,-0.07718474959472887,0.34631126575146043,0.11157501745063614,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
africa,-1,-1,0.34640301193030965,0.5525703435161662,-1,0.4741042277863663,-1,-1,-1,0.42129537216400825,0.26536178331918836,0.38595611770150773,-1,0.45616864727372985,0.4583695646306648,0.4328620245513657,0.03274260054572864,-1,-1,0.33791163241501354,0.2893373175162084,-1,0.27971752697738284,-0.08097277190320229,-1,0.374554624063532,0.3410833120818394,0.40722185447221615,0.3778623245336049,0.4766740399568272,-1,0.011708093705209088,0.21742677230291552,0.09193178012649639,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
this,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
