model,in,uganda,his,second,stop,al-shabab,bombed,sports,bars,in,kampala,where,fans,were,watching,the,2010,football,world,cup,on,tv,.
pope,-1,0.6155473732874418,-1,0.26027959602757256,0.20800388978688567,0.45071025503947026,0.17846403913716036,0.19234497986843446,-0.012242398619402906,-1,0.21518857344599596,-1,0.28885106500435276,-1,0.27337210086461905,-1,0.3101123944969322,0.25870032292641176,0.2642848576941499,0.2864639288083608,-1,0.3003394681131022,-1
francis,-1,0.7704016723474701,-1,0.18817650166701627,0.13185934673396016,0.17801470916523165,0.13147703411384293,0.2562260509324764,-0.049683054054563414,-1,0.268707858053461,-1,0.20681061085150987,-1,0.1637372760604261,-1,0.25832268143112946,0.22951346844064924,0.16044749001831637,0.14732005500458367,-1,0.244696917890995,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
go,-1,0.1734940511497004,-1,0.5108048317126781,0.6653786418638773,0.06372803326354992,0.08874343315345867,0.3472945500064062,0.29468562048679847,-1,-0.07538289675306764,-1,0.527583464444171,-1,0.4928569052666185,-1,0.3748972086076421,0.4340537190042829,0.42387694988946434,0.43084283192706885,-1,0.30736294681807896,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
africa,-1,0.345363308326211,-1,0.44898916110863474,0.34640301193030965,0.27971752697738284,0.11410385266343781,0.5233528491798842,0.2102192709997761,-1,0.29158344330245767,-1,0.4512008816697751,-1,0.4127347716290152,-1,0.5223057257769506,0.4755252267866227,0.5981331492100581,0.6395815759564527,-1,0.39912466488452825,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
this,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
week,-1,0.2165936236006739,-1,0.5633798670668019,0.4967488813074519,0.14615295508886395,0.1737002618776946,0.4209661310136945,0.1826826619901929,-1,0.06341294907782513,-1,0.4320298587767525,-1,0.4796958032947368,-1,0.544600308450042,0.48006443953309264,0.4472156941457006,0.5038685702184448,-1,0.438877985746958,-1
visiting,-1,0.23460171968429588,-1,0.3537388490095761,0.4535618334606908,0.15454469235917123,0.22985353688715204,0.3641661690990958,0.2986441532713793,-1,0.09164675843076886,-1,0.6239236111234157,-1,0.5879444887764638,-1,0.22398363004768584,0.3857279515996286,0.2977814678719821,0.27140967889940204,-1,0.3121798840999488,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
refugee,-1,0.33559083437054404,-1,0.1973334106758864,0.264607718142168,0.34378442040531987,0.3146587425506471,0.34064451436906995,0.10506242652105435,-1,0.29062882230674325,-1,0.19681888398943825,-1,0.06170644107504808,-1,0.2613333830869853,0.3118708272165307,0.34110838029400137,0.19489840478773957,-1,0.17125686448887656,-1
camp,-1,0.37358306561461296,-1,0.36827201998001613,0.4219915170230777,0.24887945047439763,0.39659055737194926,0.26664365046516836,0.27709290506020645,-1,0.28960448067594147,-1,0.34964176290419136,-1,0.2173882280540822,-1,0.34391314407584583,0.28483709041327,0.37353424661363743,0.3272756586527418,-1,0.09378409448800773,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
slum,-1,0.01961481668932319,-1,0.02070549054876125,-0.08595748150626337,-0.009420236135396332,0.06401360227025932,-0.03742194793513032,0.09883566806775346,-1,0.32773993552760294,-1,-0.19280723100768338,-1,-0.2190733851532558,-1,-0.15960711397213267,-0.11044177953148848,-0.024768264466884737,-0.14822583122440114,-1,-0.07953699546384407,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mosque,-1,0.19851184748850714,-1,0.2721012904846263,0.19055134000347507,0.2934120212161784,0.42615891683479346,0.26831448934840996,0.41651946964747766,-1,0.3759731536361822,-1,0.23599598418712908,-1,0.18215668782706373,-1,0.22097451514599076,0.10070966117380442,0.18337482542167405,0.27062129414327996,-1,0.17891119558360302,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
