model,many,think,the,third,stop,on,his,trip,the,car,is,too,dangerous,for,him,to,visit,.
pope,-1,0.2843606122062512,-1,0.27741466495835865,0.20800388978688567,-1,-1,0.295000143921319,-1,0.17958579907559669,-1,0.19136552258688355,0.0959911905986015,-1,-1,-1,0.40894330824097935,-1
francis,-1,0.21028891837052843,-1,0.18411475385977982,0.13185934673396016,-1,-1,0.21733207753213868,-1,0.1483493252540704,-1,0.1725184533284707,0.09726786240713137,-1,-1,-1,0.3053028976550819,-1
will,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
go,-1,0.784707759463959,-1,0.5781255465206852,0.6653786418638773,-1,-1,0.5471642892002444,-1,0.4091476256836888,-1,0.5731327780234482,0.3738675474896387,-1,-1,-1,0.5414108495346837,-1
to,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
africa,-1,0.4421830029551268,-1,0.5082306877385973,0.34640301193030965,-1,-1,0.5411627681904916,-1,0.24146250772966837,-1,0.3261690783852591,0.30815329618061704,-1,-1,-1,0.5842495026034236,-1
for,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
first,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
time,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
this,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
week,-1,0.5614930006489954,-1,0.63417914511213,0.4967488813074519,-1,-1,0.618703733712268,-1,0.39597807696359055,-1,0.3580036795638166,0.2663668589547743,-1,-1,-1,0.6887433614734472,-1
visiting,-1,0.33964629342661334,-1,0.39951892698264113,0.4535618334606908,-1,-1,0.5385139049265808,-1,0.3222732360743611,-1,0.29909122737061955,0.1816252527601514,-1,-1,-1,0.6205958373778747,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
refugee,-1,0.17953693858321496,-1,0.23401189608681183,0.264607718142168,-1,-1,0.25353143922422405,-1,0.27368079094984876,-1,0.09427958438245843,0.16617022072222765,-1,-1,-1,0.28509907252957456,-1
camp,-1,0.29207765928067864,-1,0.4231763032473064,0.4219915170230777,-1,-1,0.471165888297169,-1,0.4440386145087336,-1,0.22789970328618658,0.3168722427114744,-1,-1,-1,0.4182578338676588,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
slum,-1,-0.10651874704544806,-1,0.038097549944825726,-0.08595748150626337,-1,-1,0.017361100261340634,-1,0.02420204223610145,-1,0.02032835139554723,0.1783350128119756,-1,-1,-1,-0.013975543279537872,-1
and,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mosque,-1,0.1554197985913084,-1,0.30824861912695556,0.19055134000347507,-1,-1,0.3167282094421433,-1,0.37283399970318976,-1,0.04128278533445118,0.03658396163281008,-1,-1,-1,0.3611293727244155,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
