model,turia,pitt,received,burns,to,65,%,of,her,body,and,was,told,she,would,never,compete,again,after,the,2011,ultra-marathon,in,western,australia,.
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
australian,-0.6369033414802665,0.0459371817248988,0.38959094670727845,0.23519530035067748,-1,0.34302963535105757,-1,-1,-1,0.5060825059404026,-1,-1,-1,-1,-1,0.33043375492444604,0.3723546418188539,0.3513792516962373,-1,-1,0.5278366614740344,-0.2647238582620508,-1,0.5262208995063977,0.6699692738810533,-1
runner,-0.3008261780295265,0.32578682915212975,0.017226295723965057,0.10210498977374893,-1,0.2406462665100011,-1,-1,-1,0.22196533278930974,-1,-1,-1,-1,-1,0.10638345106917757,0.28217262995798276,0.10454607823965822,-1,-1,0.10253460357638344,-0.02691037694049858,-1,0.14838837552446593,0.15562638147322194,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
suffered,-0.43370539726034063,0.050518674964002086,0.5018399641125401,0.6837535307953146,-1,0.34471584343288586,-1,-1,-1,0.3578288437456236,-1,-1,-1,-1,-1,0.37367086172978925,0.18892958110126934,0.2575947191500554,-1,-1,0.3640901874533212,-0.2921831812747222,-1,0.17846423660775768,0.33059449674399355,-1
life-threatening,-0.2155649773991637,0.05895596225858557,0.32488053771441017,0.44641520860692596,-1,0.11529078739244436,-1,-1,-1,0.2067197323118567,-1,-1,-1,-1,-1,0.2332812166172561,0.15736053481918444,0.15029854784996066,-1,-1,0.08370562822828576,-0.3190441099117489,-1,-0.0009439289006825113,0.0018220874874550486,-1
burns,-0.36641815627142993,0.36847422354464476,0.35178557573371316,1.0,-1,0.3572920947184759,-1,-1,-1,0.22301988931659145,-1,-1,-1,-1,-1,0.2505658985671999,0.17278512651753442,0.2632937395663606,-1,-1,0.22941640625305837,-0.4402546561270211,-1,-0.0035458360489053486,0.2511351308390597,-1
when,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
she,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trapped,-0.7262096337334867,0.07217654167670495,0.4046957119510971,0.31977360925077614,-1,0.6038329762064822,-1,-1,-1,0.5056713674616432,-1,-1,-1,-1,-1,0.5004897164658484,0.336234593366858,0.46820602623548324,-1,-1,0.4634412659909598,-0.4298831410848054,-1,0.3157359165340492,0.3840565084702423,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bushfire,0.16026869395673948,-0.24749636375858386,-0.17420430782599405,-0.2246183641181665,-1,-0.3314678583228594,-1,-1,-1,-0.1728960037435483,-1,-1,-1,-1,-1,-0.2438893564161626,-0.1643139560697242,-0.1773162496632017,-1,-1,0.02313068642940541,0.3667361359078656,-1,0.19600309663575444,0.05262244348777123,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
race,-0.5493138803606197,0.010683623848744883,0.20740344158944368,0.27420104751776875,-1,0.3358807448088348,-1,-1,-1,0.33800400452078705,-1,-1,-1,-1,-1,0.39166811685013225,0.4645205645945488,0.4855369556023148,-1,-1,0.4224102047253253,-0.28658645951954,-1,0.33774764864892326,0.48479867445882086,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
completed,-0.539447480743612,0.11601884752064207,0.36102837066400684,0.193726305582549,-1,0.39700110660004273,-1,-1,-1,0.31702264687409787,-1,-1,-1,-1,-1,0.47705569087004407,0.3197052386684367,0.5157880159570187,-1,-1,0.5369045760136961,-0.3321653036151635,-1,0.1329470732421455,0.45913067448176004,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hawaii,-0.19264464142904725,0.11624187737273617,0.03474349331992732,0.22377663693666083,-1,0.12504244502963147,-1,-1,-1,0.07416839551570065,-1,-1,-1,-1,-1,0.048493235862916206,0.0821959489923022,0.05676643390569325,-1,-1,0.08553461503570303,-0.14387050529067236,-1,-0.028999886547271148,0.11761426369391625,-1
ironman,0.09224929219462974,0.07186270222027691,-0.234106504033869,-0.18493477585615015,-1,-0.12541028460000603,-1,-1,-1,-0.10600955489803776,-1,-1,-1,-1,-1,-0.17966776155839392,0.20562859962559088,-0.04517627026919868,-1,-1,0.042601823352506396,0.32384990393228397,-1,0.1336064973781632,0.19200908758746793,-1
seen,-0.6165909825505376,-0.09645653130789467,0.3945597670159484,0.18754134839392744,-1,0.37213943587950904,-1,-1,-1,0.45481964789557194,-1,-1,-1,-1,-1,0.674799404115954,0.3600341995711369,0.5726184914662206,-1,-1,0.4143010336288282,-0.45204869424390237,-1,0.35057267199623376,0.46405085180876393,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
world,-0.5258916422994675,-0.02791475127903209,0.24382205132695534,0.12724058209039202,-1,0.3238366153866493,-1,-1,-1,0.527400632497687,-1,-1,-1,-1,-1,0.39400377874791026,0.4457853277707866,0.45445442733268027,-1,-1,0.49011898216909344,-0.23723343098921612,-1,0.39972205027639673,0.5809933933283616,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
toughest,-0.3223971463203392,-0.0283203810795567,0.12305845621234279,-0.042632355351903684,-1,0.0029219540131157906,-1,-1,-1,0.3082420284121057,-1,-1,-1,-1,-1,0.33710982500004394,0.2639354240588686,0.20904147907569626,-1,-1,0.117553405865791,-0.17770593575670368,-1,0.21378650165396396,0.2295451396413657,-1
triathlon,-0.2515880052933053,0.08864667149521499,-0.02816682955819494,-0.023461228703775205,-1,0.01799121201049525,-1,-1,-1,0.24299872034117698,-1,-1,-1,-1,-1,0.11276894438189011,0.39916598426135963,0.17910377528797827,-1,-1,0.3032759893076832,0.06402350985513494,-1,0.2924469458786326,0.4218278955136616,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
