model,she,made,her,comeback,in,the,ironman,australia,triathlon,in,may,.
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
australian,-1,-1,-1,0.17232961136265823,-1,-1,0.10520140652788679,0.6699692738810533,0.45934067298496073,-1,-1,-1
runner,-1,-1,-1,0.19361423912132247,-1,-1,0.20817832245977952,0.15562638147322194,0.39691719719103413,-1,-1,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
suffered,-1,-1,-1,0.40420182937125837,-1,-1,-0.1732877696665387,0.33059449674399355,0.03950466666726915,-1,-1,-1
life-threatening,-1,-1,-1,0.240978098496349,-1,-1,-0.17434667733338793,0.0018220874874550486,-0.13857424243591443,-1,-1,-1
burns,-1,-1,-1,0.22748093543871994,-1,-1,-0.18493477585615015,0.2511351308390597,-0.023461228703775205,-1,-1,-1
when,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
she,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trapped,-1,-1,-1,0.24350660717754924,-1,-1,-0.27741946733380285,0.3840565084702423,0.018733676045698422,-1,-1,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bushfire,-1,-1,-1,0.12152964902848273,-1,-1,0.23536577504007217,0.05262244348777123,0.2137284653564866,-1,-1,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
race,-1,-1,-1,0.30144774985085654,-1,-1,0.1649129447813773,0.48479867445882086,0.46283322033303154,-1,-1,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
completed,-1,-1,-1,0.4650215156210402,-1,-1,0.017324825043751546,0.45913067448176004,0.10994759127699849,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hawaii,-1,-1,-1,0.018070190966016697,-1,-1,0.19694550974935265,0.11761426369391625,0.1216455494874703,-1,-1,-1
ironman,-1,-1,-1,0.04231755884866917,-1,-1,1.0,0.19200908758746793,0.6548399993718971,-1,-1,-1
seen,-1,-1,-1,0.2720406779486344,-1,-1,-0.12459360281419052,0.46405085180876393,0.07162988975962314,-1,-1,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
world,-1,-1,-1,0.31454637399041696,-1,-1,0.4328818740785505,0.5809933933283616,0.6323211514943923,-1,-1,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
toughest,-1,-1,-1,0.34920772982564163,-1,-1,0.238692729784723,0.2295451396413657,0.36066506552353017,-1,-1,-1
triathlon,-1,-1,-1,0.26154015292147736,-1,-1,0.6548399993718971,0.4218278955136616,1.0,-1,-1,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
