model,ms,pitt,was,widely,praised,on,social,media,as,an,inspiration,.
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
australian,0.34671863056179464,0.0459371817248988,-1,0.19962564967674423,0.3552800661012776,-1,0.40263398737808775,0.526165031830229,-1,-1,0.27599688320228766,-1
runner,0.03464043827644114,0.32578682915212975,-1,0.03331573025444268,0.0947975885228165,-1,-0.010316047940322148,-0.05577779046613518,-1,-1,0.3013681347561652,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
suffered,0.2786916461309291,0.050518674964002086,-1,0.09378231504904644,0.24970855159714433,-1,0.23165661483061306,0.19124315733823483,-1,-1,0.24152429194392178,-1
life-threatening,0.1189247356734815,0.05895596225858557,-1,0.2690960780038767,0.10014378675314284,-1,0.07814474825676887,0.11608675769407728,-1,-1,0.13957585878409717,-1
burns,0.46428110614803564,0.36847422354464476,-1,0.05731781714278672,0.23519112894493976,-1,0.1884789553844447,0.11114837039799141,-1,-1,0.21688702055425713,-1
when,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
she,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trapped,0.29667789717963733,0.07217654167670495,-1,0.4564592205501681,0.3030512656473443,-1,0.348764381318035,0.34627312681257694,-1,-1,0.39007934994635707,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bushfire,-0.287567329889155,-0.24749636375858386,-1,-0.1743362675380713,-0.20597314056137805,-1,-0.010830339332531524,-0.006096068854706704,-1,-1,0.029494511966289494,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
race,0.2669890132031092,0.010683623848744883,-1,0.1392859768340644,0.12422603382584174,-1,0.25447388624135936,0.22867748258739928,-1,-1,0.29122374303715004,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
completed,0.21428674391165914,0.11601884752064207,-1,0.362323420629429,0.3402947286918192,-1,0.13600457476859407,0.10317420261062238,-1,-1,0.19265636863513025,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hawaii,0.05122099262311719,0.11624187737273617,-1,0.05201609354348147,0.05111719018401928,-1,0.04155582074186781,0.05055053386332198,-1,-1,-0.04490237615731596,-1
ironman,-0.26209327294460283,0.07186270222027691,-1,-0.06080481555732087,-0.07911949246737127,-1,-0.07825982119009822,-0.08832375487897814,-1,-1,-0.09834777646970982,-1
seen,0.37444098380549207,-0.09645653130789467,-1,0.5760194968104522,0.33720233696187374,-1,0.3919600289198968,0.4601322166780315,-1,-1,0.3144974907991953,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
world,0.21868387947079126,-0.02791475127903209,-1,0.2703235316102611,0.2194241736904805,-1,0.3407433865430727,0.35126949910344596,-1,-1,0.23563746199854485,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
toughest,-0.11670763699144504,-0.0283203810795567,-1,0.2071534637360577,0.14168335777820895,-1,0.1539231300188948,0.16975851057023483,-1,-1,0.28912174344591257,-1
triathlon,-0.04007817715028672,0.08864667149521499,-1,0.03447796291479999,0.06556284570690296,-1,0.2043804646917493,0.25613147094244204,-1,-1,0.13030853740255632,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
