model,``,such,a,great,example,of,what,can,be,done,through,hard,work,belief,in,one,'s,self,and,good,a,support,system,'',one,person,wrote,on,her,facebook,page,.
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
australian,-1,0.3409651445068468,-1,0.42349412690135546,0.43716670411896297,-1,-1,-1,-1,0.27524095888480593,0.3600929119756846,0.2648678485501329,-1,0.18665035644389638,-1,0.5312410277849238,-1,0.12847519641567384,-1,0.3519227133255223,-1,0.45377840821169113,0.29180618601685004,-1,0.5312410277849238,0.4451055600181488,0.5372523383378842,-1,-1,0.3711912108036126,0.3947053335062749,-1
runner,-1,0.07893374336834902,-1,0.29817350688611055,0.23635314226432835,-1,-1,-1,-1,-0.02142035357567562,0.12177749293374907,0.1541174084726119,-1,0.12100530782823182,-1,0.28412882622675895,-1,0.16496335297552256,-1,0.16909262879050657,-1,0.15132354341959187,-0.028432264453061018,-1,0.28412882622675895,0.3174352616644006,0.1701408104035096,-1,-1,0.03910954823505397,0.11427959883136074,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
suffered,-1,0.3595681042703651,-1,0.3936275683528797,0.2717775321122463,-1,-1,-1,-1,0.327087189802888,0.26900845473843704,0.2617396782144614,-1,0.18560889722666807,-1,0.41217598775573316,-1,0.18068680285518768,-1,0.36255489040498246,-1,0.343566319196279,0.050079469840687785,-1,0.41217598775573316,0.3968511194391926,0.28192667798628834,-1,-1,0.08962353735884432,0.012863032574587652,-1
life-threatening,-1,0.2547991769536768,-1,0.07707002932278428,0.1629642895258221,-1,-1,-1,-1,0.23289811331006205,0.035679711303176154,0.12965059681573066,-1,0.08094942676964112,-1,0.1914276212965138,-1,0.22845969473679095,-1,0.19811933415775607,-1,0.18551244419777835,-0.0007164630259097748,-1,0.1914276212965138,0.33009002730555514,0.05151062225748837,-1,-1,-0.032194146740231355,-0.07107601904109528,-1
burns,-1,0.271263164433315,-1,0.25080295175849243,0.21911830056484272,-1,-1,-1,-1,0.24495926059980844,0.23337635588681083,0.22735318262878668,-1,0.12658816736848388,-1,0.3002716174884409,-1,0.18174761590281652,-1,0.24876742393704043,-1,0.2384531088716847,-0.0023599788763211116,-1,0.3002716174884409,0.2914495828273316,0.3700962672690731,-1,-1,0.13086857159167065,0.046623226520400074,-1
when,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
she,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
