model,``,you,continue,to,amaze,and,inspire,'',said,another,.
an,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
australian,-1,-1,0.35962507327708715,-1,-0.2257873208238783,-1,0.19080381168640004,-1,-1,0.5739472131285108,-1
runner,-1,-1,0.060343662007609655,-1,-0.16958115219418768,-1,0.21298449955051335,-1,-1,0.3269267729327805,-1
who,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
suffered,-1,-1,0.22883294460744952,-1,-0.2332459522945194,-1,0.1597913604026766,-1,-1,0.48284403184268987,-1
life-threatening,-1,-1,0.22543377842888668,-1,-0.03712690900438331,-1,0.02237255136898353,-1,-1,0.18059666544584996,-1
burns,-1,-1,0.1738837895173656,-1,-0.1831080194954029,-1,0.08283910913109949,-1,-1,0.31260050440931075,-1
when,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
she,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
was,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
trapped,-1,-1,0.39701694021383016,-1,-0.2714018263752511,-1,0.27143850103943234,-1,-1,0.5446105584949995,-1
by,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bushfire,-1,-1,-0.15824555387174422,-1,-0.12734407823332905,-1,-0.17028912329540802,-1,-1,0.017408955922328273,-1
during,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
race,-1,-1,0.326396598456985,-1,-0.15403915357315912,-1,0.1561898210819972,-1,-1,0.4849072351550996,-1
has,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
completed,-1,-1,0.42386499869962535,-1,-0.23642855688679676,-1,0.16456039527936528,-1,-1,0.4212914578678224,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hawaii,-1,-1,0.040420051978662164,-1,-0.06272618222928616,-1,0.04260728265123259,-1,-1,0.054813431862919204,-1
ironman,-1,-1,-0.021451696119114683,-1,-0.08974964823223108,-1,-0.01511950184391142,-1,-1,-0.1435883946184422,-1
seen,-1,-1,0.4128973190518185,-1,-0.20148801175864484,-1,0.1754105030698665,-1,-1,0.5417639962495875,-1
as,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
the,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
world,-1,-1,0.32999115316894123,-1,-0.19918836365442716,-1,0.26885234011078685,-1,-1,0.4391558705761869,-1
's,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
toughest,-1,-1,0.18335709794882882,-1,-0.184189484830382,-1,0.09756194968181764,-1,-1,0.2672293398144201,-1
triathlon,-1,-1,0.12586187947605976,-1,-0.050311233740336636,-1,0.15686517797419763,-1,-1,0.19354197028322728,-1
.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
